,t,d,p,p_fdr
7Networks_LH_Vis_1,-3.7839869654772946,-0.29935568790197975,0.00015433590968208884,0.004715356511387529
7Networks_LH_Vis_2,1.769091177921879,0.1422994492591856,0.0768786599131336,0.13030281341209085
7Networks_LH_Vis_3,-0.6612915706160375,-0.0487017502923292,0.5084253462164996,0.6243324883501602
7Networks_LH_Vis_4,-0.3484667544173605,-0.021367094955542044,0.7274896772074229,0.8083218635638032
7Networks_LH_Vis_5,1.4012762654987678,0.12831671033862202,0.16113147580844767,0.24198665206321965
7Networks_LH_Vis_6,1.70330636858575,0.13418687676610078,0.08851074940272831,0.14751791567121386
7Networks_LH_Vis_7,-2.646564561146656,-0.1985373664993176,0.008131398192211084,0.01983267851758801
7Networks_LH_Vis_8,-0.20408537679809657,-0.007570284128362376,0.838286781474976,0.9041096166057194
7Networks_LH_Vis_9,0.818948329956201,0.07762922428505645,0.41281589404208285,0.5292511462077986
7Networks_LH_SomMot_1,-1.5770988677363695,-0.14408367567667005,0.11477277771554968,0.18217901224690425
7Networks_LH_SomMot_2,1.1447719347088505,0.07272399759369236,0.2523036440358676,0.3364048587144901
7Networks_LH_SomMot_3,1.1827629060812044,0.06659500785919796,0.2369031254169165,0.3299644607147272
7Networks_LH_SomMot_4,-0.03727217699630517,-0.03130476180944926,0.9702679896131522,0.9702679896131522
7Networks_LH_SomMot_5,-0.5101166711483142,-0.0460074438730432,0.6099697263155319,0.6931474162676499
7Networks_LH_SomMot_6,-0.8867986500719562,-0.07248049401908174,0.37518731454159615,0.4872562526514236
7Networks_LH_DorsAttn_Post_1,-2.2555507217637443,-0.17791647696759755,0.024098782327298066,0.05127400495169802
7Networks_LH_DorsAttn_Post_2,-0.5863453613631717,-0.05118664852998721,0.5576434537336475,0.6638612544448186
7Networks_LH_DorsAttn_Post_3,-3.4751133283155284,-0.26040184858757864,0.0005106375744651327,0.0051063757446513265
