Brain Regions and Development and P-Values,0.05,0.01,0.001,0.0001
Amygdala.Adolescence,6.389e-05,0.000359,0.008,1.0
Cerebellum.Adolescence,0.7,0.742,1.0,1.0
Cortex.Adolescence,1.904e-12,7.376e-06,0.093,1.0
Hippocampus.Adolescence,0.024,0.196,1.0,1.0
Striatum.Adolescence,0.01,0.055,0.004,0.053
Thalamus.Adolescence,0.167,0.235,1.0,1.0
Amygdala.Early.Childhood,0.041,1.0,1.0,1.0
Cerebellum.Early.Childhood,0.603,0.873,0.329,1.0
Cortex.Early.Childhood,1.189e-09,0.027,1.0,1.0
Hippocampus.Early.Childhood,0.559,0.499,1.0,1.0
Striatum.Early.Childhood,0.0005674,0.06,0.102,1.0
Thalamus.Early.Childhood,0.034,1.0,1.0,1.0
Amygdala.Early.Fetal,0.642,0.914,1.0,1.0
Cerebellum.Early.Fetal,0.792,0.892,1.0,1.0
Cortex.Early.Fetal,0.599,0.369,1.0,1.0
Hippocampus.Early.Fetal,0.863,0.383,1.0,1.0
Striatum.Early.Fetal,0.964,0.798,1.0,1.0
Thalamus.Early.Fetal,0.115,0.651,1.0,1.0
Amygdala.Early.Mid.Fetal,0.658,1.0,1.0,1.0
Cerebellum.Early.Mid.Fetal,0.812,0.935,1.0,1.0
Cortex.Early.Mid.Fetal,0.035,0.063,0.121,1.0
Hippocampus.Early.Mid.Fetal,0.434,1.0,1.0,1.0
Striatum.Early.Mid.Fetal,0.118,0.699,1.0,1.0
Thalamus.Early.Mid.Fetal,9.848e-05,0.445,1.0,1.0
Amygdala.Late.Fetal,0.527,0.657,1.0,1.0
Cerebellum.Late.Fetal,0.78,1.0,1.0,1.0
Cortex.Late.Fetal,0.013,0.044,1.0,1.0
Hippocampus.Late.Fetal,0.734,1.0,1.0,1.0
Striatum.Late.Fetal,0.782,0.783,1.0,1.0
Thalamus.Late.Fetal,2.433e-06,0.005,0.104,0.149
Amygdala.Late.Infancy,0.202,1.0,1.0,1.0
Cerebellum.Late.Infancy,1.0,1.0,1.0,1.0
Cortex.Late.Infancy,0.004,1.0,1.0,1.0
Hippocampus.Late.Infancy,0.114,0.634,1.0,1.0
Striatum.Late.Infancy,0.625,0.279,1.0,1.0
Thalamus.Late.Infancy,0.039,0.045,1.0,1.0
Amygdala.Late.Mid.Fetal,0.172,1.0,1.0,1.0
Cerebellum.Late.Mid.Fetal,0.66,0.769,1.0,1.0
Cortex.Late.Mid.Fetal,0.014,0.593,1.0,1.0
Hippocampus.Late.Mid.Fetal,0.492,1.0,1.0,1.0
Striatum.Late.Mid.Fetal,0.911,0.755,1.0,1.0
Thalamus.Late.Mid.Fetal,0.882,1.0,1.0,1.0
Amygdala.Middle.Late.Childhood,0.002,0.253,1.0,1.0
Cerebellum.Middle.Late.Childhood,0.748,0.742,1.0,1.0
Cortex.Middle.Late.Childhood,4.165e-11,0.004,0.0008809,1.0
Hippocampus.Middle.Late.Childhood,3.043e-08,0.002,0.121,1.0
Striatum.Middle.Late.Childhood,0.001,0.824,1.0,1.0
Thalamus.Middle.Late.Childhood,0.126,1.0,1.0,1.0
Amygdala.Neotal.Early.Infancy,0.63,1.0,1.0,1.0
Cerebellum.Neotal.Early.Infancy,0.824,1.0,1.0,1.0
Cortex.Neotal.Early.Infancy,2.352e-05,0.15,1.0,1.0
Hippocampus.Neotal.Early.Infancy,0.695,0.269,0.032,1.0
Striatum.Neotal.Early.Infancy,0.025,0.007,1.0,1.0
Thalamus.Neotal.Early.Infancy,0.001,0.059,1.0,1.0
Amygdala.Young.Adulthood,0.005,1.0,1.0,1.0
Cerebellum.Young.Adulthood,0.556,1.0,1.0,1.0
Cortex.Young.Adulthood,1.648e-11,3.291e-06,0.185,0.112
Hippocampus.Young.Adulthood,0.009,1.0,1.0,1.0
Striatum.Young.Adulthood,0.032,0.829,1.0,1.0
Thalamus.Young.Adulthood,0.301,0.753,1.0,1.0
