Brain Regions and Development and P-Values,0.05,0.01,0.001,0.0001
Amygdala.Adolescence,0.982,1.0,1.0,1.0
Cerebellum.Adolescence,0.042,0.427,0.536,1.0
Cortex.Adolescence,0.943,1.0,1.0,1.0
Hippocampus.Adolescence,0.999,1.0,1.0,1.0
Striatum.Adolescence,0.721,0.969,1.0,1.0
Thalamus.Adolescence,0.533,0.356,0.229,1.0
Amygdala.Early.Childhood,0.911,1.0,1.0,1.0
Cerebellum.Early.Childhood,0.005,0.117,0.397,1.0
Cortex.Early.Childhood,0.731,1.0,1.0,1.0
Hippocampus.Early.Childhood,0.953,1.0,1.0,1.0
Striatum.Early.Childhood,0.67,0.311,0.128,1.0
Thalamus.Early.Childhood,0.197,0.503,1.0,1.0
Amygdala.Early.Fetal,0.111,0.194,1.0,1.0
Cerebellum.Early.Fetal,0.88,0.94,1.0,1.0
Cortex.Early.Fetal,0.019,0.519,1.0,1.0
Hippocampus.Early.Fetal,0.101,0.207,0.318,1.0
Striatum.Early.Fetal,0.011,0.043,0.802,1.0
Thalamus.Early.Fetal,0.472,0.772,1.0,1.0
Amygdala.Early.Mid.Fetal,0.037,1.0,1.0,1.0
Cerebellum.Early.Mid.Fetal,0.895,0.968,1.0,1.0
Cortex.Early.Mid.Fetal,0.147,0.121,1.0,1.0
Hippocampus.Early.Mid.Fetal,0.662,0.445,1.0,1.0
Striatum.Early.Mid.Fetal,0.294,0.192,1.0,1.0
Thalamus.Early.Mid.Fetal,0.967,0.854,1.0,1.0
Amygdala.Late.Fetal,0.939,1.0,1.0,1.0
Cerebellum.Late.Fetal,0.008,0.517,1.0,1.0
Cortex.Late.Fetal,0.11,0.261,1.0,1.0
Hippocampus.Late.Fetal,0.952,1.0,1.0,1.0
Striatum.Late.Fetal,0.034,0.126,1.0,1.0
Thalamus.Late.Fetal,0.888,0.751,1.0,1.0
Amygdala.Late.Infancy,0.2,0.311,1.0,1.0
Cerebellum.Late.Infancy,0.002,0.337,0.157,0.078
Cortex.Late.Infancy,0.847,1.0,1.0,1.0
Hippocampus.Late.Infancy,0.44,1.0,1.0,1.0
Striatum.Late.Infancy,0.426,1.0,1.0,1.0
Thalamus.Late.Infancy,0.98,1.0,1.0,1.0
Amygdala.Late.Mid.Fetal,0.053,0.241,1.0,1.0
Cerebellum.Late.Mid.Fetal,0.003,0.686,1.0,1.0
Cortex.Late.Mid.Fetal,0.12,0.311,1.0,1.0
Hippocampus.Late.Mid.Fetal,0.281,0.722,1.0,1.0
Striatum.Late.Mid.Fetal,0.09,0.259,1.0,1.0
Thalamus.Late.Mid.Fetal,0.495,0.749,1.0,1.0
Amygdala.Middle.Late.Childhood,0.795,1.0,1.0,1.0
Cerebellum.Middle.Late.Childhood,0.0002056,0.427,1.0,1.0
Cortex.Middle.Late.Childhood,0.957,1.0,1.0,1.0
Hippocampus.Middle.Late.Childhood,0.991,1.0,1.0,1.0
Striatum.Middle.Late.Childhood,0.823,0.37,1.0,1.0
Thalamus.Middle.Late.Childhood,0.6,0.385,1.0,1.0
Amygdala.Neotal.Early.Infancy,0.587,0.309,1.0,1.0
Cerebellum.Neotal.Early.Infancy,0.056,0.203,0.536,1.0
Cortex.Neotal.Early.Infancy,0.446,0.584,0.185,1.0
Hippocampus.Neotal.Early.Infancy,0.942,1.0,1.0,1.0
Striatum.Neotal.Early.Infancy,0.561,0.446,1.0,1.0
Thalamus.Neotal.Early.Infancy,0.444,0.932,1.0,1.0
Amygdala.Young.Adulthood,0.954,0.372,1.0,1.0
Cerebellum.Young.Adulthood,0.000211,0.091,1.0,1.0
Cortex.Young.Adulthood,0.997,1.0,1.0,1.0
Hippocampus.Young.Adulthood,0.97,1.0,1.0,1.0
Striatum.Young.Adulthood,0.699,0.381,0.229,1.0
Thalamus.Young.Adulthood,0.131,0.099,1.0,1.0
