,t,p,p_fdr
7Networks_LH_Vis_1,-3.2784301934379867,0.0010438617883351813,0.002899616078708837
7Networks_LH_Vis_2,0.5628036729446481,0.5735685789724585,0.6372984210805094
7Networks_LH_Vis_3,-1.0542886629967212,0.29175077760271584,0.3515069609671275
7Networks_LH_Vis_4,-3.196709133137436,0.0013900501932624723,0.0036580268243749272
7Networks_LH_Vis_5,-0.6840477326482619,0.4939450249895303,0.5613011647608299
7Networks_LH_Vis_6,1.674996749454118,0.09393486943109476,0.1286779033302668
7Networks_LH_Vis_7,-5.629347643179597,1.8089247683130424e-08,2.261155960391303e-07
7Networks_LH_Vis_8,-2.5494204072389413,0.010790213807331224,0.021157281975159262
7Networks_LH_Vis_9,-1.8271695906608907,0.06767427453440072,0.09399204796444545
7Networks_LH_SomMot_1,1.1036621502870996,0.26973972017174563,0.33301200021203164
7Networks_LH_SomMot_2,5.438104694862048,5.385033017849386e-08,5.385033017849386e-07
7Networks_LH_SomMot_3,2.838368240202831,0.004534483615823231,0.009857573077876589
7Networks_LH_SomMot_4,2.376241070112732,0.017490031890053714,0.03068426647377845
7Networks_LH_SomMot_5,-0.5212529457603083,0.6021905753141038,0.6617478849605536
7Networks_LH_SomMot_6,0.4328534893138915,0.6651212111864401,0.7075757565813192
7Networks_LH_DorsAttn_Post_1,-2.499010684281743,0.012454055617017696,0.02395010695580326
7Networks_LH_DorsAttn_Post_2,-2.200105694910273,0.02779939693099091,0.04343655770467329
7Networks_LH_DorsAttn_Post_3,-5.075660695535211,3.8615184270113275e-07,2.4134490168820798e-06
7Networks_LH_DorsAttn_Post_4,-1.8391900398914267,0.06588723913886169,0.09279892836459393
7Networks_LH_DorsAttn_Post_5,-4.27497502053433,1.9115872586487935e-05,7.964946911036639e-05
7Networks_LH_DorsAttn_Post_6,-1.9109408658060723,0.056012180635012294,0.0811770733840758
7Networks_LH_DorsAttn_PrCv_1,0.4499555698321454,0.6527424774430107,0.7018736316591513
7Networks_LH_DorsAttn_FEF_1,-4.472356902757038,7.736216793876e-06,3.516462179034545e-05
7Networks_LH_SalVentAttn_ParOper_1,-3.702146252659714,0.00021378331746901288,0.000712611058230043
