,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-2.77346650340742,-0.19474300296715258,0.006090489503307488,0.01947825253671775,198.0
7Networks_LH_Vis_2,1.9195445076872135,0.13666350112212958,0.05639798714841179,0.12260431988785173,197.0
7Networks_LH_Vis_3,-1.5313860744368206,-0.10933359555571275,0.1273199842931568,0.2357777486910311,197.0
7Networks_LH_Vis_4,-1.1801968117176385,-0.0845214523983381,0.23938205795632853,0.37907133938236975,197.0
7Networks_LH_Vis_5,-0.8506031850400766,-0.06116643917318607,0.39605488430282365,0.5258100739233434,196.0
7Networks_LH_Vis_6,-0.0024627358405315022,-0.00017742917421129274,0.9980375933572736,0.9980375933572736,196.0
7Networks_LH_Vis_7,-0.5102328448347452,-0.03644393413793373,0.6104683747685606,0.7288769620357569,199.0
7Networks_LH_Vis_8,-0.44368438041786096,-0.031949029065171546,0.6577729927269096,0.7648523171243135,196.0
7Networks_LH_Vis_9,-2.079740188208965,-0.14816775827928436,0.03888440499253618,0.0883736477103095,196.0
7Networks_LH_SomMot_1,0.6384986209535147,0.04567781471588825,0.5239060874357218,0.646797638809533,198.0
7Networks_LH_SomMot_2,1.3535906608758501,0.09632529325251551,0.17744194841981328,0.2948307039285094,199.0
7Networks_LH_SomMot_3,1.1187619741098185,0.07988262071765234,0.26463220003567495,0.40712646159334603,198.0
7Networks_LH_SomMot_4,-0.41465012302803245,-0.02987721146877482,0.6788633867440869,0.7714356667546441,196.0
7Networks_LH_SomMot_5,-0.6800699140491708,-0.0494139090540263,0.49730124857325186,0.6227983852184635,192.0
7Networks_LH_SomMot_6,-1.0149544057952151,-0.07295129964000553,0.3114115245397912,0.4467234017641836,196.0
7Networks_LH_DorsAttn_Post_1,-0.928446394934995,-0.06673581870951342,0.35435404639826606,0.48541650191543295,195.0
7Networks_LH_DorsAttn_Post_2,-0.11357172537755546,-0.008135307982299866,0.9096953539102485,0.9475993269898422,198.0
7Networks_LH_DorsAttn_Post_3,0.35153691616773114,0.02511595013940317,0.7255670936788552,0.8152439254818598,199.0
7Networks_LH_DorsAttn_Post_4,0.04132787385364052,0.0029721122617165866,0.9670774563879279,0.9868137310080897,197.0
7Networks_LH_DorsAttn_Post_5,-4.235830937245914,-0.2894883150369124,3.515429061371174e-05,0.0003195844601246522,199.0
7Networks_LH_DorsAttn_Post_6,-1.4496356558006198,-0.10325885882045734,0.14878315244015453,0.25652267662095607,198.0
7Networks_LH_DorsAttn_PrCv_1,-0.8738002884283987,-0.06253030824909774,0.3833129732426609,0.5179905043819741,198.0
7Networks_LH_DorsAttn_FEF_1,-0.5076811463584926,-0.03636676267375476,0.6122566481100358,0.7288769620357569,198.0
