,younger,older,all
7Networks_LH_Vis_1,0.656891915022875,0.5656024414573809,0.6094463854313706
7Networks_LH_Vis_2,0.7545910753946682,0.7840353864171893,0.8408943568802371
7Networks_LH_Vis_3,0.43936014883240854,0.8194305958408304,0.6966251103915179
7Networks_LH_Vis_4,0.7272348722862106,0.7268810240712903,0.7392260415371544
7Networks_LH_Vis_5,0.7027764303206144,0.8915622367072428,0.7864430789440864
7Networks_LH_Vis_6,0.5977969084063446,0.7661747664413966,0.7459700145210286
7Networks_LH_Vis_7,0.6476267669231446,0.5042675511234146,0.6540260619572739
7Networks_LH_Vis_8,0.7972724709886816,0.8697264810067998,0.8469615792442288
7Networks_LH_Vis_9,0.8018269356645097,0.840739845573137,0.7880920358021735
7Networks_LH_SomMot_1,0.3209965607152561,0.004111824725359763,0.18309112312231687
7Networks_LH_SomMot_2,0.5670684073269368,0.5670120316841761,0.5611406333573583
7Networks_LH_SomMot_3,0.7746272894740666,0.8507304806108947,0.8083400368539424
7Networks_LH_SomMot_4,0.8052523457305728,0.7145405787274972,0.7605602344386205
7Networks_LH_SomMot_5,0.6199408300930686,0.608048306482262,0.6022020420096884
7Networks_LH_SomMot_6,0.656229413029795,0.5874756950643338,0.5911005059366387
7Networks_LH_DorsAttn_Post_1,0.6585036040685254,0.7036596878919523,0.6051322346518543
7Networks_LH_DorsAttn_Post_2,0.5450676140200794,0.6938007090911004,0.5885493615690197
7Networks_LH_DorsAttn_Post_3,0.4908602890759228,0.1688417048109878,0.3228297435571293
7Networks_LH_DorsAttn_Post_4,0.6320656121564022,0.572986144520825,0.6202545342442515
7Networks_LH_DorsAttn_Post_5,0.7028153598459133,0.6373612165180655,0.6747565957452273
7Networks_LH_DorsAttn_Post_6,0.6009266553481327,0.5559836752780152,0.5444878706500855
7Networks_LH_DorsAttn_PrCv_1,0.7998724625398691,0.7269072709754709,0.7712391887582362
7Networks_LH_DorsAttn_FEF_1,0.6095068382004539,0.4929485298559221,0.5920732372673615
7Networks_LH_SalVentAttn_ParOper_1,0.6853386741710333,0.5883740090967907,0.635375244474671
7Networks_LH_SalVentAttn_FrOperIns_1,0.847289423307901,0.8768251395748439,0.868889417387834
7Networks_LH_SalVentAttn_FrOperIns_2,0.6924434000433726,0.6375495087085559,0.6704960732787297
7Networks_LH_SalVentAttn_PFCl_1,0.7286662249845316,0.7957007335828296,0.7666444540101562
7Networks_LH_SalVentAttn_Med_1,0.8520498734042978,0.772770841339475,0.7859575683260549
7Networks_LH_SalVentAttn_Med_2,0.6410926932952558,0.41373988580211934,0.581010120086077
7Networks_LH_SalVentAttn_Med_3,0.6307868935143465,0.6969364810252335,0.6668537825489276
7Networks_LH_Limbic_OFC_1,0.6232739467118484,0.8501076039835346,0.7581205052195389
7Networks_LH_Limbic_TempPole_1,0.6196545895868674,0.7446245031399245,0.6974459340372478
7Networks_LH_Limbic_TempPole_2,0.6017484713701023,0.7767488332951725,0.6994864935278858
