,t,r,p,p_fdr,N
7Networks_LH_Vis_1,2.034942176856288,0.1443757387890853,0.043224284235327565,0.09396583529419035,198.0
7Networks_LH_Vis_2,3.2429020408849234,0.22590025483929993,0.0013930074105801208,0.012663703732546553,199.0
7Networks_LH_Vis_3,2.6446026164533194,0.1863425491298272,0.00885193867012424,0.03161406667901514,198.0
7Networks_LH_Vis_4,1.6943701960188151,0.12233056396241056,0.09185083616982874,0.18009967876437008,193.0
7Networks_LH_Vis_5,1.4645641705548136,0.10468548068503387,0.14467532359284038,0.2371726616276072,197.0
7Networks_LH_Vis_6,1.7260011023208222,0.12273402843020831,0.08594759746154772,0.17189519492309543,198.0
7Networks_LH_Vis_7,3.672285452803608,0.25331031474318294,0.00031039498567353403,0.009550783189118575,200.0
7Networks_LH_Vis_8,2.795628813039529,0.1966033218480207,0.005703462219443143,0.024797661823665836,198.0
7Networks_LH_Vis_9,3.249310960730141,0.22572445795860677,0.0013624834130566894,0.012663703732546553,200.0
7Networks_LH_SomMot_1,3.089654441145716,0.21630735509732502,0.002299828010813879,0.018021669555792673,198.0
7Networks_LH_SomMot_2,2.456942366915423,0.17352131820179534,0.014895845792807791,0.0402590426832643,198.0
7Networks_LH_SomMot_3,2.5111292494212747,0.17772164690680112,0.012859466101201113,0.037504784194387145,197.0
7Networks_LH_SomMot_4,2.552060722743682,0.18040164952471138,0.011487035484698154,0.03480919843847925,197.0
7Networks_LH_SomMot_5,1.089239651242645,0.07873010975234121,0.2774351109298774,0.3800480971642156,194.0
7Networks_LH_SomMot_6,2.409611319981589,0.1701186955489727,0.01690858205740858,0.044496268572127844,198.0
7Networks_LH_DorsAttn_Post_1,3.2970315134521013,0.2288656864310322,0.0011610825184251014,0.012663703732546553,200.0
7Networks_LH_DorsAttn_Post_2,1.7718662384737165,0.12667343263473368,0.07801117208089914,0.15920647363448803,196.0
7Networks_LH_DorsAttn_Post_3,2.4932992595761583,0.1765626438869029,0.013501722309979373,0.037504784194387145,197.0
7Networks_LH_DorsAttn_Post_4,3.6155289210830395,0.2502470718232632,0.00038203132756474303,0.009550783189118575,199.0
7Networks_LH_DorsAttn_Post_5,2.9355392751590443,0.2048967261122492,0.003729787387260457,0.021228131837442054,200.0
