,t,r,p,p_fdr,N
7Networks_LH_Vis_1,3.3026792176379436,0.23171845103598232,0.0011431774316529053,0.0036876691343642105,196.0
7Networks_LH_Vis_2,0.6179114177302237,0.04412623307384349,0.5373584249067107,0.5970649165630119,199.0
7Networks_LH_Vis_3,3.5194567822729206,0.24623409124469556,0.0005411670037674775,0.0024613440178684384,195.0
7Networks_LH_Vis_4,4.204254720369041,0.2886103905487909,4.004689534952539e-05,0.0004004689534952539,198.0
7Networks_LH_Vis_5,-0.08437227366390593,-0.006096468605434079,0.9328492836015775,0.942272003637957,195.0
7Networks_LH_Vis_6,3.5177249005746805,0.24327360169429554,0.0005414956839310564,0.0024613440178684384,200.0
7Networks_LH_Vis_7,3.4383748966046124,0.2393064699825036,0.000716896002985452,0.00298706667910605,198.0
7Networks_LH_Vis_8,3.7959159683145565,0.261233946971464,0.00019630896937044255,0.0013087264624696171,200.0
7Networks_LH_Vis_9,4.34246627159463,0.29728816754512594,2.2731636082577455e-05,0.0003276931285648708,198.0
7Networks_LH_SomMot_1,4.712850684361458,0.320350755724954,4.681658386666161e-06,0.00011704145966665402,197.0
7Networks_LH_SomMot_2,1.958382516149245,0.1405126719302439,0.05166453216087712,0.0875670036625036,193.0
7Networks_LH_SomMot_3,1.385835416091873,0.09862507644572457,0.16738814092004406,0.2173871960000572,199.0
7Networks_LH_SomMot_4,1.581993714530731,0.11210601155158476,0.11527157700936629,0.16235433381600886,200.0
7Networks_LH_SomMot_5,2.2611923734297354,0.15958539578339845,0.024857133880996363,0.04873947819803208,199.0
7Networks_LH_SomMot_6,0.5103721247015574,0.03637394798706677,0.6103680220358556,0.6634435022128865,200.0
7Networks_LH_DorsAttn_Post_1,2.9734767254133487,0.2085400467863287,0.003319922868165866,0.008972764508556394,198.0
7Networks_LH_DorsAttn_Post_2,0.22159646263076854,0.01617274799855354,0.8248698353793915,0.8480979481146658,192.0
7Networks_LH_DorsAttn_Post_3,3.4136194059620855,0.2382406147712127,0.0007819508825271053,0.0031071355621151136,197.0
7Networks_LH_DorsAttn_Post_4,1.3198355129215629,0.09429933293528509,0.18845329138136088,0.23854847010298844,198.0
7Networks_LH_DorsAttn_Post_5,2.1357383184879972,0.1518549262036797,0.033974198910656526,0.06291518316788246,196.0
7Networks_LH_DorsAttn_Post_6,-0.2869167677526109,-0.02045773947126768,0.7744806888442302,0.8152428303623476,200.0
7Networks_LH_DorsAttn_PrCv_1,3.0377689414983533,0.21336588941982293,0.0027149255744614393,0.007541459929059554,197.0
7Networks_LH_DorsAttn_FEF_1,2.8348855395157386,0.19813402373290454,0.005067239056509236,0.011784276875602875,200.0
7Networks_LH_SalVentAttn_ParOper_1,2.0181299215554684,0.1439614066761006,0.04498404838989158,0.07891938314016068,195.0
7Networks_LH_SalVentAttn_FrOperIns_1,4.278791898061835,0.29226255631922904,2.9492381570838373e-05,0.0003276931285648708,199.0
7Networks_LH_SalVentAttn_FrOperIns_2,3.488527387194736,0.24341413968409117,0.0006022002686988043,0.002618262037820888,197.0
7Networks_LH_SalVentAttn_PFCl_1,3.3356149143862006,0.23503853870030378,0.0010245251959086967,0.0034150839863623223,194.0
7Networks_LH_SalVentAttn_Med_1,0.9849564361134309,0.0707880584956224,0.3258915159988074,0.3834017835280087,196.0
7Networks_LH_SalVentAttn_Med_2,2.6393291227569136,0.18541348220268275,0.00898230128890436,0.019111279338094384,199.0
7Networks_LH_SalVentAttn_Med_3,3.3727079193933296,0.23606211315146466,0.0009010693130133829,0.0031071355621151136,196.0
7Networks_LH_Limbic_OFC_1,1.6211470312523284,0.1151668727737806,0.10661027933226314,0.15677982254744577,199.0
7Networks_LH_Limbic_TempPole_1,2.930225473617351,0.20757212146530213,0.0038046009291180555,0.009755386997738603,194.0
7Networks_LH_Limbic_TempPole_2,2.117684094516853,0.14994584863904128,0.0354819928466724,0.0645127142666771,198.0
7Networks_LH_Cont_Par_1,4.307745042546773,0.29647556258020274,2.6360625969453004e-05,0.0003276931285648708,196.0
7Networks_LH_Cont_PFCl_1,1.7159305891829995,0.12188792566928897,0.08777113683334747,0.13503251820514994,199.0
7Networks_LH_Cont_pCun_1,2.9414950749113813,0.206176571332175,0.0036660545591254506,0.009647511997698553,198.0
7Networks_LH_Cont_Cing_1,3.218550784884883,0.22703384590670886,0.0015163693651033389,0.00459505868213133,194.0
7Networks_LH_Default_Temp_1,1.7542765462149434,0.12447091937288478,0.08096203906899202,0.12650318604530003,199.0
7Networks_LH_Default_Temp_2,4.308837692554609,0.29513763740216403,2.612231134941873e-05,0.0003276931285648708,198.0
7Networks_LH_Default_Par_1,1.6004586244928192,0.11439768190616931,0.11114959957037253,0.15951202431132014,196.0
7Networks_LH_Default_Par_2,0.47167112322639204,0.0340167396630987,0.6377027411243679,0.6857018721767396,195.0
7Networks_LH_Default_PFC_1,1.8506117269365339,0.13185262330690176,0.06576175787398905,0.10606735140965977,197.0
7Networks_LH_Default_PFC_2,2.5617909425393877,0.18174387933570504,0.011184779022498923,0.023301622963539426,196.0
7Networks_LH_Default_PFC_3,1.917857976720105,0.13588297818855433,0.056597649055546734,0.09376057571074926,199.0
7Networks_LH_Default_PFC_4,3.101876381290701,0.21655790283785936,0.00220978358733939,0.0063419612686389576,199.0
7Networks_LH_Default_PFC_5,1.5180759975024378,0.10791725807739712,0.13062315621613818,0.18142105030019193,199.0
7Networks_LH_Default_PFC_6,1.333677038946966,0.09491656582433862,0.18387342580056193,0.2357351612827717,199.0
7Networks_LH_Default_PFC_7,1.510202730847817,0.1079089785268717,0.1326356650133449,0.1816926917991026,197.0
7Networks_LH_Default_pCunPCC_1,4.123658340482001,0.2832851730259822,5.536714324824445e-05,0.0005033376658931314,198.0
7Networks_LH_Default_pCunPCC_2,0.6570653203292817,0.04735820771621574,0.5119340357904308,0.5752067817870009,195.0
7Networks_RH_Vis_1,2.4051706251191884,0.17050959648976297,0.01711420188924221,0.03422840377848442,197.0
7Networks_RH_Vis_2,1.5980918533129778,0.11390979002757957,0.11165841701792409,0.15951202431132014,198.0
