,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_LH_Vis_1,-0.10811704003691638,0.026837231030417658,-4.0286212804284895,5.6104915176713455e-05,-0.16071704630131575,-0.05551703377251701,13.50993745332012,0.32442879685665305,0.00016501445640209838
7Networks_LH_Vis_2,0.096162576731187,0.025188053107482566,3.817785214317345,0.0001346550753686948,0.04679489979983898,0.14553025366253503,0.0,0.469200703062545,0.00035437478564993884
7Networks_LH_Vis_3,-0.08385830683633286,0.034765631543954324,-2.4121036527212363,0.015860771705309196,-0.15199769256227297,-0.015718921110392747,47.59741388345569,0.06384893911405332,0.029371799454276287
7Networks_LH_Vis_4,-0.018799507479654986,0.03322548492694889,-0.5658158946660512,0.5715189402523035,-0.08392026130535325,0.046321246346043274,41.609722224623454,0.10094438087299691,0.6803796907765519
7Networks_LH_Vis_5,-0.01324313341942666,0.025334044840193057,-0.5227405849703131,0.601154791229719,-0.06289694888892784,0.03641068205007453,0.0,0.8012748696681569,0.6909825186548495
7Networks_LH_Vis_6,0.027912232371948675,0.03140149889773377,0.8888821665122199,0.3740664106831626,-0.03363357452818372,0.08945803927208107,35.07972530509223,0.14839370401146412,0.4921926456357403
7Networks_LH_Vis_7,-0.06466684972266014,0.027556480271972793,-2.3467020854775726,0.01894039205876652,-0.11867655859641532,-0.010657140848904949,16.717042661128392,0.2982321491260282,0.03443707647048458
7Networks_LH_Vis_8,-0.012221920468246383,0.02533431569976717,-0.4824255216950149,0.6295036946037259,-0.061876266812757694,0.03743242587626493,0.0,0.6821411756236491,0.715345107504234
7Networks_LH_Vis_9,-0.0925850775928471,0.029945289914165302,-3.0918076885624246,0.0019894168773231247,-0.15127676733122164,-0.03389338785447259,29.531175849293714,0.19237508089530284,0.004232801866644946
7Networks_LH_SomMot_1,0.014172978257349603,0.044026284262274167,0.3219208364920847,0.747512667536474,-0.07211695326983035,0.10046290978452956,67.55221394320155,0.0030083389006906832,0.829362153931105
