,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-2.4362217205309915,-0.1712765074948309,0.01573981981479373,0.04851455927605845,200.0
7Networks_LH_Vis_2,-0.8116915271026526,-0.0584694706294713,0.41797905391575874,0.5275626852643023,196.0
7Networks_LH_Vis_3,-3.8932844209140494,-0.2683561188625822,0.0001359591174192262,0.0019422731059889455,199.0
7Networks_LH_Vis_4,2.323243260349777,0.16527089358788533,0.02121893963050013,0.0544075375141029,196.0
7Networks_LH_Vis_5,-0.7625589725320945,-0.05520422741205878,0.44667711564206636,0.5381651995687546,194.0
7Networks_LH_Vis_6,-2.1365286300487054,-0.15114364669236988,0.033889148314391576,0.07845128399092116,199.0
7Networks_LH_Vis_7,-1.9788226971141696,-0.14022474544337094,0.049250838504290774,0.10051191531487913,199.0
7Networks_LH_Vis_8,-0.7881782492387711,-0.05647037835341155,0.43155944490268594,0.5327894381514641,198.0
7Networks_LH_Vis_9,-2.567583826162041,-0.1812841266663915,0.010997824232528708,0.039277943687602526,198.0
7Networks_LH_SomMot_1,-2.626082584888855,-0.18528540915430486,0.009330330269722157,0.03732132107888863,198.0
7Networks_LH_SomMot_2,-0.2039507713068703,-0.014618044027914053,0.8386068625329848,0.8827440658241945,198.0
7Networks_LH_SomMot_3,-2.358387894957173,-0.1664310158229506,0.019349254880283256,0.0544075375141029,199.0
7Networks_LH_SomMot_4,-0.266301612294379,-0.01916973343649063,0.7902926963767425,0.8407369110390878,197.0
7Networks_LH_SomMot_5,2.010713772819941,0.14474493256433354,0.04578450346191847,0.09538438221233016,193.0
7Networks_LH_SomMot_6,-0.9524642423565715,-0.06781604659124603,0.3420407050312019,0.4500535592515814,200.0
7Networks_LH_DorsAttn_Post_1,-0.775778559524829,-0.05543858312505908,0.43882442876766525,0.5351517423995918,199.0
7Networks_LH_DorsAttn_Post_2,-2.30077234072943,-0.16293358194913113,0.022473126473398736,0.05618281618349684,198.0
7Networks_LH_DorsAttn_Post_3,-1.0089848606383756,-0.07182003145650467,0.31423225288800977,0.43948432506774104,200.0
7Networks_LH_DorsAttn_Post_4,0.17041206771891415,0.01222484401810885,0.864864591437292,0.8916129808631876,198.0
7Networks_LH_DorsAttn_Post_5,-2.0809458265510314,-0.14868618643278475,0.03877965041963253,0.08430358786876636,195.0
7Networks_LH_DorsAttn_Post_6,-0.17331135965902983,-0.01241914524616938,0.8625883264967693,0.8916129808631876,198.0
7Networks_LH_DorsAttn_PrCv_1,-0.8612677829669981,-0.0613487060078909,0.3901483741303058,0.5066862001692283,200.0
7Networks_LH_DorsAttn_FEF_1,0.3725926360566564,0.0265810050536361,0.709856303180475,0.7800618716268956,200.0
7Networks_LH_SalVentAttn_ParOper_1,-2.4774084017820672,-0.174921039397825,0.014093511808351495,0.04546294131726289,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,-0.5328178676531696,-0.03828559319215553,0.5947758016356527,0.6836503467076468,197.0
7Networks_LH_SalVentAttn_FrOperIns_2,0.11249654472545763,0.008100072812834695,0.9105478530449939,0.9291304622908101,196.0
7Networks_LH_SalVentAttn_PFCl_1,-0.5932108718311239,-0.04268707400117686,0.5537418152848601,0.651460959158659,196.0
7Networks_LH_SalVentAttn_Med_1,-0.9953537561237682,-0.07148606900016183,0.32082355729945095,0.43948432506774104,196.0
7Networks_LH_SalVentAttn_Med_2,0.02610851158225594,0.001876287717614032,0.9791979040200405,0.9791979040200405,197.0
7Networks_LH_SalVentAttn_Med_3,-1.489849925880963,-0.10572468566391215,0.13787935531382392,0.22238605695778052,200.0
7Networks_LH_Limbic_OFC_1,-1.7116786249619094,-0.12148082391614153,0.08855402308687273,0.15535793524012761,199.0
7Networks_LH_Limbic_TempPole_1,-1.8683462746127404,-0.13309709102241413,0.06323716422266862,0.11497666222303385,197.0
7Networks_LH_Limbic_TempPole_2,-3.2303838427005562,-0.22513310259729977,0.0014521658569966722,0.011170506592282093,199.0
7Networks_LH_Cont_Par_1,-3.0979761342175522,-0.2158424822408719,0.0022361263628857884,0.013975789768036177,200.0
7Networks_LH_Cont_PFCl_1,-1.1152242840651818,-0.080089234366963,0.2661555333392571,0.38573265701341614,196.0
7Networks_LH_Cont_pCun_1,-3.757917200224635,-0.25969655913850365,0.00022658065402570378,0.0025175628225078198,199.0
7Networks_LH_Cont_Cing_1,-1.9569811025144193,-0.13941760000882608,0.051799468886061135,0.10156758605110026,197.0
