,younger,older,all
7Networks_LH_Vis_1,0.40771208226224326,0.357482828701757,0.4408322859350837
7Networks_LH_Vis_2,-0.1203346190612175,-0.04929577841454076,-0.14862554111036833
7Networks_LH_Vis_3,0.3220494820364765,-0.07577168755547488,0.06326539064182629
7Networks_LH_Vis_4,0.5590820869398525,0.565392188539201,0.4865553431523882
7Networks_LH_Vis_5,0.5248496750454149,0.5373885519182897,0.49431576976431857
7Networks_LH_Vis_6,0.21404426418238606,0.21313937671331668,0.2722593809660597
7Networks_LH_Vis_7,0.22380925235427224,0.2655203968667614,0.29212462886309065
7Networks_LH_Vis_8,-0.07176621928659664,0.2683274171295166,0.04896928623032327
7Networks_LH_Vis_9,0.10239476620112266,0.19774113512424435,0.15874166237889872
7Networks_LH_SomMot_1,0.5277890632625858,0.5244568261745449,0.4956904508195982
7Networks_LH_SomMot_2,0.34732565501414536,0.27342721237630174,0.3078284573326996
7Networks_LH_SomMot_3,0.6985749173430023,0.6546645060286693,0.5991250858493069
7Networks_LH_SomMot_4,0.7307397917735993,0.6545766821740314,0.7070519777309706
7Networks_LH_SomMot_5,0.7208797580778609,0.7167202356378534,0.7093619835059204
7Networks_LH_SomMot_6,0.7269798929989566,0.3678655004729919,0.574815839766186
7Networks_LH_DorsAttn_Post_1,0.2749934402692014,0.20726606617392546,0.2634777134405991
7Networks_LH_DorsAttn_Post_2,0.5527112411846741,0.574695886517456,0.47451543831995774
7Networks_LH_DorsAttn_Post_3,0.17810168960735132,-0.05191604821750844,0.08887041358543872
7Networks_LH_DorsAttn_Post_4,0.684168990596995,0.5161930274652368,0.6361595817583336
7Networks_LH_DorsAttn_Post_5,0.36096449276672055,0.5658416747379226,0.4704058644020512
7Networks_LH_DorsAttn_Post_6,0.4904255636977026,0.3412357663686659,0.4262312156432891
7Networks_LH_DorsAttn_PrCv_1,0.653160693090838,0.5953436687338094,0.6814814217610154
7Networks_LH_DorsAttn_FEF_1,0.6215256573375452,0.5394859965591511,0.577450745255084
7Networks_LH_SalVentAttn_ParOper_1,0.47967855886395294,0.18896040638942804,0.39705815636534264
7Networks_LH_SalVentAttn_FrOperIns_1,0.7408204337999411,0.7538687830417479,0.7713047130919173
7Networks_LH_SalVentAttn_FrOperIns_2,0.19965801323437224,0.18251173068687446,0.1893099643884731
7Networks_LH_SalVentAttn_PFCl_1,0.27823048433034164,0.38427544216889403,0.39510787381110396
7Networks_LH_SalVentAttn_Med_1,0.5820190288605367,0.626668199745523,0.5505718081634837
7Networks_LH_SalVentAttn_Med_2,0.6342700490641087,0.5289409815254644,0.5634965922860973
7Networks_LH_SalVentAttn_Med_3,0.5660830821231285,0.55808608614166,0.6254461316721275
7Networks_LH_Limbic_OFC_1,0.017421173495917593,0.522664138350061,0.32888529691356777
7Networks_LH_Limbic_TempPole_1,0.3769046652628608,0.33908172338642806,0.4157924692213925
7Networks_LH_Limbic_TempPole_2,0.3640416541084919,0.6505883059423687,0.5819770482598747
7Networks_LH_Cont_Par_1,0.49491706663912927,0.1664132529738014,0.38600856964980396
7Networks_LH_Cont_PFCl_1,0.4848081431357269,0.569477494546892,0.5429980005073356
7Networks_LH_Cont_pCun_1,0.6686818302389326,0.616335521883046,0.6365760548427357
7Networks_LH_Cont_Cing_1,0.5050379083836115,0.43119264037165167,0.526531487002901
7Networks_LH_Default_Temp_1,0.6588513979935634,0.6391161343663212,0.7228734603529346
7Networks_LH_Default_Temp_2,0.27184955885320256,0.35673188209172746,0.31551330595663984
7Networks_LH_Default_Par_1,0.5053514500286039,0.3140699738275126,0.5962652379518951
7Networks_LH_Default_Par_2,0.6613571966902569,0.27348011562330143,0.5613389319610981
7Networks_LH_Default_PFC_1,0.5201244017206051,0.38774084709215473,0.5280783075168367
7Networks_LH_Default_PFC_2,0.41117006087210567,0.6550937285776195,0.5936751499972088
7Networks_LH_Default_PFC_3,0.561358778965184,0.44629859291157203,0.49615030651431763
7Networks_LH_Default_PFC_4,0.2793209650057082,0.5844425604152599,0.48212665046694214
7Networks_LH_Default_PFC_5,0.21000345335766493,0.25670010156678763,0.16760011546761916
7Networks_LH_Default_PFC_6,0.4160580802251362,0.5078715598008485,0.4040733360775533
7Networks_LH_Default_PFC_7,0.2869585457409349,0.47181725246060174,0.4253810443815595
7Networks_LH_Default_pCunPCC_1,0.5884459558295088,0.4828340739019995,0.5900528772816428
7Networks_LH_Default_pCunPCC_2,0.5712285614280822,0.5969922483361527,0.6158720809154956
7Networks_RH_Vis_1,0.4575619043808539,0.5838200929546525,0.5897442419463512
7Networks_RH_Vis_2,0.6907897177734691,0.6915134052839824,0.705183448463311
