,t,r,p,p_fdr,N
7Networks_LH_Vis_1,2.4839315721611914,0.1755138579171768,0.01384598559207471,0.22830600455453723,198.0
7Networks_LH_Vis_2,1.736751781290524,0.12366279887783638,0.08402654339499652,0.3886485366945143,198.0
7Networks_LH_Vis_3,1.8445157054615855,0.1314185871588826,0.0666486639981036,0.3886485366945143,197.0
7Networks_LH_Vis_4,3.186785894068373,0.22172780993118318,0.0016756280219141024,0.16756280219141023,200.0
7Networks_LH_Vis_5,1.0331979811462326,0.0742846526636352,0.302817698844496,0.5970688395794503,196.0
7Networks_LH_Vis_6,0.9992701043658946,0.0714875659228845,0.31891505898253975,0.5970688395794503,198.0
7Networks_LH_Vis_7,2.895190169843945,0.2033946960740571,0.004226017638969936,0.2113008819484968,198.0
7Networks_LH_Vis_8,2.114756105141689,0.15007456842903288,0.03573411324299225,0.2748777941768634,198.0
7Networks_LH_Vis_9,1.2638012448199394,0.09036863749037416,0.2078257039037432,0.5209387943493738,198.0
7Networks_LH_SomMot_1,0.7319711742643552,0.05303344464704493,0.4650928259892897,0.6644183228418424,194.0
7Networks_LH_SomMot_2,1.2097537256678212,0.08690330682465318,0.22786857061192123,0.5209387943493738,196.0
7Networks_LH_SomMot_3,1.2434910556637906,0.08917524586028343,0.2152031148039125,0.5209387943493738,197.0
7Networks_LH_SomMot_4,2.0589884704909336,0.14660053020495908,0.04084530946385677,0.29175221045611976,197.0
7Networks_LH_SomMot_5,2.121549629670336,0.15054512495061484,0.035151486878264325,0.2748777941768634,198.0
7Networks_LH_SomMot_6,0.9095053443754135,0.06486064874456826,0.36421199214346467,0.5970688395794503,199.0
7Networks_LH_DorsAttn_Post_1,2.287608908470614,0.16237590835392396,0.023250267750487632,0.2748777941768634,197.0
7Networks_LH_DorsAttn_Post_2,0.34996576676565794,0.02516991726730507,0.7267479839809675,0.8651761714059137,197.0
7Networks_LH_DorsAttn_Post_3,1.3477600043579054,0.09573942907484537,0.17929929050638513,0.5209387943493738,200.0
7Networks_LH_DorsAttn_Post_4,-0.19460113509926452,-0.013946350273807799,0.8459099044331966,0.8914200579782666,198.0
7Networks_LH_DorsAttn_Post_5,-0.33538618036369733,-0.024173909863559693,0.7377018759844702,0.8678845599817298,196.0
7Networks_LH_DorsAttn_Post_6,-0.3995470768386616,-0.02856520770397105,0.6899296677407394,0.8624120846759242,199.0
7Networks_LH_DorsAttn_PrCv_1,2.115182325453872,0.1500135519707193,0.03569731719416371,0.2748777941768634,198.0
7Networks_LH_DorsAttn_FEF_1,2.013658777551149,0.14365320169556509,0.04544875850311888,0.3029917233541259,196.0
7Networks_LH_SalVentAttn_ParOper_1,0.5263636083740746,0.03772609835917766,0.5992399596157724,0.7782337137867174,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,0.7776586129228252,0.0556872832404526,0.4377225132132567,0.6533171839003832,198.0
7Networks_LH_SalVentAttn_FrOperIns_2,0.18884982718147386,0.013734131153453927,0.8504153179389957,0.8914200579782666,192.0
7Networks_LH_SalVentAttn_PFCl_1,0.3692607199703268,0.026481921475048666,0.7123382048574911,0.8651761714059137,198.0
7Networks_LH_SalVentAttn_Med_1,0.18201464595510453,0.013066486600226964,0.8557632556591359,0.8914200579782666,197.0
7Networks_LH_SalVentAttn_Med_2,0.3574345007156393,0.02560697241368084,0.7211571053422912,0.8651761714059137,198.0
7Networks_LH_SalVentAttn_Med_3,1.2062501357521154,0.08666171968403974,0.22921306951372447,0.5209387943493738,196.0
7Networks_LH_Limbic_OFC_1,-0.28966563215336927,-0.02075809955493921,0.7723830005432062,0.8777079551627343,198.0
7Networks_LH_Limbic_TempPole_1,1.0301399486991751,0.07409392110073316,0.3042470203219256,0.5970688395794503,196.0
7Networks_LH_Limbic_TempPole_2,1.2199977198458734,0.0869472003456726,0.22394673290391884,0.5209387943493738,199.0
7Networks_LH_Cont_Par_1,0.909650285080032,0.06552613023400487,0.3641534255484876,0.5970688395794503,196.0
