,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.669429959178663,-0.11862354689862241,0.09664503846912556,0.127164524301481,199.0
7Networks_LH_Vis_2,2.002414473254684,0.14184423311077846,0.04663271622756835,0.07174264035010515,199.0
7Networks_LH_Vis_3,-2.4822855239936317,-0.17488884124063037,0.013903625969244349,0.027262011704400683,199.0
7Networks_LH_Vis_4,-1.2037710752975894,-0.08582780510977148,0.2301448320995456,0.2772829302404164,199.0
7Networks_LH_Vis_5,-1.1148192579307796,-0.07952759063094417,0.26630702158968145,0.30965932742986213,199.0
7Networks_LH_Vis_6,-0.038995628728941474,-0.0027979499857136427,0.9689341811459563,0.9887083481081187,198.0
7Networks_LH_Vis_7,0.022629373676844956,0.0016194666088381055,0.9819691714371739,0.9918880519567413,199.0
7Networks_LH_Vis_8,0.8836919180550634,0.06326000147046817,0.37796200355027376,0.4199577817225264,198.0
7Networks_LH_Vis_9,-2.6319012419962613,-0.18558521455438304,0.009177581585474954,0.01872975833770399,198.0
7Networks_LH_SomMot_1,0.7758067757861349,0.05574612763053765,0.4388176357033521,0.4822171820915957,197.0
7Networks_LH_SomMot_2,-0.7264438461921104,-0.05205719862008284,0.4684468276105085,0.5091813343592483,198.0
7Networks_LH_SomMot_3,-3.4778920401538294,-0.24145764636320446,0.0006237998423525682,0.0016534002769310456,199.0
7Networks_LH_SomMot_4,-3.872492881151539,-0.26698127241858,0.00014718465946543828,0.0005412689459467953,199.0
7Networks_LH_SomMot_5,-4.0299305340922,-0.27701220316044256,8.007992101873815e-05,0.0003446606375669568,199.0
7Networks_LH_SomMot_6,-5.0165242426044525,-0.3377350790597329,1.1848203327675134e-06,1.4810254159593918e-05,199.0
7Networks_LH_DorsAttn_Post_1,1.1216191828817412,0.08023728866934617,0.26341793906406546,0.30965932742986213,198.0
7Networks_LH_DorsAttn_Post_2,-4.305627079592722,-0.29435881768599786,2.641072926521061e-05,0.0001553572309718271,199.0
7Networks_LH_DorsAttn_Post_3,1.053209465902709,0.07511958385069563,0.29355500330228795,0.3335852310253272,199.0
7Networks_LH_DorsAttn_Post_4,-3.83455689921895,-0.26455096314074567,0.00016996839766905092,0.0005412689459467953,199.0
7Networks_LH_DorsAttn_Post_5,-5.205177728688358,-0.34890450221161146,4.914975775222458e-07,1.1138518814868587e-05,199.0
7Networks_LH_DorsAttn_Post_6,-4.826165580600011,-0.32631710667990893,2.8126730299928095e-06,2.556975481811645e-05,199.0
7Networks_LH_DorsAttn_PrCv_1,-1.5815495342426293,-0.11372617363061131,0.11541565833040378,0.14796879273128688,195.0
7Networks_LH_DorsAttn_FEF_1,-2.811240031149187,-0.1971904295735608,0.005441719187321412,0.01182982432026394,199.0
7Networks_LH_SalVentAttn_ParOper_1,-2.7118685734494483,-0.19047922911605675,0.007291409977149298,0.015190437452394371,199.0
7Networks_LH_SalVentAttn_FrOperIns_1,-2.045715186541646,-0.1448335578597369,0.042134024835146305,0.06687940450023223,199.0
7Networks_LH_SalVentAttn_FrOperIns_2,-1.2605214875925805,-0.09035004452230515,0.20901102828797444,0.25803830652836346,197.0
7Networks_LH_SalVentAttn_PFCl_1,-4.150330524082959,-0.28464966419690196,4.966634207979918e-05,0.00025301605556588566,199.0
7Networks_LH_SalVentAttn_Med_1,-3.217407970964946,-0.22373937199774366,0.0015147512000060503,0.0037868780000151255,200.0
7Networks_LH_SalVentAttn_Med_2,-1.7040927040966154,-0.121039017369717,0.08996484932124918,0.12157412070439079,199.0
7Networks_LH_SalVentAttn_Med_3,-4.286199944641992,-0.2924082748126058,2.8546174997306984e-05,0.00015858986109614992,200.0
7Networks_LH_Limbic_OFC_1,-5.072958745611271,-0.3402602883198644,9.091533824426272e-07,1.3860077664719255e-05,200.0
7Networks_LH_Limbic_TempPole_1,-2.3879124017632107,-0.16841718878229664,0.017904164013948162,0.03197172145347886,199.0
7Networks_LH_Limbic_TempPole_2,-0.0016223614514338464,-0.00011640870113880167,0.9987072190808746,0.9987072190808746,198.0
7Networks_LH_Cont_Par_1,-1.922667714354039,-0.1362899850288327,0.05598640018511547,0.08233294144869921,199.0
7Networks_LH_Cont_PFCl_1,-1.9882352219618207,-0.14087273008094559,0.04819173630556765,0.07301778228116311,199.0
7Networks_LH_Cont_pCun_1,-5.2070153224065185,-0.3481667597509688,4.851158300137896e-07,1.1138518814868587e-05,200.0
7Networks_LH_Cont_Cing_1,-4.083529833555695,-0.2796959478859408,6.470375619439445e-05,0.0003081131247352117,200.0
7Networks_LH_Default_Temp_1,-2.4418959027828966,-0.172112275968421,0.015506634570300168,0.028715989945000308,199.0
7Networks_LH_Default_Temp_2,0.2751310140541472,0.019686093273148707,0.7835083857867862,0.8077406039039032,199.0
7Networks_LH_Default_Par_1,-0.6551244882712417,-0.04711023317795108,0.5131717309511608,0.5517975601625384,197.0
7Networks_LH_Default_Par_2,-3.8348805530497785,-0.26457171907851645,0.00016976058937540032,0.0005412689459467953,199.0
7Networks_LH_Default_PFC_1,-4.520148439931196,-0.30768693906931854,1.0733207281548307e-05,7.155471521032205e-05,199.0
7Networks_LH_Default_PFC_2,-3.926647772675741,-0.270007628924583,0.00011962741511661998,0.00046010544275623065,199.0
7Networks_LH_Default_PFC_3,-4.1451840219780145,-0.28357923727470147,5.0603211113177134e-05,0.00025301605556588566,200.0
