,t,r,p,p_fdr,N
7Networks_LH_Vis_1,2.3723474528797377,0.16690445782372273,0.018648606043915446,0.023908469287071084,200.0
7Networks_LH_Vis_2,2.469236875476616,0.17351829213418524,0.014400121465973748,0.023908469287071084,200.0
7Networks_LH_Vis_3,2.5165220231739984,0.17673754845022172,0.01265789876368743,0.023908469287071084,200.0
7Networks_LH_Vis_4,2.630438267560777,0.1844695749645614,0.009208600189307985,0.023908469287071084,200.0
7Networks_LH_Vis_5,2.4705611384850994,0.17360852710889635,0.014348565161006138,0.023908469287071084,200.0
7Networks_LH_Vis_6,2.3934413620278696,0.16834633005348149,0.01763946429408623,0.023908469287071084,200.0
7Networks_LH_Vis_7,2.6317126118663383,0.184555878697755,0.009175338225346155,0.023908469287071084,200.0
7Networks_LH_Vis_8,2.5324437221976996,0.17782024687894898,0.012115068978357995,0.023908469287071084,200.0
7Networks_LH_Vis_9,2.6090915099812753,0.18302324878296117,0.009782133545178547,0.023908469287071084,200.0
7Networks_LH_SomMot_1,2.4205145189030794,0.17019531840555,0.016415129088148663,0.023908469287071084,200.0
7Networks_LH_SomMot_2,2.377553048428272,0.1672603864628618,0.01839494809823498,0.023908469287071084,200.0
7Networks_LH_SomMot_3,2.558476187471557,0.17958909008843899,0.011272203963378021,0.023908469287071084,200.0
7Networks_LH_SomMot_4,2.672112861970816,0.18728970827720015,0.008175299095391454,0.023908469287071084,200.0
7Networks_LH_SomMot_5,2.565759070316182,0.18008363128395555,0.011045990537295972,0.023908469287071084,200.0
7Networks_LH_SomMot_6,2.4105313977563294,0.16951372075717658,0.01685755582921941,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_1,2.4150123228004605,0.16981968630500857,0.01665768423780024,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_2,2.635840720574226,0.1848354213243408,0.009068330208657735,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_3,2.4480750819334656,0.17207573657395708,0.01524662341989507,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_4,2.454537652912948,0.17251639536175836,0.014983544891373147,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_5,2.503801758641681,0.17587208735690285,0.013107060999882169,0.023908469287071084,200.0
7Networks_LH_DorsAttn_Post_6,2.658312876766723,0.18635637158859208,0.008505263802547939,0.023908469287071084,200.0
7Networks_LH_DorsAttn_PrCv_1,2.326208507711969,0.16464084872960638,0.021045751474343233,0.02444462281101449,198.0
7Networks_LH_DorsAttn_FEF_1,2.3944772111989514,0.16841710748135674,0.017591175409598682,0.023908469287071084,200.0
7Networks_LH_SalVentAttn_ParOper_1,2.64318077063013,0.1853323549580286,0.008880832690376554,0.023908469287071084,200.0
7Networks_LH_SalVentAttn_FrOperIns_1,2.4408313882352304,0.17158169223330974,0.015546364087990483,0.023908469287071084,200.0
7Networks_LH_SalVentAttn_FrOperIns_2,1.9832531309379087,0.14089340853189689,0.048757222147220176,0.048757222147220176,198.0
7Networks_LH_SalVentAttn_PFCl_1,2.2892282413347385,0.16121242485485282,0.023137266673977808,0.025708074082197562,200.0
7Networks_LH_SalVentAttn_Med_1,2.2232380557150955,0.15668179704118707,0.027347957349771957,0.028787323526075746,200.0
7Networks_LH_SalVentAttn_Med_2,2.3355288253481232,0.1643851427030839,0.020532400155965268,0.024443333519006273,200.0
7Networks_LH_SalVentAttn_Med_3,2.489639325064185,0.17490802059372262,0.013623810070176176,0.023908469287071084,200.0
7Networks_LH_Limbic_OFC_1,2.3587698803587758,0.16597579261985848,0.019324778975770868,0.024028692145483324,200.0
7Networks_LH_Limbic_TempPole_1,2.571937175641867,0.18050304522335053,0.01085728803839736,0.023908469287071084,200.0
7Networks_LH_Limbic_TempPole_2,2.501514076111586,0.17571639440952386,0.013189331166886021,0.023908469287071084,200.0
7Networks_LH_Cont_Par_1,2.6249770768051297,0.18409967245371964,0.009352375538503344,0.023908469287071084,200.0
7Networks_LH_Cont_PFCl_1,2.074913191477757,0.147266068766628,0.03932084604845427,0.03971802631156997,198.0
7Networks_LH_Cont_pCun_1,2.491702360507,0.17504848737812131,0.013547424269031653,0.023908469287071084,200.0
7Networks_LH_Cont_Cing_1,2.40095130989426,0.1688594097528256,0.017292005061348408,0.023908469287071084,200.0
7Networks_LH_Default_Temp_1,2.592015976979652,0.18186545194187456,0.010263786342092834,0.023908469287071084,200.0
7Networks_LH_Default_Temp_2,2.501856491247174,0.17573969902243725,0.013176987948182674,0.023908469287071084,200.0
7Networks_LH_Default_Par_1,2.5698441936849252,0.18036096974676444,0.010920889673130846,0.023908469287071084,200.0
7Networks_LH_Default_Par_2,2.6467110988172546,0.1855713130950843,0.008791901288749113,0.023908469287071084,200.0
7Networks_LH_Default_PFC_1,2.373015735284287,0.16695015480545736,0.018615870411865514,0.023908469287071084,200.0
7Networks_LH_Default_PFC_2,2.3560412970987157,0.16578911194701448,0.019463240637841495,0.024028692145483324,200.0
