,t,r,p,p_fdr,N
7Networks_LH_Vis_1,0.6145522614284746,0.043815878010516195,0.5395705342918773,0.7326629617329492,199.0
7Networks_LH_Vis_2,2.292416824043746,0.16268182121224373,0.022971538154453106,0.16408241538895074,196.0
7Networks_LH_Vis_3,0.4405203769635678,0.03175277296637763,0.6600610303824087,0.7765423886851868,195.0
7Networks_LH_Vis_4,0.3156234841165371,0.022683605749604773,0.7526329119464854,0.833948434933247,196.0
7Networks_LH_Vis_5,-0.8001310306335775,-0.05762568199451316,0.42463415918205716,0.6532833218185494,195.0
7Networks_LH_Vis_6,2.2259024222312793,0.15807803496772263,0.027189964345171118,0.1699372771573195,196.0
7Networks_LH_Vis_7,-0.4724283541438063,-0.033774519422996974,0.637154829773215,0.7585176544919227,198.0
7Networks_LH_Vis_8,0.9727129868157142,0.06990634882648397,0.3319326912134454,0.5871896647164372,195.0
7Networks_LH_Vis_9,0.5347274990242477,0.0383370649283397,0.5934569990036889,0.7326629617329492,197.0
7Networks_LH_SomMot_1,1.8674898942105405,0.13385680675555683,0.06337324955143293,0.23471573907938123,195.0
7Networks_LH_SomMot_2,2.3555583783129745,0.16642439744217924,0.01950348415253794,0.16408241538895074,197.0
7Networks_LH_SomMot_3,0.9227528739582463,0.06610934437762879,0.3572941208881688,0.5880460299151014,197.0
7Networks_LH_SomMot_4,0.31891878406522656,0.022985728623469134,0.7501384292521458,0.833948434933247,195.0
7Networks_LH_SomMot_5,1.4788230853463982,0.1058926600974292,0.14083490084015865,0.3912080578893296,196.0
7Networks_LH_SomMot_6,2.8914607262819034,0.2035288109353147,0.004281493438763326,0.10224676141720161,195.0
7Networks_LH_DorsAttn_Post_1,0.512189757835993,0.036982043773002175,0.6091130611085175,0.7338711579620693,195.0
7Networks_LH_DorsAttn_Post_2,0.333598403657791,0.024006449187494713,0.7390485709852119,0.833948434933247,196.0
7Networks_LH_DorsAttn_Post_3,2.5902917500372307,0.18268904637691052,0.010325070382623336,0.14750100546604764,197.0
7Networks_LH_DorsAttn_Post_4,2.0860678203733696,0.14807388155779058,0.038300708169837404,0.1787156603914955,196.0
7Networks_LH_DorsAttn_Post_5,1.2011687075590518,0.08695371781563051,0.23120492835184991,0.5026194094605433,192.0
7Networks_LH_DorsAttn_Post_6,1.2975293274666244,0.09267650698501131,0.19600590993572786,0.47806319496518995,197.0
7Networks_LH_DorsAttn_PrCv_1,1.5114730154372644,0.10763119017777242,0.13231209706035535,0.3912080578893296,197.0
7Networks_LH_DorsAttn_FEF_1,3.0063760914779882,0.21047450557630693,0.0029953806173878,0.09984602057959334,198.0
7Networks_LH_SalVentAttn_ParOper_1,-1.1190041656793943,-0.08003228246065552,0.26453635602854036,0.5389902535742356,197.0
7Networks_LH_SalVentAttn_FrOperIns_1,1.1356631739466183,0.08202675535143038,0.2575432573253575,0.5389902535742356,193.0
7Networks_LH_SalVentAttn_FrOperIns_2,1.0241233302228152,0.0730919202053157,0.3070656062670235,0.5831684138193456,197.0
7Networks_LH_SalVentAttn_PFCl_1,-1.2751465034175635,-0.09183583908721454,0.2038226305901601,0.48529197759561926,194.0
7Networks_LH_SalVentAttn_Med_1,-0.16650696039796786,-0.012084207510217326,0.8679369489860614,0.8947803597794448,193.0
7Networks_LH_SalVentAttn_Med_2,2.1318230325780108,0.1515288358257541,0.034305998881903506,0.1787156603914955,195.0
7Networks_LH_SalVentAttn_Med_3,1.3196059744412505,0.0945787476232515,0.18854615878575762,0.47806319496518995,196.0
7Networks_LH_Limbic_OFC_1,-0.04534879056423461,-0.0032611496644906262,0.9638766755974024,0.9638766755974024,196.0
