,younger,older,all
7Networks_LH_Vis_1,0.23415679908225512,0.38505827549435384,0.3503464958099397
7Networks_LH_Vis_2,0.5757364483346691,0.7266470430826858,0.6497900146535329
7Networks_LH_Vis_3,0.4864572401701546,0.47400542949959573,0.48685796356022665
7Networks_LH_Vis_4,0.551459353574932,0.2330342563166129,0.4479885956315206
7Networks_LH_Vis_5,0.4325587259525635,0.6903397896887393,0.5804590653086159
7Networks_LH_Vis_6,0.5656085659262878,0.7430648311456534,0.6719763197710167
7Networks_LH_Vis_7,0.2958574874116314,0.14252219209596798,0.17920020392977842
7Networks_LH_Vis_8,0.6560619987428424,0.5768690331251097,0.5951137701877987
7Networks_LH_Vis_9,0.3345242196044972,0.5942532528153713,0.47583701932300454
7Networks_LH_SomMot_1,0.6409657618164606,0.3915233226568521,0.5152814997241858
7Networks_LH_SomMot_2,0.7104897379857721,0.5020181068977506,0.6435533964935067
7Networks_LH_SomMot_3,0.23450675595053383,0.34519370675626254,0.3411198216360241
7Networks_LH_SomMot_4,0.4824364393532787,0.36060796202229073,0.3881653995491948
7Networks_LH_SomMot_5,0.5675350636982333,0.5626126998696311,0.47577566352825534
7Networks_LH_SomMot_6,0.26948615316367647,0.5252097719107849,0.3767724794288711
7Networks_LH_DorsAttn_Post_1,0.5974094822043597,0.3968072976054417,0.545997978722801
7Networks_LH_DorsAttn_Post_2,0.433217212614376,0.45290126065751957,0.4238497268704027
7Networks_LH_DorsAttn_Post_3,0.44676176086711294,0.25711563508713847,0.323723849060539
7Networks_LH_DorsAttn_Post_4,0.4778878135924248,0.5343997165703761,0.5081432463213836
7Networks_LH_DorsAttn_Post_5,0.47767759607390015,0.6168632249016975,0.448870722016677
7Networks_LH_DorsAttn_Post_6,0.3152378153805853,0.39789969214465154,0.34992922027791806
7Networks_LH_DorsAttn_PrCv_1,0.3203023599012098,0.5863485879533568,0.48964018164801265
7Networks_LH_DorsAttn_FEF_1,0.430488226816076,0.49355602831916984,0.4347546666727787
7Networks_LH_SalVentAttn_ParOper_1,0.3893446007482043,0.2156552836582509,0.32015681206963026
7Networks_LH_SalVentAttn_FrOperIns_1,0.3911655816041991,0.6277987555325595,0.4880855797410833
7Networks_LH_SalVentAttn_FrOperIns_2,0.5045022315163414,0.5664428378749607,0.5599004313883285
7Networks_LH_SalVentAttn_PFCl_1,0.592534054772555,0.6908682750392187,0.662625751478165
7Networks_LH_SalVentAttn_Med_1,0.6613878829402117,0.6788131628505314,0.6632293376761028
7Networks_LH_SalVentAttn_Med_2,0.5202680065253286,0.6307196035796403,0.6041831569753923
