,t,r,p,p_fdr,N
7Networks_LH_Vis_1,3.277999668323832,0.22833594947680877,0.0012399241666920379,0.003444233796366772,198.0
7Networks_LH_Vis_2,4.343227834845466,0.29661233052866315,2.265996747079973e-05,0.0003237138210114247,198.0
7Networks_LH_Vis_3,3.9176071740191025,0.2691592619360964,0.00012385857655735141,0.0006881032030963968,199.0
7Networks_LH_Vis_4,1.6482511989725033,0.11799633405269877,0.10095373461809333,0.15067721584790048,195.0
7Networks_LH_Vis_5,0.4527606125384586,0.032438441556330085,0.6512296700129321,0.7078583369705783,198.0
7Networks_LH_Vis_6,0.8610907782732883,0.06118158070645653,0.3902456054940334,0.48178469814078195,200.0
7Networks_LH_Vis_7,4.14637490717846,0.28439262234934687,5.0559753501522877e-05,0.00041982616256266693,198.0
7Networks_LH_Vis_8,4.1118781319856295,0.2816085599180347,5.7918252354403646e-05,0.00041982616256266693,199.0
7Networks_LH_Vis_9,3.6794334040018386,0.25381083502014096,0.00030276002325227864,0.00131634792718382,199.0
7Networks_LH_SomMot_1,2.7845841655339267,0.19560293485518018,0.005893453587519081,0.013394212698907003,198.0
7Networks_LH_SomMot_2,3.6425332349118507,0.2526096126515001,0.000347266620973668,0.001389066483894672,197.0
7Networks_LH_SomMot_3,2.0065464167351723,0.1415606504808581,0.04618653480034564,0.07449441096829942,199.0
7Networks_LH_SomMot_4,4.073054696673215,0.27916005451288584,6.75680620708346e-05,0.0004224687019041952,199.0
7Networks_LH_SomMot_5,2.5269500383105035,0.17808787981871793,0.012308310650481573,0.024133942451924652,198.0
7Networks_LH_SomMot_6,3.877979604288293,0.2659429387434843,0.0001441397845356713,0.0007206989226783564,199.0
7Networks_LH_DorsAttn_Post_1,3.6641713930944726,0.25284146747067343,0.0003201415917569849,0.0013339232989874371,199.0
7Networks_LH_DorsAttn_Post_2,2.4318964921848596,0.1710306232552104,0.015927979694782796,0.03005279187694867,199.0
7Networks_LH_DorsAttn_Post_3,4.15719717358221,0.28553376392957197,4.850945004508518e-05,0.00041982616256266693,197.0
7Networks_LH_DorsAttn_Post_4,4.891812113725516,0.32940326408807036,2.093157955370028e-06,0.00011069403376117598,199.0
7Networks_LH_DorsAttn_Post_5,3.37182142088576,0.23603461196793243,0.0009046847189269666,0.002660837408608725,195.0
7Networks_LH_DorsAttn_Post_6,4.109149468358602,0.28261621542604426,5.877566275877338e-05,0.00041982616256266693,197.0
7Networks_LH_DorsAttn_PrCv_1,3.2006084796650787,0.22378377821211168,0.001604894500685011,0.004337552704554084,197.0
7Networks_LH_DorsAttn_FEF_1,4.437004384761756,0.30165121349789137,1.527387513408317e-05,0.0003237138210114247,199.0
7Networks_LH_SalVentAttn_ParOper_1,1.8020025835097535,0.12793842359756802,0.07310549477778809,0.1142273355902939,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,2.157024633458427,0.15359389549649216,0.032253074233589744,0.05466622751455889,196.0
7Networks_LH_SalVentAttn_FrOperIns_2,0.7598130450362435,0.054384912413548286,0.4482982752552196,0.5401184039219513,197.0
7Networks_LH_SalVentAttn_PFCl_1,0.9331501168709662,0.06707263399496927,0.35192678399071287,0.45238728352308216,195.0
7Networks_LH_SalVentAttn_Med_1,0.9313472987332667,0.06726771186017129,0.3528620811480041,0.45238728352308216,194.0
7Networks_LH_SalVentAttn_Med_2,3.3461973916471752,0.23328053297989335,0.0009864596042549862,0.0028184560121571034,196.0
7Networks_LH_SalVentAttn_Med_3,3.4680028929484212,0.24075651457624853,0.0006464776807377226,0.002085411873347492,198.0
7Networks_LH_Limbic_OFC_1,2.41167458607888,0.17013531376434177,0.01681606324100174,0.031140857853706922,198.0
7Networks_LH_Limbic_TempPole_1,3.0376473162170274,0.21182281965295965,0.00271243327280739,0.006458174459065215,199.0
7Networks_LH_Limbic_TempPole_2,2.3313962730967264,0.16494435497665658,0.02077002807628027,0.03776368741141867,197.0
7Networks_LH_Cont_Par_1,0.5460310065553917,0.0390569891768294,0.5856752286467293,0.6569824199623259,198.0
7Networks_LH_Cont_PFCl_1,0.5437029492295138,0.03876452523616821,0.5872701566636562,0.6569824199623259,199.0
7Networks_LH_Cont_pCun_1,0.8841639406786305,0.06289667694915489,0.3777021591507086,0.47212769893838574,199.0
7Networks_LH_Cont_Cing_1,-0.5239656894325675,-0.03735672276377171,0.6009004898339643,0.6603302086087519,199.0
7Networks_LH_Default_Temp_1,2.5501571340681184,0.17948702336753328,0.011543736748248013,0.023558646424995944,198.0
7Networks_LH_Default_Temp_2,2.1487641641193878,0.15161845378712197,0.03289227893061755,0.05482046488436259,199.0
7Networks_LH_Default_Par_1,2.6922110473542755,0.18913250094172393,0.007721891107537167,0.016786719798993842,198.0
