,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.228599904057676,-0.0872938897598349,0.22070253491568145,0.39411166949228826,200.0
7Networks_LH_Vis_2,1.3927460334374566,0.09937217234842168,0.16529891187425624,0.35647177394713897,198.0
7Networks_LH_Vis_3,-0.6679703555610385,-0.047819887193770304,0.5049505144771995,0.6233956968854315,198.0
7Networks_LH_Vis_4,-2.1263853822618017,-0.1517227503523314,0.034755117755579254,0.11283562186168956,196.0
7Networks_LH_Vis_5,-0.1263185864944658,-0.009092901993243344,0.8996126166301136,0.9086996127576905,196.0
7Networks_LH_Vis_6,1.138753839396066,0.08159524463394671,0.25622467510695673,0.42002020630179315,197.0
7Networks_LH_Vis_7,-2.1235789299805945,-0.15052802491404577,0.03497904277712376,0.11283562186168956,198.0
7Networks_LH_Vis_8,-1.1284662932256897,-0.08111223470542439,0.2605384760233837,0.42002020630179315,196.0
7Networks_LH_Vis_9,-0.9677879113593548,-0.06940699257541984,0.33436779192577293,0.4968445047637403,197.0
7Networks_LH_SomMot_1,-0.485689877030176,-0.035056696845709064,0.6277437532868999,0.7299345968452324,196.0
7Networks_LH_SomMot_2,1.992266107927407,0.14254563430430672,0.04778129329999205,0.14053321558821188,194.0
7Networks_LH_SomMot_3,-0.22715499092009447,-0.0162749919207622,0.820543659378891,0.8729187865732883,198.0
7Networks_LH_SomMot_4,-1.3516772131047954,-0.09704907581373569,0.17807719020960008,0.36342283716244916,196.0
7Networks_LH_SomMot_5,-0.9608519223107252,-0.06957393895783484,0.3378542632393434,0.4968445047637403,194.0
7Networks_LH_SomMot_6,-0.9143325507139083,-0.06507632344736083,0.36167131567485666,0.5096870443056656,200.0
7Networks_LH_DorsAttn_Post_1,-1.1536819780284833,-0.0825456712010886,0.2500646714751401,0.42002020630179315,197.0
7Networks_LH_DorsAttn_Post_2,-1.4602038424297212,-0.10489095897870271,0.14588559439493068,0.32419020976651264,195.0
7Networks_LH_DorsAttn_Post_3,-0.30471138231199546,-0.021781865068092217,0.7609126149237203,0.8361677087073849,199.0
7Networks_LH_DorsAttn_Post_4,-0.9623010005958761,-0.06882975197610483,0.3371025284203133,0.4968445047637403,198.0
7Networks_LH_DorsAttn_Post_5,-3.2891070273955205,-0.23108445670989464,0.001197673358542596,0.01710961940775137,195.0
7Networks_LH_DorsAttn_Post_6,-0.8851985947525152,-0.06376963182828523,0.3771684127861925,0.5096870443056656,195.0
7Networks_LH_DorsAttn_PrCv_1,-0.6149256490361676,-0.04381771510110761,0.5393207279938176,0.6497840096311056,200.0
7Networks_LH_DorsAttn_FEF_1,-0.16081162399117555,-0.011513353674125228,0.8724091028198498,0.8993908276493298,199.0
7Networks_LH_SalVentAttn_ParOper_1,-1.7911992936965913,-0.12732939329799428,0.07482827808938397,0.2078563280260666,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,0.6830810534149495,0.04941623706875097,0.4953921001943983,0.6192401252429978,194.0
7Networks_LH_SalVentAttn_FrOperIns_2,-0.416741688779438,-0.029950613309843874,0.6773328928492726,0.7785435549991638,197.0
7Networks_LH_SalVentAttn_PFCl_1,-0.8874675109554937,-0.06333326696442686,0.37592616212006,0.5096870443056656,199.0
7Networks_LH_SalVentAttn_Med_1,-0.5326251061690491,-0.03840026474942364,0.5949154762344833,0.7082327098029563,195.0
