,t,r,p,p_fdr,N
7Networks_LH_Vis_1,2.7100543169395093,0.19068781952807504,0.007333106015059178,0.04246204204069095,198.0
7Networks_LH_Vis_2,3.217503826684594,0.22481861406692594,0.0015166685137200096,0.02166669305314299,198.0
7Networks_LH_Vis_3,3.074622408234266,0.2147045338711952,0.0024115260185067246,0.026794733538963608,199.0
7Networks_LH_Vis_4,2.263288636047793,0.1608281517573367,0.024736834384158825,0.08912738778604506,197.0
7Networks_LH_Vis_5,1.3134519387512813,0.09420599090803983,0.19060630389758562,0.3305024457734603,196.0
7Networks_LH_Vis_6,1.901866764758729,0.13441163729625985,0.058662673457553396,0.15041711142962408,200.0
7Networks_LH_Vis_7,2.9241343190630356,0.2052709916481127,0.0038675056308504854,0.035159142098640773,198.0
7Networks_LH_Vis_8,2.765450070689864,0.19499801680182002,0.0062391889240427335,0.04246204204069095,197.0
7Networks_LH_Vis_9,2.67700559730355,0.18844128546094308,0.00806778798773128,0.04246204204069095,198.0
7Networks_LH_SomMot_1,0.051762633973568256,0.00373844883293291,0.9587719243261521,0.9783386982919919,196.0
7Networks_LH_SomMot_2,1.169780700384059,0.08383096227298867,0.24354687501989455,0.37468750003060697,196.0
7Networks_LH_SomMot_3,0.6573751490459446,0.04735646770051219,0.5117311235022329,0.616543522291847,196.0
7Networks_LH_SomMot_4,1.6891388034918904,0.12097799331487352,0.09282457602297114,0.19338453338118988,196.0
7Networks_LH_SomMot_5,2.136879273223338,0.1514956039200823,0.03386673878051675,0.10262648115308105,198.0
7Networks_LH_SomMot_6,2.09405466272064,0.14812293250626082,0.03755420922966901,0.11023080184793523,199.0
7Networks_LH_DorsAttn_Post_1,2.6432432277506863,0.18524257153094567,0.008879252342233133,0.04439626171116566,200.0
7Networks_LH_DorsAttn_Post_2,1.247447626398916,0.08986318130527923,0.2137768830048165,0.35240186942388346,194.0
7Networks_LH_DorsAttn_Post_3,2.43903576336513,0.17214729172814117,0.015630841630874574,0.0638781433783693,198.0
7Networks_LH_DorsAttn_Post_4,1.912115082017627,0.1357921185116339,0.05734245538236595,0.15041711142962408,198.0
7Networks_LH_DorsAttn_Post_5,0.22659429994831962,0.016364690587818337,0.8209828224361027,0.8827772284259168,195.0
7Networks_LH_DorsAttn_Post_6,1.6542799574066591,0.11807342047020966,0.09970451424658626,0.19940902849317252,197.0
7Networks_LH_DorsAttn_PrCv_1,2.1708322967678453,0.15411367625980316,0.031170901435033278,0.09740906698447899,197.0
7Networks_LH_DorsAttn_FEF_1,3.390445765196102,0.23630675656613492,0.0008461992221986782,0.016923984443973562,198.0
7Networks_LH_SalVentAttn_ParOper_1,2.0575795278351188,0.1467212195637459,0.040989047831992705,0.11366274738702323,196.0
7Networks_LH_SalVentAttn_FrOperIns_1,0.8006850839814134,0.05775884419960991,0.4243140433031011,0.5583079517146067,195.0
7Networks_LH_SalVentAttn_FrOperIns_2,-0.5139046611172602,-0.03684198028183479,0.6079065218277995,0.6908028657134085,198.0
7Networks_LH_SalVentAttn_PFCl_1,-0.013631551864742885,-0.0009835949678198043,0.9891382349680647,0.9945724781395151,195.0
7Networks_LH_SalVentAttn_Med_1,-0.9793416338378305,-0.07035817917246576,0.32865003168017726,0.46950004525739614,196.0
7Networks_LH_SalVentAttn_Med_2,0.6296035685412105,0.04541929455854333,0.529714336337096,0.6231933368671717,194.0
7Networks_LH_SalVentAttn_Med_3,2.873580380802779,0.2022826777947287,0.004515646055326986,0.03763038379439155,197.0
7Networks_LH_Limbic_OFC_1,1.7559764772025253,0.12535614420090585,0.0806952663856596,0.18375670116797196,196.0
7Networks_LH_Limbic_TempPole_1,2.342843080031099,0.166966047141883,0.020172129947383082,0.07758511518224262,195.0
7Networks_LH_Limbic_TempPole_2,1.3413685973533125,0.0954179949379544,0.18136897074097166,0.32387316203744937,199.0
