,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-2.2851696237235095,-0.16130474950451848,0.023384411803355508,0.05703515073989149,199.0
7Networks_LH_Vis_2,0.5417664627374171,0.038945390439286576,0.5886075433988611,0.7178140773156844,197.0
7Networks_LH_Vis_3,-3.0683545545891007,-0.21494888798464848,0.0024619176902666495,0.01538698556416656,198.0
7Networks_LH_Vis_4,0.26740337325634034,0.019340799565512726,0.7894486418714916,0.8309985703910437,195.0
7Networks_LH_Vis_5,-0.6451637928611827,-0.04635230919945427,0.5195912303803024,0.653758226739284,197.0
7Networks_LH_Vis_6,-0.6398966908078008,-0.04610619588359968,0.5230065813914272,0.653758226739284,196.0
7Networks_LH_Vis_7,-2.3389575865788226,-0.16548457633384733,0.02036074708696585,0.05514352900563136,198.0
7Networks_LH_Vis_8,-1.8417845768091579,-0.1321101246193402,0.06706547222825805,0.1368683106699144,195.0
7Networks_LH_Vis_9,-2.6695566996338362,-0.18904638313170416,0.008249184618352773,0.03299673847341109,196.0
7Networks_LH_SomMot_1,-0.8313358867879199,-0.059956490704589284,0.4068219804930162,0.5572903842370085,196.0
7Networks_LH_SomMot_2,1.2344434759914462,0.08866604777528118,0.21856226586908392,0.33285400340964677,195.0
7Networks_LH_SomMot_3,-1.4408096140904751,-0.10275739105602193,0.15125883908325333,0.2607911018676782,198.0
7Networks_LH_SomMot_4,-0.39894784666488786,-0.028625612723214997,0.6903726943045552,0.7726691564350695,198.0
7Networks_LH_SomMot_5,1.3043490232302848,0.09374258124482798,0.19368418328843814,0.303053868946097,196.0
7Networks_LH_SomMot_6,-1.1479534223895087,-0.08163721715962328,0.2523941401847041,0.36720863725828484,200.0
7Networks_LH_DorsAttn_Post_1,-1.1456127078231952,-0.08188117308154233,0.2533739597082165,0.36720863725828484,198.0
7Networks_LH_DorsAttn_Post_2,-1.7474135715567287,-0.1244296758997883,0.08215611236573826,0.16109041640340835,198.0
7Networks_LH_DorsAttn_Post_3,-0.9870678822560994,-0.07042586253067012,0.3248388271626692,0.4511650377259295,199.0
7Networks_LH_DorsAttn_Post_4,-0.37125111060391036,-0.026550603441772003,0.710855623920264,0.7726691564350695,199.0
7Networks_LH_DorsAttn_Post_5,-2.6933576386819706,-0.19030052953768753,0.007703002603762497,0.032095844182343736,196.0
7Networks_LH_DorsAttn_Post_6,0.19449546814499669,0.013986838242413693,0.8459935836733621,0.8721583336838784,197.0
7Networks_LH_DorsAttn_PrCv_1,-0.7795077520449194,-0.05553557865036027,0.436625705662098,0.574507507450129,200.0
7Networks_LH_DorsAttn_FEF_1,-0.11446271657418788,-0.008167251228004603,0.9089887700022297,0.9235642409236909,200.0
7Networks_LH_SalVentAttn_ParOper_1,-2.2945601198899794,-0.16233357553142416,0.02283435915047532,0.05703515073989149,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,0.3746392700750447,0.026973643775612052,0.7083443888435589,0.7726691564350695,196.0
7Networks_LH_SalVentAttn_FrOperIns_2,0.07077667245887428,0.005101827747717914,0.9436495491264054,0.9436495491264054,196.0
7Networks_LH_SalVentAttn_PFCl_1,-1.3635803609803592,-0.09757919367469993,0.17429631119649808,0.2811230825749969,197.0
7Networks_LH_SalVentAttn_Med_1,-0.3562936790301958,-0.025660966252376162,0.7220138986713105,0.7729163713801928,196.0
7Networks_LH_SalVentAttn_Med_2,1.06973601984659,0.07676291740705263,0.286088149764714,0.40294105600663943,196.0
7Networks_LH_SalVentAttn_Med_3,-1.1184745441738577,-0.08000761025563347,0.264754567344767,0.3782208104925243,198.0
7Networks_LH_Limbic_OFC_1,-2.555157352601982,-0.17969943320705933,0.01138064392548959,0.039243599743067556,199.0
7Networks_LH_Limbic_TempPole_1,-2.8891514268058813,-0.2037722492732207,0.004309295035975443,0.021607434152961538,196.0
7Networks_LH_Limbic_TempPole_2,-3.293618950208353,-0.22927406343105705,0.001175514488926383,0.00904241914558756,199.0
7Networks_LH_Cont_Par_1,-3.2131310255030807,-0.2234354687504454,0.00153632498475877,0.010973749891134069,200.0
7Networks_LH_Cont_PFCl_1,-0.8113704672522684,-0.05823154401331916,0.4181576425127589,0.5650778952875121,197.0
7Networks_LH_Cont_pCun_1,-3.7341512788712143,-0.258863176677932,0.0002481604863065988,0.002890446273044348,197.0
7Networks_LH_Cont_Cing_1,-2.438406763551548,-0.172666497730864,0.015661998065983382,0.04746060019994964,197.0
7Networks_LH_Default_Temp_1,-2.5848486392085803,-0.18179371761726248,0.010476036692280172,0.038800135897333964,199.0
7Networks_LH_Default_Temp_2,-1.9354250632005199,-0.1372579337963682,0.05439190788024793,0.11572746357499561,199.0
7Networks_LH_Default_Par_1,-3.9977903126960364,-0.2742462721517671,9.06540786646178e-05,0.001295058266637397,200.0
7Networks_LH_Default_Par_2,-3.7206732265596845,-0.25737609525842353,0.00026014016457399133,0.002890446273044348,199.0
7Networks_LH_Default_PFC_1,-1.7739755603754188,-0.12557340032821485,0.07762774827106705,0.1552554965421341,200.0
7Networks_LH_Default_PFC_2,-2.3465395457595624,-0.16632994918665367,0.019968057449390453,0.05514352900563136,197.0
7Networks_LH_Default_PFC_3,-2.042428038535757,-0.14673754295384023,0.04250536369957741,0.09445636377683868,193.0
7Networks_LH_Default_PFC_4,-2.189360581523684,-0.155830059488383,0.029782717465200274,0.06926213364000064,196.0
7Networks_LH_Default_PFC_5,-2.3216320566935624,-0.16512160374822987,0.02130754845151408,0.05607249592503705,196.0
7Networks_LH_Default_PFC_6,-3.019317552899751,-0.2123117546548839,0.002877756311610739,0.01692797830359258,197.0
7Networks_LH_Default_PFC_7,-3.1205292207784514,-0.21789354341115177,0.0020808210755344373,0.013872140503562915,199.0
7Networks_LH_Default_pCunPCC_1,-1.963486967928436,-0.14035775594579608,0.051048701379109246,0.11097543778067227,195.0
7Networks_LH_Default_pCunPCC_2,-1.231388767057674,-0.08805017895522174,0.21968364225036688,0.33285400340964677,197.0
7Networks_RH_Vis_1,-0.4244509181381569,-0.03042155932598291,0.6717097539269394,0.7720801769275166,198.0
7Networks_RH_Vis_2,0.3901998712618201,0.02806283488331155,0.6968213016761473,0.7726691564350695,197.0
7Networks_RH_Vis_3,-1.8427554856900599,-0.1312530420026312,0.06690659666280946,0.1368683106699144,197.0
7Networks_RH_Vis_4,0.3837982208067072,0.02760595135458841,0.7015526780446126,0.7726691564350695,197.0
7Networks_RH_Vis_5,0.48587817028964425,0.035032981472170946,0.6276104852014299,0.7297796339551511,196.0
7Networks_RH_Vis_6,1.6638000684728231,0.11847643847696601,0.09777521718818265,0.18448154186449556,198.0
7Networks_RH_Vis_7,1.4127853642574328,0.10085845904836187,0.1593294280409244,0.2700498780354651,198.0
7Networks_RH_Vis_8,0.49516586291483605,0.0356121409095369,0.6210492490088203,0.7297796339551511,197.0
7Networks_RH_SomMot_1,-1.1688178532919287,-0.08445021532605282,0.24394911621361212,0.36410315852777925,194.0
7Networks_RH_SomMot_2,1.566690575472851,0.11334648944952827,0.11886867475367278,0.21612486318849594,193.0
