,younger,older,all
7Networks_LH_Vis_1,0.7909079609959774,0.756720063194242,0.770176061167375
7Networks_LH_Vis_2,0.6021465244722435,0.6957567496457108,0.6260995470372672
7Networks_LH_Vis_3,0.74869171120872,0.47990093940345807,0.6062520387749253
7Networks_LH_Vis_4,0.8489017824597339,0.8228226578176839,0.8280029148644031
7Networks_LH_Vis_5,0.8252969046148403,0.8879707642236,0.8396296753522619
7Networks_LH_Vis_6,0.6779184583525539,0.7263973101530602,0.7126702974142036
7Networks_LH_Vis_7,0.6888155565614625,0.7673265112449127,0.7322965089642958
7Networks_LH_Vis_8,0.6314146634221243,0.7340628255673329,0.6669433264978609
7Networks_LH_Vis_9,0.620892694696923,0.7886693149736448,0.7085472531413255
7Networks_LH_SomMot_1,0.8552053520230403,0.8663584902165823,0.8386062294764999
7Networks_LH_SomMot_2,0.7533500098243597,0.7615114960646201,0.7628688575725806
7Networks_LH_SomMot_3,0.922717985516708,0.9165389872358226,0.9118404696997389
7Networks_LH_SomMot_4,0.9275530856249156,0.9002313091717167,0.9215355053775139
7Networks_LH_SomMot_5,0.911850816113269,0.8788542258483143,0.8920322178702881
7Networks_LH_SomMot_6,0.909499975209043,0.768553538338777,0.8530133818326383
7Networks_LH_DorsAttn_Post_1,0.4578762311164075,0.6748925325112124,0.5486546652164513
7Networks_LH_DorsAttn_Post_2,0.7979111234546067,0.8169755310257462,0.7825192183930919
7Networks_LH_DorsAttn_Post_3,0.7307463633482515,0.6237570189169659,0.7026976163294545
7Networks_LH_DorsAttn_Post_4,0.9127030384898842,0.8359243090618406,0.8899217651957687
7Networks_LH_DorsAttn_Post_5,0.7843686083803854,0.8463309536845147,0.8148848316004217
7Networks_LH_DorsAttn_Post_6,0.8045644519703384,0.779525707771956,0.771214054705636
7Networks_LH_DorsAttn_PrCv_1,0.929568032498034,0.9153390080146944,0.9192951250031006
7Networks_LH_DorsAttn_FEF_1,0.8716388005539462,0.8101370805196597,0.8464613152037663
7Networks_LH_SalVentAttn_ParOper_1,0.7779446464463975,0.7740813781789914,0.7933904962220056
7Networks_LH_SalVentAttn_FrOperIns_1,0.9375964990561638,0.943576128880048,0.9425958673282199
7Networks_LH_SalVentAttn_FrOperIns_2,0.8175522227783492,0.821969856337497,0.8238595038082867
7Networks_LH_SalVentAttn_PFCl_1,0.7828415643856202,0.8262156949328442,0.8190196063469581
7Networks_LH_SalVentAttn_Med_1,0.8905748255339724,0.8917506635181603,0.8792749373222912
7Networks_LH_SalVentAttn_Med_2,0.8600214180268582,0.8217754720796013,0.8313860485849913
7Networks_LH_SalVentAttn_Med_3,0.8698647438788696,0.9111703174477244,0.892181049987829
7Networks_LH_Limbic_OFC_1,0.6481002874008609,0.8671112988752955,0.7585638905833015
7Networks_LH_Limbic_TempPole_1,0.8029227272037754,0.8581421558132082,0.8268074590367317
7Networks_LH_Limbic_TempPole_2,0.7723541046541496,0.8925066556624124,0.8467678115309228
7Networks_LH_Cont_Par_1,0.824419048579408,0.7858025242253278,0.8270440852542612
7Networks_LH_Cont_PFCl_1,0.9094915336579068,0.8787621260156547,0.8958923562164137
7Networks_LH_Cont_pCun_1,0.8967837599944265,0.8812574910319652,0.8956051553052575
7Networks_LH_Cont_Cing_1,0.8347592756523677,0.8221113364287145,0.8454797674700064
7Networks_LH_Default_Temp_1,0.8944052846650118,0.8754948782550847,0.9082288678377957
7Networks_LH_Default_Temp_2,0.6962619002605039,0.7695720365252582,0.7904334881769564
7Networks_LH_Default_Par_1,0.7823915187905566,0.8095397496172886,0.8607829620271896
7Networks_LH_Default_Par_2,0.8606081877296975,0.7457008390660824,0.8444626516463407
7Networks_LH_Default_PFC_1,0.8535433633714904,0.8348535818188033,0.8654443564597615
7Networks_LH_Default_PFC_2,0.8580078845132574,0.8878048485904703,0.8972059762400509
7Networks_LH_Default_PFC_3,0.8729105411045331,0.84233930108494,0.8495558789251533
7Networks_LH_Default_PFC_4,0.8155076260404112,0.8906885826330917,0.883444388491667
7Networks_LH_Default_PFC_5,0.671786608474568,0.7143705015875541,0.721884052004774
7Networks_LH_Default_PFC_6,0.8127924525909491,0.8477949619297188,0.8111708004531923
7Networks_LH_Default_PFC_7,0.7182919351481958,0.8057587350456812,0.792517886929853
7Networks_LH_Default_pCunPCC_1,0.8656174554348558,0.8510928205282273,0.8646064269806866
7Networks_LH_Default_pCunPCC_2,0.8221712226132895,0.8625193471151503,0.8529662375395322
7Networks_RH_Vis_1,0.8379218262170032,0.8890907831695873,0.8629303683891868
7Networks_RH_Vis_2,0.9213148197685811,0.9241004642295105,0.922547700290262
7Networks_RH_Vis_3,0.6684317328829258,0.6935686715779036,0.6271228221841473
7Networks_RH_Vis_4,0.9031307363387505,0.8846692233571491,0.9051252742024294
7Networks_RH_Vis_5,0.8487981108356063,0.9303653998044605,0.9289308915765478
7Networks_RH_Vis_6,0.8064641231072418,0.8462344415017066,0.8369447821261716
7Networks_RH_Vis_7,0.6141818947355531,0.7217012540233706,0.6886367293752557
7Networks_RH_Vis_8,0.7910873177402802,0.9327057080106214,0.8570390068687159
7Networks_RH_SomMot_1,0.8103751523377437,0.9128861123287405,0.8793490688256087
7Networks_RH_SomMot_2,0.8767399971615035,0.927511074289952,0.9100124421743492
7Networks_RH_SomMot_3,0.9190168880581925,0.8767445077761398,0.928744248294317
7Networks_RH_SomMot_4,0.9341806471164872,0.8535343901015183,0.8845433541061517
7Networks_RH_SomMot_5,0.7694314968903074,0.8110504217740203,0.8152010880408369
7Networks_RH_SomMot_6,0.8596375266439078,0.900769160892863,0.8835414148537674
7Networks_RH_SomMot_7,0.8051060259904965,0.8083669655499582,0.8076947829458928
7Networks_RH_SomMot_8,0.9395405010516483,0.8957691831203848,0.9267699998764071
7Networks_RH_DorsAttn_Post_1,0.8144983521856163,0.8195714436461374,0.8390936652242013
7Networks_RH_DorsAttn_Post_2,0.858380956318311,0.9043173618252184,0.8999159035012222
7Networks_RH_DorsAttn_Post_3,0.8208127260541621,0.7818753952306493,0.8394871536913096
7Networks_RH_DorsAttn_Post_4,0.8419068736706324,0.7645561387236413,0.808404209239721
7Networks_RH_DorsAttn_Post_5,0.8856741342496496,0.8939404650254125,0.8974940399081338
7Networks_RH_DorsAttn_PrCv_1,0.9228102851831668,0.871288820348291,0.9111838248296362
7Networks_RH_DorsAttn_FEF_1,0.8522276638098072,0.8891377671664537,0.8834908164166233
7Networks_RH_SalVentAttn_TempOccPar_1,0.7403352131629475,0.7869696068389966,0.7806666934980476
