,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.2858344836793698,-0.09155958609504791,0.2000334845072014,0.3509359377319323,199.0
7Networks_LH_Vis_2,2.1748330918108065,0.15404632390538012,0.030858725803239,0.08816778800925429,198.0
7Networks_LH_Vis_3,-0.7716774603251915,-0.05523121131119464,0.44124928868012503,0.604451080383733,198.0
7Networks_LH_Vis_4,0.1975751922411459,0.014373048209908805,0.8435920432534434,0.937324492503826,192.0
7Networks_LH_Vis_5,0.8534684453987209,0.06137256924377202,0.3944686424253575,0.563526632036225,196.0
7Networks_LH_Vis_6,0.16989169006227306,0.012240084313436135,0.8652751277639441,0.9465025848614259,196.0
7Networks_LH_Vis_7,0.52176067314735,0.03745863920126144,0.6024383472049257,0.7249857978224452,197.0
7Networks_LH_Vis_8,-0.1067710331434002,-0.00768227704029176,0.915082690509919,0.9706409626353654,196.0
7Networks_LH_Vis_9,-1.899677446844502,-0.13528714932470753,0.058974396572211256,0.14383999163953964,197.0
7Networks_LH_SomMot_1,0.08567223791398822,0.006126232154324644,0.9318153241299507,0.9706409626353654,199.0
7Networks_LH_SomMot_2,-0.5759397424976492,-0.04127834711686955,0.5653268816852068,0.7156036477027934,198.0
7Networks_LH_SomMot_3,-2.073690485373572,-0.14627269813659521,0.03942196074157894,0.10654583984210525,200.0
7Networks_LH_SomMot_4,-2.8532856797644754,-0.1993514524733493,0.004794085520599968,0.0216428711867655,200.0
7Networks_LH_SomMot_5,-1.4637337484629236,-0.10411986299749056,0.14488512423159777,0.2773705619914031,199.0
7Networks_LH_SomMot_6,-3.3803891128809007,-0.23429154047125925,0.000874311868422004,0.00874311868422004,200.0
7Networks_LH_DorsAttn_Post_1,0.5193984870557732,0.03711594144054657,0.604074952989587,0.7249857978224452,199.0
7Networks_LH_DorsAttn_Post_2,-3.003782372439124,-0.20996562190246118,0.0030179852944391705,0.016766584969106504,199.0
7Networks_LH_DorsAttn_Post_3,-0.03438784002576881,-0.002464031757638483,0.9726034186254962,0.9726034186254962,198.0
7Networks_LH_DorsAttn_Post_4,-2.9648135744962363,-0.20681356674298326,0.003406556895313595,0.017566148881221075,200.0
7Networks_LH_DorsAttn_Post_5,-4.330444405767268,-0.2956969974128288,2.3837345228424744e-05,0.0011918672614212372,199.0
7Networks_LH_DorsAttn_Post_6,-3.279995060073472,-0.2277024130224994,0.0012295672586301973,0.01024639382191831,200.0
7Networks_LH_DorsAttn_PrCv_1,-0.989058749815821,-0.07035441594763492,0.32386006078329954,0.5060313449739056,200.0
7Networks_LH_DorsAttn_FEF_1,-1.7425897234124683,-0.12367418254527628,0.08298990663971298,0.18861342418116586,199.0
