,younger,older,all
7Networks_LH_Vis_1,0.44499987463153406,0.34813830411376057,0.460593118230207
7Networks_LH_Vis_2,0.6021089784160139,0.6545563775939293,0.6516974417872684
7Networks_LH_Vis_3,0.4627797318603592,0.6578809218224989,0.5822880520457003
7Networks_LH_Vis_4,0.6030642359552975,0.46254105115803773,0.5501010895307014
7Networks_LH_Vis_5,0.5181407544601626,0.6373443358438214,0.5875872687259861
7Networks_LH_Vis_6,0.6437320307744187,0.6647321260488895,0.7005654893517027
7Networks_LH_Vis_7,0.3896967297990137,0.539684277241183,0.4100287018260262
7Networks_LH_Vis_8,0.3400155669232069,0.4839505774611032,0.4458430015227812
7Networks_LH_Vis_9,0.46160989134604796,0.7446640177805893,0.6179946292431466
7Networks_LH_SomMot_1,0.4405294962734616,0.6804775111771091,0.5286021319351547
7Networks_LH_SomMot_2,0.5149044507049418,0.5629276080573913,0.5446009254176688
7Networks_LH_SomMot_3,0.6122330161342783,0.645945349680115,0.691302290892255
7Networks_LH_SomMot_4,0.5618587498315724,0.6964892525117371,0.6190548675850365
7Networks_LH_SomMot_5,0.5920460056227771,0.40261946055266007,0.5006249805186311
7Networks_LH_SomMot_6,0.7646971323800865,0.7308300649914378,0.7405043082336082
7Networks_LH_DorsAttn_Post_1,0.6093821270180655,0.31913480588984183,0.39410626974531543
7Networks_LH_DorsAttn_Post_2,0.4679190298312731,0.4526888568363492,0.44704993654498937
7Networks_LH_DorsAttn_Post_3,0.24253399892056882,0.3006391331828425,0.2970607601375933
7Networks_LH_DorsAttn_Post_4,0.538255233199921,0.4943489366448823,0.5782523796487491
7Networks_LH_DorsAttn_Post_5,0.6551951327719869,0.6627601852529619,0.6102898717721756
7Networks_LH_DorsAttn_Post_6,0.6520615712291457,0.4369240004345107,0.4952989340055226
7Networks_LH_DorsAttn_PrCv_1,0.12095304903527078,0.4195997264111839,0.30223532995827357
7Networks_LH_DorsAttn_FEF_1,0.48948038761771356,0.28513934183311385,0.43307074673323687
7Networks_LH_SalVentAttn_ParOper_1,0.5266857935149356,0.6135372994954994,0.5799885865462019
7Networks_LH_SalVentAttn_FrOperIns_1,0.7487782628333706,0.8102806717660881,0.7951928526269794
7Networks_LH_SalVentAttn_FrOperIns_2,0.38532942252738717,0.43753645090767784,0.42376808842344826
7Networks_LH_SalVentAttn_PFCl_1,0.511858429428922,0.6371954787620252,0.5546969340270232
7Networks_LH_SalVentAttn_Med_1,0.7117034278431205,0.5147929418379575,0.5485470592321531
