,t,r,p,p_fdr,N
7Networks_LH_Vis_1,1.9043065356417486,0.13469449614432358,0.058350013739462435,0.09725002289910406,199.0
7Networks_LH_Vis_2,2.656809938596806,0.18686310322468755,0.008548804244453775,0.0259790961924397,198.0
7Networks_LH_Vis_3,1.9049025490478646,0.13459378601671837,0.05826440210830288,0.09725002289910406,200.0
7Networks_LH_Vis_4,1.1442473150555883,0.08153797782501267,0.2539309219165927,0.3255524639956317,199.0
7Networks_LH_Vis_5,1.5543548510303993,0.11016209188162213,0.12172127316761171,0.1790018723053113,200.0
7Networks_LH_Vis_6,1.3573282666507944,0.0963382670929516,0.17624579003067684,0.24143258908311896,200.0
7Networks_LH_Vis_7,2.6556756968844386,0.18623256782069958,0.008573101743505101,0.0259790961924397,199.0
7Networks_LH_Vis_8,1.1646895943098465,0.08314756157792645,0.24558225444610526,0.31918173990070153,198.0
7Networks_LH_Vis_9,2.7890220586517147,0.1952314604854621,0.005813640695650525,0.023658943588614055,199.0
7Networks_LH_SomMot_1,2.717409617182149,0.19133103631154524,0.007181238575880166,0.02457129182925554,197.0
7Networks_LH_SomMot_2,1.989376602146963,0.14044617446208288,0.048057407163298684,0.08285759855741152,200.0
7Networks_LH_SomMot_3,2.821831324945156,0.19743806469605396,0.005272158023765941,0.023658943588614055,199.0
7Networks_LH_SomMot_4,1.3237445600519202,0.09397611258230333,0.18713763937350095,0.25288870185608237,200.0
7Networks_LH_SomMot_5,0.31699866792829146,0.02266738894677483,0.7515854887248351,0.8169407486139512,199.0
7Networks_LH_SomMot_6,1.7409884326587968,0.1237038771844573,0.08327917629175555,0.12812180967962392,198.0
7Networks_LH_DorsAttn_Post_1,2.978360667225051,0.2089271478809406,0.003271784871296062,0.023658943588614055,197.0
7Networks_LH_DorsAttn_Post_2,0.852556857163946,0.06068360057605514,0.3949510093240697,0.47017977300484487,200.0
7Networks_LH_DorsAttn_Post_3,0.9259683989127624,0.0658869418002015,0.3556069607882224,0.42844212143159327,200.0
7Networks_LH_DorsAttn_Post_4,2.783529795470867,0.19580799672542692,0.005914735897153514,0.023658943588614055,197.0
7Networks_LH_DorsAttn_Post_5,2.9936166513673075,0.20955757202879766,0.003117620149797945,0.023658943588614055,198.0
7Networks_LH_DorsAttn_Post_6,0.4364905286026133,0.03120456845392309,0.6629662586117064,0.7366291762352294,199.0
7Networks_LH_DorsAttn_PrCv_1,2.9703398865579893,0.20738774352813535,0.0033504875375563615,0.023658943588614055,199.0
7Networks_LH_DorsAttn_FEF_1,2.6085546121001464,0.18304109480324193,0.009800650740505222,0.026921516414176363,199.0
7Networks_LH_SalVentAttn_ParOper_1,1.4806391196924804,0.10499713482465442,0.14031667796503083,0.20335750429714616,200.0
7Networks_LH_SalVentAttn_FrOperIns_1,3.05574465604761,0.21370786954881488,0.0025627769663598087,0.023658943588614055,198.0
7Networks_LH_SalVentAttn_FrOperIns_2,1.417644481341253,0.10140205760411419,0.15791540546826016,0.22241606403980305,197.0
7Networks_LH_SalVentAttn_PFCl_1,1.4498779984154457,0.1035514994540241,0.14872406190740686,0.21246294558200982,197.0
7Networks_LH_SalVentAttn_Med_1,2.559308049136831,0.17969939731419732,0.011250119556228122,0.028308104381814927,199.0
7Networks_LH_SalVentAttn_Med_2,2.9099658692628068,0.20395139898455947,0.004039369638062286,0.023658943588614055,198.0
7Networks_LH_SalVentAttn_Med_3,2.3122709918364786,0.16333079596763225,0.02181768707388093,0.048483749053068737,198.0
7Networks_LH_Limbic_OFC_1,3.0560791582948785,0.21423586369644948,0.0025617664268931424,0.023658943588614055,197.0
7Networks_LH_Limbic_TempPole_1,-0.5173546318243416,-0.037291813677192816,0.6055072511341053,0.6803452259933768,196.0
7Networks_LH_Limbic_TempPole_2,2.8642092714627547,0.20125399644018402,0.004645682618870349,0.023658943588614055,197.0
7Networks_LH_Cont_Par_1,2.819286961452062,0.19761645891062535,0.005315096248079549,0.023658943588614055,198.0
7Networks_LH_Cont_PFCl_1,2.05416490527496,0.14564452372017195,0.04131472375079689,0.07377629241213729,197.0
7Networks_LH_Cont_pCun_1,2.850759983948865,0.19997116267163412,0.004835752983794917,0.023658943588614055,198.0
7Networks_LH_Cont_Cing_1,2.5626778873454703,0.18026804512114641,0.011149121830105373,0.028308104381814927,198.0
7Networks_LH_Default_Temp_1,3.065508179851802,0.2143590399715383,0.0024843589615436345,0.023658943588614055,198.0
7Networks_LH_Default_Temp_2,2.96797562722289,0.20784133323196582,0.0033772386154300523,0.023658943588614055,198.0
7Networks_LH_Default_Par_1,2.667894167624741,0.18741110805307043,0.008281695164548162,0.0259790961924397,198.0
7Networks_LH_Default_Par_2,1.014226841523496,0.07227646674637343,0.31173776496510425,0.38486143822852376,199.0
7Networks_LH_Default_PFC_1,2.9292496578960625,0.2052455972136322,0.003807119476141618,0.023658943588614055,198.0
7Networks_LH_Default_PFC_2,2.1010735542292487,0.14864433946111266,0.03693278687312197,0.06715052158749449,198.0
7Networks_LH_Default_PFC_3,2.556977476271363,0.17954109580624664,0.011323241752725971,0.028308104381814927,199.0
7Networks_LH_Default_PFC_4,0.7767084447672482,0.055432406606052316,0.43827678746438437,0.506296443347333,199.0
7Networks_LH_Default_PFC_5,-0.06793653601905834,-0.004859087742482157,0.9459061219527979,0.9853188770341645,199.0
7Networks_LH_Default_PFC_6,0.02175107422172492,0.001572356074942745,0.9826693476505741,0.9904240378115272,195.0
7Networks_LH_Default_PFC_7,2.1961520490917223,0.15547280324442764,0.02927892561554394,0.057409658069693996,197.0
7Networks_LH_Default_pCunPCC_1,2.2868526816175874,0.16093375384018951,0.023278388725059947,0.04999933421080536,200.0
7Networks_LH_Default_pCunPCC_2,1.6282221861152264,0.11627233776394054,0.10511756107108079,0.15689188219564296,197.0
7Networks_RH_Vis_1,0.931527471855581,0.06669781215965938,0.3527445637477946,0.42844212143159327,198.0
7Networks_RH_Vis_2,2.1511600888806095,0.15290562331467447,0.03271957492486097,0.06292225947088648,196.0
7Networks_RH_Vis_3,2.245627879424783,0.15937547909943667,0.025873726465752207,0.052803523399494304,196.0
7Networks_RH_Vis_4,1.0313805421967128,0.07352100489186965,0.3036464828485964,0.3795581035607455,199.0
7Networks_RH_Vis_5,0.7729750533006976,0.05517567747336435,0.4404779057121797,0.506296443347333,199.0
7Networks_RH_Vis_6,2.506234656936721,0.1769955055173419,0.013033005004880978,0.031030964297335664,197.0
7Networks_RH_Vis_7,2.139285803133948,0.15155785825487417,0.03367534277745587,0.06353838259897333,197.0
7Networks_RH_Vis_8,1.1642067903093434,0.08292743322227032,0.2457699397235402,0.31918173990070153,199.0
7Networks_RH_SomMot_1,2.85285666677094,0.20048880499936558,0.0048077883492856745,0.023658943588614055,197.0
7Networks_RH_SomMot_2,1.8066862580926504,0.12808831450094219,0.07236079391008242,0.11586688476894781,199.0
7Networks_RH_SomMot_3,2.6029319725758917,0.18320347033149936,0.009960961073245254,0.026921516414176363,198.0
7Networks_RH_SomMot_4,0.8104727676930517,0.05769844071353713,0.41865651721526764,0.49253707907678546,200.0
7Networks_RH_SomMot_5,1.750803840839962,0.12401318153156975,0.08156033616955106,0.12743802526492354,199.0
7Networks_RH_SomMot_6,0.04714177674937061,0.003412422502319638,0.9624497450498459,0.9904240378115272,195.0
7Networks_RH_SomMot_7,0.2562756209283684,0.018272167206683267,0.7980081814694078,0.8580733134079653,200.0
7Networks_RH_SomMot_8,1.2136087831026179,0.08631195349553039,0.22637260918356328,0.30183014557808435,199.0
