,t,r,p,p_fdr,N
7Networks_LH_Vis_1,0.18906109133538154,0.01355027831448764,0.8502436028697953,0.9961649110878005,198.0
7Networks_LH_Vis_2,-0.6409364851882645,-0.0460593470125919,0.5223322250666866,0.9961649110878005,196.0
7Networks_LH_Vis_3,0.5593785650383452,0.04037763757715221,0.5765621713816218,0.9961649110878005,195.0
7Networks_LH_Vis_4,-3.170237648409114,-0.22067518290963797,0.0017703447786393824,0.12085511460645666,199.0
7Networks_LH_Vis_5,-1.5007195839715963,-0.10811340086574914,0.13510568201409207,0.6853102817138876,193.0
7Networks_LH_Vis_6,0.1286195041030653,0.009223042862132073,0.8977933591744839,0.9961649110878005,197.0
7Networks_LH_Vis_7,-1.813692222423373,-0.12902133953338776,0.07128643593940912,0.6853102817138876,197.0
7Networks_LH_Vis_8,-2.919148595918807,-0.20556493732545975,0.003931699692358444,0.12085511460645666,196.0
7Networks_LH_Vis_9,-2.8925274785378106,-0.2030795953052031,0.004262828106090049,0.12085511460645666,197.0
7Networks_LH_SomMot_1,1.0211179925016896,0.07300412007899443,0.3084767810202669,0.7909661051801714,198.0
7Networks_LH_SomMot_2,1.7361912316942245,0.124498572691667,0.08415960929127399,0.6853102817138876,194.0
7Networks_LH_SomMot_3,0.01528992571257583,0.0011143042516592698,0.9878171802101632,0.9961649110878005,192.0
7Networks_LH_SomMot_4,0.6374222013819939,0.045735614643217466,0.5246092437554438,0.9961649110878005,197.0
7Networks_LH_SomMot_5,0.10331769896599785,0.007415785192254684,0.917818664165222,0.9961649110878005,197.0
7Networks_LH_SomMot_6,1.1977806236599513,0.08569006418763925,0.23248671493491677,0.7290070921912472,196.0
7Networks_LH_DorsAttn_Post_1,-0.6584481173383094,-0.047100372155280505,0.5110349254318797,0.9961649110878005,198.0
7Networks_LH_DorsAttn_Post_2,0.23474941084688217,0.016883894288883355,0.8146547033027142,0.9961649110878005,196.0
7Networks_LH_DorsAttn_Post_3,0.004875143282373183,0.0003482564878378308,0.9961152232911838,0.9961649110878005,199.0
7Networks_LH_DorsAttn_Post_4,0.05907285630917321,0.004230075543182471,0.9529551982141801,0.9961649110878005,198.0
7Networks_LH_DorsAttn_Post_5,-0.023499216578822955,-0.0016845300115970814,0.9812763413812189,0.9961649110878005,198.0
7Networks_LH_DorsAttn_Post_6,1.1616765313664108,0.08313811606532547,0.24680897154496265,0.7290070921912472,197.0
7Networks_LH_DorsAttn_PrCv_1,0.523936217610619,0.03740984719088869,0.6009209500496093,0.9961649110878005,199.0
7Networks_LH_DorsAttn_FEF_1,1.2752226738076768,0.09069876850627846,0.2037554465694667,0.7290070921912472,199.0
7Networks_LH_SalVentAttn_ParOper_1,0.3460265700696455,0.02477250139404231,0.7296996554333599,0.9961649110878005,198.0
7Networks_LH_SalVentAttn_FrOperIns_1,-0.684857020761,-0.0490170817941831,0.49425579333115255,0.9961649110878005,198.0
7Networks_LH_SalVentAttn_FrOperIns_2,1.1924369605188838,0.08501054351810351,0.23455397304158418,0.7290070921912472,198.0
