,t,r,p,p_fdr,N
7Networks_LH_Vis_1,0.19752663580877472,0.014239475579650732,0.8436254924027089,0.9578521906922587,196.0
7Networks_LH_Vis_2,0.4006480954318273,0.028878904829239348,0.6891293809711183,0.9212206914628179,195.0
7Networks_LH_Vis_3,0.9597133453070564,0.069188279933755,0.33841918799299575,0.9212206914628179,195.0
7Networks_LH_Vis_4,-0.5407887871209461,-0.03879875022010921,0.589280003651945,0.9212206914628179,197.0
7Networks_LH_Vis_5,-0.45223174396769983,-0.03267028825596514,0.6516206493718993,0.9212206914628179,194.0
7Networks_LH_Vis_6,0.3240319688418537,0.023346640127056967,0.7462702524427516,0.951049703956096,195.0
7Networks_LH_Vis_7,0.10481525719560225,0.007509705676105796,0.9166318180722623,0.9685382074371619,197.0
7Networks_LH_Vis_8,-1.0877513814004127,-0.07833785262814344,0.27808278698166344,0.9212206914628179,195.0
7Networks_LH_Vis_9,-0.7229448027431681,-0.052163776558467295,0.47060278135142086,0.9212206914628179,195.0
7Networks_LH_SomMot_1,1.3764815819364282,0.09931164187663459,0.17030110582528554,0.8395798741622772,194.0
7Networks_LH_SomMot_2,-0.33222995377470527,-0.02418656226000876,0.7400897275152181,0.951049703956096,191.0
7Networks_LH_SomMot_3,2.9097663100542146,0.20496758111556682,0.00404873822661911,0.404873822661911,195.0
7Networks_LH_SomMot_4,0.180523092471803,0.013037247655680193,0.8569343317307556,0.9578521906922587,195.0
7Networks_LH_SomMot_5,-0.40713136897450475,-0.029343728555990784,0.6843698011387642,0.9212206914628179,195.0
7Networks_LH_SomMot_6,0.05469354431302199,0.00394111142765249,0.9564400800053144,0.9759592653115454,195.0
7Networks_LH_DorsAttn_Post_1,-0.25667540171497716,-0.01842585076108398,0.7977041941045406,0.9560424349712412,197.0
7Networks_LH_DorsAttn_Post_2,-1.7066939508675467,-0.12222733060116067,0.08951270999876243,0.6947563415023571,195.0
7Networks_LH_DorsAttn_Post_3,-0.7065947455777912,-0.05069005591362908,0.48067496165554,0.9212206914628179,197.0
7Networks_LH_DorsAttn_Post_4,0.03065741819133387,0.002219993625757198,0.9755751001037751,0.9854293940442173,194.0
7Networks_LH_DorsAttn_Post_5,0.43876545598280636,0.03161584300561628,0.6613274035702092,0.9212206914628179,196.0
7Networks_LH_DorsAttn_Post_6,0.7678422551704379,0.05489931334600322,0.44351931637783193,0.9212206914628179,198.0
7Networks_LH_DorsAttn_PrCv_1,0.4453951284226965,0.0323213858512364,0.6565466703057274,0.9212206914628179,193.0
7Networks_LH_DorsAttn_FEF_1,-0.01623238430726991,-0.0011626752165953059,0.9870657678365702,0.9870657678365702,198.0
7Networks_LH_SalVentAttn_ParOper_1,0.7913408381877223,0.05714253708658926,0.42973709399743154,0.9212206914628179,194.0
7Networks_LH_SalVentAttn_FrOperIns_1,-0.2760509138724311,-0.019920416631180625,0.7828089868273939,0.9546451058870657,195.0
7Networks_LH_SalVentAttn_FrOperIns_2,1.306058546487918,0.09341917069611497,0.19310337105732375,0.8395798741622772,196.0
7Networks_LH_SalVentAttn_PFCl_1,0.3173487888685131,0.022975796075123026,0.7513292661253159,0.951049703956096,194.0
