,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.4209320757030826,-0.10105414875936124,0.15694184361047253,0.31200759278648865,200.0
7Networks_LH_Vis_2,1.3119044074047481,0.09379201038184203,0.19111878940597174,0.35462094519159554,198.0
7Networks_LH_Vis_3,-0.47010180482707037,-0.0336574897303219,0.6388158086738969,0.7428090798533684,198.0
7Networks_LH_Vis_4,-2.138747305358103,-0.15297580388144918,0.03373291429973971,0.1204746939276418,196.0
7Networks_LH_Vis_5,-0.13179685421364717,-0.009491871460189958,0.8952844341469666,0.9222470909779894,196.0
7Networks_LH_Vis_6,0.9038391146722656,0.06485342917824091,0.36721927019728495,0.5563928336322499,197.0
7Networks_LH_Vis_7,-2.1616048728314396,-0.1535422261087612,0.031886230348353195,0.11809714943834516,198.0
7Networks_LH_Vis_8,-0.9945275034571376,-0.07161332643188968,0.3212310022695046,0.5181145197895235,196.0
7Networks_LH_Vis_9,-0.5281328843530927,-0.03721808248459898,0.5980201702658252,0.725089014596752,197.0
7Networks_LH_SomMot_1,-0.4829311969688944,-0.03494916297706198,0.62970057047266,0.7428090798533684,196.0
7Networks_LH_SomMot_2,0.20481010794133017,0.01437332795320444,0.8379420594521008,0.8820442731074746,194.0
7Networks_LH_SomMot_3,-0.2526693414346011,-0.018023652476926777,0.8007940418671755,0.8519085551778464,198.0
7Networks_LH_SomMot_4,-1.0955731420059027,-0.07776407968516334,0.27465239546551495,0.45775399244252496,196.0
7Networks_LH_SomMot_5,-0.3793905907772865,-0.026517722396850348,0.7048260194210433,0.7996594833212252,194.0
7Networks_LH_SomMot_6,-0.7900934635080179,-0.056217030484950595,0.43043787732197925,0.5978303851694157,200.0
7Networks_LH_DorsAttn_Post_1,-1.4589022042858248,-0.10434856352303126,0.14623458135751827,0.31200759278648865,197.0
7Networks_LH_DorsAttn_Post_2,-1.442882757974892,-0.10279977580064147,0.15070876873362526,0.31200759278648865,195.0
7Networks_LH_DorsAttn_Post_3,-0.6573577740576115,-0.04696334288106388,0.5117340753826756,0.6679034912155037,199.0
