,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-0.8989202467925713,-0.06455975666665816,0.36982109766810467,0.5208747854480348,197.0
7Networks_LH_Vis_2,1.3352186873079537,0.09627292447385559,0.1834107264511651,0.2958237523405889,194.0
7Networks_LH_Vis_3,0.3716044321915254,0.026993790523105955,0.710605863388651,0.826285887661222,193.0
7Networks_LH_Vis_4,-0.292680469273385,-0.021344309421546696,0.7700908989710951,0.8622296031011337,192.0
7Networks_LH_Vis_5,0.2204761820643389,0.015772095766952317,0.8257321697519802,0.8851201446088194,199.0
7Networks_LH_Vis_6,0.7818295489345368,0.05630303073409838,0.4352828524023713,0.5742657799586137,196.0
7Networks_LH_Vis_7,0.5688931935810112,0.04124823102571641,0.5701040230226211,0.7216506620539507,194.0
7Networks_LH_Vis_8,1.0360561536122264,0.07470663842880364,0.30149275183421764,0.45680719974881456,195.0
7Networks_LH_Vis_9,0.043252190425872535,0.003120790694432516,0.9655456849041603,0.9750598002312911,196.0
7Networks_LH_SomMot_1,3.011716433047414,0.21320447657287409,0.0029531500848535104,0.014643439144373343,194.0
7Networks_LH_SomMot_2,-0.3421072220264156,-0.024709737945447834,0.7326483201559917,0.8325549092681723,195.0
7Networks_LH_SomMot_3,2.5780771369343403,0.18421945039600843,0.010700485535940264,0.03689822598600091,193.0
7Networks_LH_SomMot_4,3.1508356607692094,0.22230108869056833,0.0018931503739026206,0.011136178670015415,194.0
7Networks_LH_SomMot_5,3.7340674614431055,0.25999775513287243,0.0002485801519304324,0.00610897601046857,196.0
7Networks_LH_SomMot_6,2.2324865779678613,0.15969814399564203,0.02675664794111623,0.07231526470571954,194.0
7Networks_LH_DorsAttn_Post_1,-1.0945857146805995,-0.07918149202853263,0.27509115947534557,0.42982993668022745,194.0
7Networks_LH_DorsAttn_Post_2,3.106782480956262,0.2199573750978804,0.002184585993717187,0.01149782101956414,193.0
7Networks_LH_DorsAttn_Post_3,1.4198885052804069,0.10148540967372628,0.15727027716565684,0.2578201265010768,196.0
7Networks_LH_DorsAttn_Post_4,2.4896579690459277,0.17602315333238458,0.01363634517881688,0.04132225811762691,197.0
