,younger,older,all
7Networks_LH_Vis_1,-0.11786732724601331,0.33752319943585707,0.09817306433481716
7Networks_LH_Vis_2,0.37564797821739937,0.4658953699011308,0.4690535562590909
7Networks_LH_Vis_3,0.11187553535530924,0.6560107305255461,0.46844807777353975
7Networks_LH_Vis_4,0.4273851718696912,0.2402117643324193,0.30569758060749436
7Networks_LH_Vis_5,0.15491533754802084,0.6352321329700712,0.5161535377042668
7Networks_LH_Vis_6,0.4964302998581257,0.6852195583228541,0.6077807220434116
7Networks_LH_Vis_7,0.1180568992954807,0.20271847742909993,0.22004881566086296
7Networks_LH_Vis_8,0.42874631155416565,0.42902654647930477,0.3703844670289034
7Networks_LH_Vis_9,0.37254886523233727,0.7064584152686969,0.4672975553508063
7Networks_LH_SomMot_1,0.259425153434132,0.4642655736073011,0.2839113091007712
7Networks_LH_SomMot_2,0.12397029857795677,0.2607448645677933,0.16524831249658367
7Networks_LH_SomMot_3,0.26309237492404897,0.29186648700287965,0.2592971475036889
7Networks_LH_SomMot_4,0.25415886633143236,0.5152691317787244,0.35943805013373165
7Networks_LH_SomMot_5,0.5015979934612164,0.6075919096271015,0.5905956990508635
7Networks_LH_SomMot_6,0.24296721788802345,0.609961296488092,0.4307755494382815
7Networks_LH_DorsAttn_Post_1,-0.11470851720640378,-0.0031133174869337494,-0.13095124852620435
7Networks_LH_DorsAttn_Post_2,0.27154280400891906,0.48378794525112423,0.38000181876803535
7Networks_LH_DorsAttn_Post_3,0.2752386795604724,0.190374414653283,0.2464518301370982
7Networks_LH_DorsAttn_Post_4,0.29171300002926226,0.5610999729756682,0.39270438493220466
7Networks_LH_DorsAttn_Post_5,0.16013900273259432,0.317702991285705,0.24443636492479956
7Networks_LH_DorsAttn_Post_6,0.3044568558460807,0.4955953048133998,0.3097297782086669
7Networks_LH_DorsAttn_PrCv_1,0.032146031877298954,0.024691452711609493,0.04712713960465205
7Networks_LH_DorsAttn_FEF_1,0.23513081098323746,0.47478775611867907,0.3791666682964148
7Networks_LH_SalVentAttn_ParOper_1,0.28270437823348415,0.40040735972864433,0.3462547090041039
7Networks_LH_SalVentAttn_FrOperIns_1,0.22509543485494599,0.5196090130034151,0.44813757359175377
7Networks_LH_SalVentAttn_FrOperIns_2,0.0702418539850685,0.44021425265370956,0.3214846869417489
