,t,r,p,p_fdr,N
7Networks_LH_Vis_1,1.7841870708562044,0.1262446467124047,0.0759481710986567,0.1489179825463857,200.0
7Networks_LH_Vis_2,1.8545604208083437,0.1331420925256921,0.065216876704519,0.130433753409038,194.0
7Networks_LH_Vis_3,1.5067615586353575,0.10800137921075485,0.1335239019064759,0.23425245948504544,196.0
7Networks_LH_Vis_4,0.9011253917147938,0.06554754127375902,0.3686807516252171,0.46795118733282143,192.0
7Networks_LH_Vis_5,-0.17204592795974716,-0.012271573990069262,0.8635798424686905,0.9284103980100198,200.0
7Networks_LH_Vis_6,0.8809662712444614,0.06322919025557479,0.3794375192258854,0.4742968990323568,197.0
7Networks_LH_Vis_7,4.326721642315099,0.29938051008833483,2.4491926938563195e-05,0.0003061490867320399,194.0
7Networks_LH_Vis_8,3.161566830686276,0.22054755714582724,0.0018212097016244552,0.0068799107759145136,199.0
7Networks_LH_Vis_9,0.7278639934555372,0.05213109751505739,0.46757895386104265,0.5520630120863613,198.0
7Networks_LH_SomMot_1,4.213054506512164,0.2919218269173083,3.897580118090344e-05,0.0004330644575655938,194.0
7Networks_LH_SomMot_2,3.7421779895233787,0.2597298532240638,0.00024088900841798586,0.0013572068151935705,197.0
7Networks_LH_SomMot_3,3.651021348654063,0.2577855961994746,0.0003393598935872516,0.001696799467936258,191.0
7Networks_LH_SomMot_4,4.43141970094698,0.30445107446060554,1.579667571528229e-05,0.00022566679593260413,195.0
7Networks_LH_SomMot_5,4.115401785543106,0.28312053601206916,5.7220219416671556e-05,0.0005201838128788323,198.0
7Networks_LH_SomMot_6,3.886098308798845,0.27005293573700895,0.0001406315953127709,0.000937543968751806,195.0
7Networks_LH_DorsAttn_Post_1,3.9025413848053643,0.2687286807513024,0.00013122713427506476,0.0009373366733933196,199.0
7Networks_LH_DorsAttn_Post_2,2.8388735060615935,0.20012692352225497,0.005017154082769652,0.01567860650865516,196.0
7Networks_LH_DorsAttn_Post_3,3.5109513094446867,0.24428220380920146,0.0005564407198577321,0.0025292759993533276,197.0
7Networks_LH_DorsAttn_Post_4,3.049340302324633,0.21336880979153716,0.002615447232210346,0.009340882972179805,198.0
7Networks_LH_DorsAttn_Post_5,0.14034722577210493,0.010069208316813228,0.8885320165524135,0.9284103980100198,198.0
7Networks_LH_DorsAttn_Post_6,2.9293057978968826,0.2058403427562165,0.003808655177289655,0.012285984442869855,197.0
7Networks_LH_DorsAttn_PrCv_1,2.5122019560124134,0.17637083141158919,0.012808879949117906,0.03370757881346818,200.0
7Networks_LH_DorsAttn_FEF_1,5.892969067987298,0.38728814035080666,1.641400819977856e-08,5.471336066592854e-07,200.0
7Networks_LH_SalVentAttn_ParOper_1,2.103454400256944,0.1488004691125226,0.036715059737044364,0.08158902163787636,199.0
7Networks_LH_SalVentAttn_FrOperIns_1,2.6324780999543327,0.1869171894492245,0.009173575352215467,0.026210215292044193,195.0
