,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.7413892841480445,-0.12352423978664474,0.08320053240640582,0.16475352951763528,199.0
7Networks_LH_Vis_2,1.0642078524204799,0.07678243794281225,0.28858515500070364,0.41218358693571294,195.0
7Networks_LH_Vis_3,1.0856210535334452,0.07745044601924748,0.2789938355187413,0.4043388920561468,199.0
7Networks_LH_Vis_4,-1.0107494938375325,-0.07326253075195086,0.31343543664868617,0.4293636118475153,193.0
7Networks_LH_Vis_5,-1.0565383014957526,-0.07599135709047224,0.2920568541911693,0.41218358693571294,196.0
7Networks_LH_Vis_6,-3.9349275799048344,-0.27066353030325835,0.0001158731178628996,0.0010533919805718146,199.0
7Networks_LH_Vis_7,0.7758059048140776,0.05588517854032645,0.43882314106466214,0.5451219143660399,196.0
7Networks_LH_Vis_8,-1.2015619096607566,-0.0858378024344856,0.23100566355951863,0.35539332855310557,198.0
7Networks_LH_Vis_9,0.0028635323318893587,0.0002077436272275706,0.9977182550660508,0.9977182550660508,194.0
7Networks_LH_Vis_10,1.6476371659140092,0.11738074220371035,0.10105422288125802,0.1888863979088935,198.0
7Networks_LH_Vis_11,-1.6041498590213916,-0.11436814645743318,0.11031617287483032,0.19876787905374832,198.0
7Networks_LH_Vis_12,-1.446151049181128,-0.10381777151861768,0.14977379085697068,0.2604761580121229,196.0
7Networks_LH_Vis_13,-0.3731695240482737,-0.026840161175177856,0.7094339467270769,0.8107816534023736,197.0
7Networks_LH_Vis_14,1.210377160257104,0.08678757291969859,0.22762214373824763,0.3529025484313917,197.0
7Networks_LH_SomMot_1,-1.5046307612558465,-0.10819966492848447,0.13407954129344724,0.23522726542710043,195.0
7Networks_LH_SomMot_2,-1.0271036654302317,-0.07329053799480911,0.30565057560989967,0.4245146883470829,199.0
7Networks_LH_SomMot_3,5.609285475019778,0.3737113226977188,7.009116783643472e-08,7.009116783643472e-06,197.0
7Networks_LH_SomMot_4,2.1661722871239433,0.15340079624950897,0.03152398575970793,0.08406396202588783,198.0
7Networks_LH_SomMot_5,2.0275629956887373,0.14426034878653318,0.04398706394716836,0.10599292517389966,197.0
7Networks_LH_SomMot_6,2.6894396676510848,0.18943836237458064,0.0077839191883371,0.02731199715206,198.0
7Networks_LH_SomMot_7,1.435925127366204,0.10273561015827876,0.15265087871581437,0.2618093943886835,197.0
