,younger,older,all
7Networks_LH_Vis_1,0.5205367444252719,0.09180135200144753,0.41553134263094416
7Networks_LH_Vis_2,0.1521078360808644,0.26758093771142355,0.22557381992503042
7Networks_LH_Vis_3,-0.006329167081564313,0.21444527442941827,0.053476077814621215
7Networks_LH_Vis_4,0.31086533659938975,0.5414565523551552,0.4601891516741035
7Networks_LH_Vis_5,0.23574572992326537,0.4354372625278331,0.3496711259312688
7Networks_LH_Vis_6,0.06717101621089219,0.04823153521793192,-0.0030143982934512322
7Networks_LH_Vis_7,0.3994472502903859,0.7295906437913918,0.5413262999719923
7Networks_LH_Vis_8,0.3276954266994992,0.30074565271945164,0.36215279538980444
7Networks_LH_Vis_9,0.24083389951621073,0.46672000527683943,0.2917288368122079
7Networks_LH_Vis_10,0.2665828267430713,0.48659238464773685,0.4161290948510245
7Networks_LH_Vis_11,0.4780847913310664,0.5865614146899786,0.433791560110855
7Networks_LH_Vis_12,-0.154847767205689,0.0071050946295508795,-0.07455193636741422
7Networks_LH_Vis_13,0.6894284275006894,0.5925888316960073,0.6371574679190202
7Networks_LH_Vis_14,0.5940559541865297,0.6287308413556453,0.5964243070280886
7Networks_LH_SomMot_1,0.644622443113521,0.49214432501385,0.5123811198374866
7Networks_LH_SomMot_2,0.2516346595920494,0.5432291123510193,0.3613120919503487
7Networks_LH_SomMot_3,0.3902763977314092,0.09136134619969243,0.38507432319441803
7Networks_LH_SomMot_4,0.5791712906115378,0.652387382970006,0.6089484365101823
7Networks_LH_SomMot_5,0.4993456773849811,0.6064929633294883,0.5899879719644584
7Networks_LH_SomMot_6,0.12354113801660448,0.05470734921573338,0.07542137577705407
7Networks_LH_SomMot_7,0.3149677333988457,0.36649249520687255,0.35198822032873417
7Networks_LH_SomMot_8,0.321820765316389,0.2531491227244415,0.27512828436656517
7Networks_LH_SomMot_9,0.3917039567718781,0.015683050405766237,0.11121655952045863
7Networks_LH_SomMot_10,0.41474411928505733,0.29462372884266874,0.2957397060888578
7Networks_LH_SomMot_11,0.39183308876058603,0.34428774472029605,0.31787815060380414
7Networks_LH_SomMot_12,0.48486502955706057,0.10243699553973612,0.25159409479933925
7Networks_LH_SomMot_13,0.3327085795419456,0.13386165968307603,0.16327150751577837
7Networks_LH_SomMot_14,0.4166030776478761,-0.048108622877316716,0.09806814874066043
7Networks_LH_SomMot_15,0.4196881916672801,0.12959031928902023,0.2602803585822237
7Networks_LH_SomMot_16,0.41677968800602094,-0.22894135079293326,0.12355683503554256
7Networks_LH_DorsAttn_Post_1,0.15064737161278366,0.13736101113075005,0.11704148940848709
7Networks_LH_DorsAttn_Post_2,-0.09370022988648692,0.02328972372457588,-0.002709731905556785
7Networks_LH_DorsAttn_Post_3,0.3749288651234984,0.19368634692034242,0.2454682862663459
7Networks_LH_DorsAttn_Post_4,0.03703390605791372,0.36115653656744273,0.1566060326529994
7Networks_LH_DorsAttn_Post_5,-0.11062574710830624,0.08475559405907365,-0.0030382926979928746
7Networks_LH_DorsAttn_Post_6,0.1240430056556748,0.34227003485106816,0.2077994696933006
7Networks_LH_DorsAttn_Post_7,-0.015036457709248083,0.11828724256077697,0.012617493785297229
7Networks_LH_DorsAttn_Post_8,0.14519972874476772,0.15911759797957695,0.17860374093810646
7Networks_LH_DorsAttn_Post_9,0.31018831127314955,0.2862122074099815,0.3292978702136773
7Networks_LH_DorsAttn_Post_10,0.44376520700699634,0.16568965407790143,0.22194209506378038
7Networks_LH_DorsAttn_FEF_1,0.5303911317189088,0.16751111415576467,0.3710801964013583
7Networks_LH_DorsAttn_FEF_2,0.6208225246454939,0.32730579063268445,0.4644730984169204
7Networks_LH_DorsAttn_PrCv_1,0.6304952484672525,0.2757908915960497,0.5396286491648159
7Networks_LH_SalVentAttn_ParOper_1,0.11099174033128566,-0.05673821051881045,0.09363368586207717
7Networks_LH_SalVentAttn_ParOper_2,0.3180358249617991,0.4489461600703765,0.3536682444804401
