,t,r,p,p_fdr,N
7Networks_LH_Vis_1,3.3110255215263216,0.2308476949062805,0.0011094452673094074,0.004400355519732224,198.0
7Networks_LH_Vis_2,3.2806715408835254,0.22921773827697942,0.0012299170584180188,0.004730450224684687,197.0
7Networks_LH_Vis_3,4.7062469602167605,0.3182248082316991,4.775050308771963e-06,0.0001635732425464233,200.0
7Networks_LH_Vis_4,2.5842399660171926,0.1817742254191465,0.010493914401439743,0.025286540726360825,199.0
7Networks_LH_Vis_5,1.5064920203443466,0.10738754726413295,0.1335758909643195,0.21202522375288807,198.0
7Networks_LH_Vis_6,2.685038055555931,0.18844922268330735,0.00788004683690239,0.020736965360269446,199.0
7Networks_LH_Vis_7,1.8459089496145398,0.13162883708539963,0.06644509147660194,0.12304646569741098,197.0
7Networks_LH_Vis_8,4.531426718924541,0.30754965030544434,1.0200539224013343e-05,0.00020401078448026685,200.0
7Networks_LH_Vis_9,3.212270453298386,0.22441257806093326,0.001543125562889786,0.005325244190487103,198.0
7Networks_LH_Vis_10,1.6460409159698846,0.11783227876005058,0.10139982522494845,0.16899970870824743,196.0
7Networks_LH_Vis_11,3.2466283110618273,0.2261259076206179,0.001375835182674619,0.005095685861757848,199.0
7Networks_LH_Vis_12,3.010699048592756,0.21052332146388492,0.0029531192682713753,0.00914594376903088,199.0
7Networks_LH_Vis_13,3.070679505391532,0.21466098024496777,0.00244208065221508,0.007877679523274452,199.0
7Networks_LH_Vis_14,3.6375460982710384,0.25256339403523925,0.0003531730832267211,0.001962072684592895,198.0
7Networks_LH_SomMot_1,1.4987972876554694,0.10759241912717103,0.135577188387284,0.2135073832870614,196.0
7Networks_LH_SomMot_2,2.1819762395689106,0.1542341476320681,0.030312958129479314,0.06021316666042527,199.0
7Networks_LH_SomMot_3,3.463257727832186,0.24207171338249975,0.0006586820022151877,0.0032130829376350624,196.0
7Networks_LH_SomMot_4,4.052500196898838,0.27840230064783633,7.327941893035785e-05,0.0006480123293336619,199.0
7Networks_LH_SomMot_5,3.4367520355927734,0.23963466193349953,0.0007216858173358372,0.0033566782201666845,197.0
7Networks_LH_SomMot_6,3.75098928870853,0.258486606199,0.00023217960786060132,0.0013657623991800076,200.0
7Networks_LH_SomMot_7,3.1528434021078686,0.2194454525223176,0.0018723743901814525,0.006138932426824434,200.0
7Networks_LH_SomMot_8,1.6368501519414116,0.11697008758552126,0.10329980163632146,0.17074347377904375,197.0
7Networks_LH_SomMot_9,0.29489644781899665,0.021037465366654576,0.7683867088896859,0.8262222676233181,200.0
7Networks_LH_SomMot_10,3.8553605974912513,0.2665920925932843,0.0001573282535590834,0.0010680546565707252,198.0
7Networks_LH_SomMot_11,3.8839366499263757,0.26821716170317006,0.0001411211454264104,0.0010680546565707252,198.0
7Networks_LH_SomMot_12,1.6802913525711372,0.11941289522157573,0.09451011685200761,0.1601866387322163,199.0
7Networks_LH_SomMot_13,1.6183633163217497,0.1153036407353213,0.1072173754640097,0.17433719587643853,198.0
7Networks_LH_SomMot_14,1.8112037122212854,0.12881399296333612,0.07166411612703508,0.13149379105877995,198.0
7Networks_LH_SomMot_15,3.8515991082183256,0.26557628553385126,0.00015934772593922836,0.0010680546565707252,199.0
7Networks_LH_SomMot_16,2.50065986747556,0.1761466672699366,0.013224467080164365,0.029717903550931155,199.0
7Networks_LH_DorsAttn_Post_1,4.225557139602501,0.2885889569473523,3.657861837847028e-05,0.00043033668680553266,200.0
7Networks_LH_DorsAttn_Post_2,3.858865297866496,0.2653999717556099,0.00015478023088281317,0.0010680546565707252,200.0
7Networks_LH_DorsAttn_Post_3,1.3931677488543772,0.09944392774275068,0.16517156402983701,0.2521703267631099,198.0
7Networks_LH_DorsAttn_Post_4,4.63755787372886,0.3140446693953394,6.450293048373044e-06,0.00016378945331346973,200.0
7Networks_LH_DorsAttn_Post_5,4.0814467728805335,0.28070958385075623,6.548207975500956e-05,0.0006480123293336619,198.0
7Networks_LH_DorsAttn_Post_6,3.2182664778341317,0.22438236622327232,0.0015116450895279504,0.005325244190487103,199.0
7Networks_LH_DorsAttn_Post_7,2.501331710370269,0.17617307697413928,0.013200204182607695,0.029717903550931155,199.0
7Networks_LH_DorsAttn_Post_8,1.3063206472928204,0.09306983217254015,0.19299017684425623,0.2838090835944944,199.0
