,t,p,p_fdr
7Networks_LH_Vis_1,-2.402820230370883,0.024016304690832737,0.16677896860412758
7Networks_LH_Vis_2,1.4009543663736979,0.17351909816314692,0.4428320101685941
7Networks_LH_Vis_3,1.0546595464430752,0.30166758738217736,0.5462471280629637
7Networks_LH_Vis_4,0.8992117516913473,0.3771197983464477,0.5892496849163246
7Networks_LH_Vis_5,1.3693738566477887,0.18305926743183726,0.4428320101685941
7Networks_LH_Vis_6,0.6250580860610945,0.5375969803545881,0.6926318743934041
7Networks_LH_Vis_7,2.0434783839035293,0.05167851276099245,0.2583925638049622
7Networks_LH_Vis_8,-1.2944860882537366,0.20732722648306198,0.47119824200695903
7Networks_LH_Vis_9,-1.0003718002101791,0.32671555526625096,0.5462471280629637
7Networks_LH_SomMot_1,-1.9169171384365111,0.06674590996124741,0.3014362205159853
7Networks_LH_SomMot_2,-0.6768224002696998,0.5047335092050234,0.6926318743934041
7Networks_LH_SomMot_3,-0.1722579728856728,0.8646216287407391,0.9198102433412119
7Networks_LH_SomMot_4,-1.2066914497024048,0.23884573152573907,0.5307682922794201
7Networks_LH_SomMot_5,-1.8259956076458241,0.07981873617322074,0.319274944692883
7Networks_LH_SomMot_6,-2.3440590925025995,0.027324757002118064,0.1707797312632379
7Networks_LH_DorsAttn_Post_1,1.769371973658421,0.08903084638401584,0.32109054414671157
7Networks_LH_DorsAttn_Post_2,-0.40516959927316326,0.6887991813244883,0.7918182492176923
7Networks_LH_DorsAttn_Post_3,-2.640815179743737,0.014049947481454873,0.14049947481454872
7Networks_LH_DorsAttn_Post_4,0.6739908947165113,0.5065016831934719,0.6926318743934041
7Networks_LH_DorsAttn_Post_5,-2.26256137480946,0.03260478078894975,0.1779905002182371
7Networks_LH_DorsAttn_Post_6,0.22153150188136927,0.8264781686586399,0.8983458354985215
7Networks_LH_DorsAttn_PrCv_1,-3.1788837867329245,0.003913132745771288,0.06767271394264383
7Networks_LH_DorsAttn_FEF_1,-1.828457755797259,0.07943751030219583,0.319274944692883
7Networks_LH_SalVentAttn_ParOper_1,-0.10380376471834388,0.9181533414710333,0.956409730698993
7Networks_LH_SalVentAttn_FrOperIns_1,-0.724738556216622,0.47534139483664417,0.6790591354809203
7Networks_LH_SalVentAttn_FrOperIns_2,-0.8627165150426973,0.39649416573747753,0.6099910242115039
7Networks_LH_SalVentAttn_PFCl_1,-1.035414822893825,0.3103875209492726,0.5462471280629637
7Networks_LH_SalVentAttn_Med_1,-1.0699400446380727,0.2948681543754234,0.5462471280629637
7Networks_LH_SalVentAttn_Med_2,-0.6102881582299985,0.5471791807707893,0.6926318743934041
7Networks_LH_SalVentAttn_Med_3,-1.0027649005650752,0.3255819961804609,0.5462471280629637
7Networks_LH_Limbic_OFC_1,-1.9776715951644992,0.05908935310623828,0.281377871934468
7Networks_LH_Limbic_TempPole_1,-0.0717732483352005,0.9433534778053552,0.9689317795269771
7Networks_LH_Limbic_TempPole_2,-1.060747314911275,0.29894552231101035,0.5462471280629637
7Networks_LH_Cont_Par_1,0.29871520734826246,0.7676262832008431,0.8435453661547726
7Networks_LH_Cont_PFCl_1,-2.2455426704573136,0.03381819504146505,0.1779905002182371
7Networks_LH_Cont_pCun_1,-1.5814295604480029,0.1263502528441143,0.3638823291885167
7Networks_LH_Cont_Cing_1,-2.554212601060261,0.01711720515491801,0.1556109559538001
7Networks_LH_Default_Temp_1,-0.40505562014337454,0.6888818768193923,0.7918182492176923
7Networks_LH_Default_Temp_2,-1.8977841983059611,0.06933033071867661,0.3014362205159853
7Networks_LH_Default_Par_1,-0.5435844313199434,0.5915423290377978,0.7284397334050688
7Networks_LH_Default_Par_2,0.9328504301178427,0.3598197771956525,0.5711425034851627
7Networks_LH_Default_PFC_1,-3.388733892893975,0.002331298816252733,0.05828247040631832
7Networks_LH_Default_PFC_2,-1.386036665268906,0.17797537441774142,0.4428320101685941
7Networks_LH_Default_PFC_3,-0.36450578782278403,0.7185455051200211,0.8073545001348552
7Networks_LH_Default_PFC_4,-0.8420277662917987,0.4077555919898631,0.6143572467362588
7Networks_LH_Default_PFC_5,-0.6534411937308638,0.5194371558436099,0.6926318743934041
7Networks_LH_Default_PFC_6,-1.6618941904560094,0.10902423104881603,0.36341410349605346
7Networks_LH_Default_PFC_7,-1.4564431135385862,0.1577157314606873,0.41798840248733815
7Networks_LH_Default_pCunPCC_1,-0.5350826405726327,0.5973205813921564,0.7284397334050688
7Networks_LH_Default_pCunPCC_2,-2.4464013888144858,0.021804898665088775,0.16677896860412758
7Networks_RH_Vis_1,2.4309119382075295,0.02256841918459312,0.16677896860412758
7Networks_RH_Vis_2,0.8077126989308256,0.42687489617081853,0.6277572002512036
7Networks_RH_Vis_3,-0.03694014421208744,0.9708261229382343,0.9723532309673133
7Networks_RH_Vis_4,0.9496802531074491,0.35136586611577203,0.5667191388964065
7Networks_RH_Vis_5,0.6318822285456714,0.5332000986904861,0.6926318743934041
7Networks_RH_Vis_6,1.0014832843400459,0.32618873177678,0.5462471280629637
7Networks_RH_Vis_7,0.06390622517961553,0.9495531439364375,0.9689317795269771
7Networks_RH_Vis_8,-0.6164542583833258,0.5431679513299972,0.6926318743934041
7Networks_RH_SomMot_1,1.6225178432187006,0.11723731504933635,0.3638823291885167
7Networks_RH_SomMot_2,1.75124494372468,0.09216585259235642,0.32109054414671157
7Networks_RH_SomMot_3,0.5126719908749944,0.6126810554794122,0.7381699463607376
7Networks_RH_SomMot_4,0.3660886251794813,0.7173787518394906,0.8073545001348552
7Networks_RH_SomMot_5,-0.31383630652176936,0.7562491406364844,0.8402768229294271
7Networks_RH_SomMot_6,-1.1469486197433347,0.2622616943163006,0.5462471280629637
7Networks_RH_SomMot_7,0.441810285318173,0.6624246583141815,0.7793231274284489
7Networks_RH_SomMot_8,-1.7947366641410165,0.08479737821978382,0.32109054414671157
7Networks_RH_DorsAttn_Post_1,2.3843041336044632,0.025016845290619136,0.16677896860412758
7Networks_RH_DorsAttn_Post_2,0.9732461760672194,0.3397544006061102,0.5569744272231314
7Networks_RH_DorsAttn_Post_3,0.7426581470809814,0.46461026818963636,0.673348214767589
7Networks_RH_DorsAttn_Post_4,1.0408324750801987,0.3079150640398344,0.5462471280629637
7Networks_RH_DorsAttn_Post_5,-0.5522169758813467,0.585703228433031,0.7284397334050688
7Networks_RH_DorsAttn_PrCv_1,-1.1900118823028254,0.24522030467507164,0.5330876188588514
7Networks_RH_DorsAttn_FEF_1,-1.3181115102599033,0.19941674940157694,0.4637598823292487
7Networks_RH_SalVentAttn_TempOccPar_1,-1.0976999262473026,0.28279600311730113,0.5462471280629637
7Networks_RH_SalVentAttn_TempOccPar_2,-0.20602765778316579,0.8384379115346831,0.901546141435143
7Networks_RH_SalVentAttn_FrOperIns_1,-0.9981965580795034,0.3277482768377782,0.5462471280629637
7Networks_RH_SalVentAttn_Med_1,-0.8350130914567604,0.4116193553132934,0.6143572467362588
7Networks_RH_SalVentAttn_Med_2,-1.0087179766846273,0.32277393688098843,0.5462471280629637
7Networks_RH_Limbic_OFC_1,-1.4523680719029441,0.1588355929451885,0.41798840248733815
7Networks_RH_Limbic_TempPole_1,1.7458534287884693,0.09311625780254634,0.32109054414671157
7Networks_RH_Cont_Par_1,-3.565819030996488,0.0014963359664212988,0.04987786554737663
7Networks_RH_Cont_Par_2,-1.5456752924509731,0.13474909578046596,0.37430304383462765
7Networks_RH_Cont_PFCl_1,-2.2953866295117424,0.030375452688185395,0.1779905002182371
7Networks_RH_Cont_PFCl_2,-1.6266310361856768,0.11635594505798423,0.3638823291885167
7Networks_RH_Cont_PFCl_3,-1.5770344323813736,0.12735881521598083,0.3638823291885167
7Networks_RH_Cont_PFCl_4,-4.673356713293584,8.688311792439315e-05,0.008688311792439314
7Networks_RH_Cont_Cing_1,-2.7858686862499398,0.010036771930480179,0.12286482903099628
7Networks_RH_Cont_PFCmp_1,-0.7033641516973189,0.48832817998110234,0.6877861689874681
7Networks_RH_Cont_pCun_1,-4.142715390934884,0.00034315069182958285,0.017157534591479142
7Networks_RH_Default_Par_1,-2.9347397898138037,0.00705921331044687,0.10084590443495528
7Networks_RH_Default_Temp_1,0.03500566623418428,0.9723532309673133,0.9723532309673133
7Networks_RH_Default_Temp_2,-0.4518784418846553,0.655252765296612,0.7793231274284489
7Networks_RH_Default_Temp_3,-3.163773224120608,0.00406036283655863,0.06767271394264383
7Networks_RH_Default_PFCv_1,-2.744385381003784,0.011057834612789665,0.12286482903099628
7Networks_RH_Default_PFCv_2,-1.5979797684799046,0.12261146593907873,0.3638823291885167
7Networks_RH_Default_PFCdPFCm_1,-1.0002114822560408,0.32679159145648473,0.5462471280629637
7Networks_RH_Default_PFCdPFCm_2,-0.6439692884132472,0.5254598520412842,0.6926318743934041
7Networks_RH_Default_PFCdPFCm_3,-1.3599347348051505,0.18598944427080952,0.4428320101685941
7Networks_RH_Default_pCunPCC_1,1.1555650593124425,0.2587841417742993,0.5462471280629637
7Networks_RH_Default_pCunPCC_2,-0.1174928796841022,0.9074083529199571,0.9551666872841654
