,t,p,p_fdr
7Networks_LH_Vis_1,-3.1403049203326483,0.004299642285011137,0.02737601455698106
7Networks_LH_Vis_2,1.4374301031221333,0.1629953672042653,0.23956265962223597
7Networks_LH_Vis_3,1.4942340886482919,0.14763027336585802,0.2271234974859354
7Networks_LH_Vis_4,1.1529841075186382,0.25982222774448566,0.32888889587909576
7Networks_LH_Vis_5,1.43813060135276,0.162798370233553,0.23956265962223597
7Networks_LH_Vis_6,2.0595251614871914,0.05000137915001954,0.1111141758889323
7Networks_LH_Vis_7,0.6688165367904235,0.5097417927054397,0.5663797696727108
7Networks_LH_Vis_8,1.6937807692417979,0.10273204034770478,0.1834500720494728
7Networks_LH_Vis_9,1.9363128258632332,0.06421226741187003,0.13377555710806258
7Networks_LH_SomMot_1,3.132689227324728,0.00438016232911697,0.02737601455698106
7Networks_LH_SomMot_2,1.1630615742108061,0.25578626129012916,0.3279311042181143
7Networks_LH_SomMot_3,3.2667187715054085,0.0031539517404857126,0.02406490762916416
7Networks_LH_SomMot_4,2.3344421755619016,0.027904359432749395,0.07154963957115229
7Networks_LH_SomMot_5,2.1350329047566907,0.04274268836181442,0.09940160084142888
7Networks_LH_SomMot_6,2.4516913655938755,0.02154964759884911,0.06324314606473279
7Networks_LH_DorsAttn_Post_1,-0.16060149155608588,0.8736979824740723,0.9019781692889772
7Networks_LH_DorsAttn_Post_2,1.4065626107802482,0.17186682827991373,0.24206595532382216
7Networks_LH_DorsAttn_Post_3,0.8977080847214524,0.377905634291796,0.44988765987118573
7Networks_LH_DorsAttn_Post_4,2.999795233411158,0.006041150913487389,0.03553618184404347
7Networks_LH_DorsAttn_Post_5,3.6781004331386176,0.0011267717875613136,0.01408464734451642
7Networks_LH_DorsAttn_Post_6,3.375342681976296,0.002410260974546163,0.020455226139729582
7Networks_LH_DorsAttn_PrCv_1,0.07427239117910348,0.9413847523950318,0.9413847523950318
7Networks_LH_DorsAttn_FEF_1,3.6914105086830937,0.0010893877431229486,0.01408464734451642
7Networks_LH_SalVentAttn_ParOper_1,1.8686809904712793,0.07342853592581731,0.14564137634322455
7Networks_LH_SalVentAttn_FrOperIns_1,1.6828264903381907,0.10485823750884772,0.18396182019096094
7Networks_LH_SalVentAttn_FrOperIns_2,1.1282872053769772,0.2699104583728501,0.3373880729660626
7Networks_LH_SalVentAttn_PFCl_1,-2.6235501926876323,0.01461710859121053,0.05208200278855136
7Networks_LH_SalVentAttn_Med_1,-0.7896209322463086,0.4371747864375236,0.5024997545258892
7Networks_LH_SalVentAttn_Med_2,4.977717470530601,3.948322121531775e-05,0.0019741610607658874
7Networks_LH_SalVentAttn_Med_3,1.233703737339286,0.228786611770615,0.3050488156941533
7Networks_LH_Limbic_OFC_1,-1.5229471332750417,0.14032225344438848,0.22185572569751263
7Networks_LH_Limbic_TempPole_1,2.559941395637027,0.01689644281627587,0.05467665828973894
7Networks_LH_Limbic_TempPole_2,-0.8086875726389499,0.4263241780251137,0.495725788401295
7Networks_LH_Cont_Par_1,1.7794827836098221,0.08732212568666119,0.15876750124847488
7Networks_LH_Cont_PFCl_1,-0.7269100015818228,0.47403338878929846,0.5326217851565151
7Networks_LH_Cont_pCun_1,0.09630326675672449,0.9240475707704924,0.933381384616659
7Networks_LH_Cont_Cing_1,3.2399179291396414,0.003369087068082983,0.02406490762916416
7Networks_LH_Default_Temp_1,4.223695581700087,0.0002784348864492219,0.005568697728984438
7Networks_LH_Default_Temp_2,1.5162985396191153,0.1419876644464081,0.22185572569751263
7Networks_LH_Default_Par_1,0.27274504112951875,0.7872894807245162,0.837542000770762
7Networks_LH_Default_Par_2,4.595657054354377,0.00010627727080969758,0.0026569317702424397
