,t,p,p_fdr
7Networks_LH_Vis_1,1.0002960885573224,0.3267514625485829,0.5445857709143048
7Networks_LH_Vis_2,-0.11656890207642018,0.9081330683160329,0.9414384135685528
7Networks_LH_Vis_3,-0.7806674659881369,0.4423278147083146,0.6505021767123133
7Networks_LH_Vis_4,0.12919127502315017,0.8982400823520795,0.9414384135685528
7Networks_LH_Vis_5,1.1273430673600893,0.2703017046438197,0.4943012128609544
7Networks_LH_Vis_6,0.3240658397866392,0.7485839137767532,0.8411055210974754
7Networks_LH_Vis_7,-0.817046187661447,0.4216203623582645,0.6363901735747207
7Networks_LH_Vis_8,0.5489604432223548,0.5879026297670717,0.7635099087884049
7Networks_LH_Vis_9,0.8150218786466216,0.4227565711958383,0.6363901735747207
7Networks_LH_Vis_10,-0.4760503296247126,0.6381724792704984,0.7825910320061936
7Networks_LH_Vis_11,-0.4610978803322398,0.6487148824749753,0.7825910320061936
7Networks_LH_Vis_12,0.6049421735129229,0.550669447301136,0.7308962562569731
7Networks_LH_Vis_13,-1.873117535319475,0.07279052433967627,0.20940342755590854
7Networks_LH_Vis_14,0.04601312096166882,0.963665380804831,0.9847917318924214
7Networks_LH_SomMot_1,-0.4875731484622643,0.6301006568923548,0.7825910320061936
7Networks_LH_SomMot_2,0.21657286684396082,0.8302987902104713,0.9074303718147226
7Networks_LH_SomMot_3,1.571222368091016,0.12870271764292757,0.29586831642052314
7Networks_LH_SomMot_4,1.531984450481507,0.13808408069373668,0.31030130492974534
7Networks_LH_SomMot_5,0.9293168917313825,0.36161181648897456,0.5879866934780075
7Networks_LH_SomMot_6,-0.6031735810464736,0.5518266734740147,0.7308962562569731
7Networks_LH_SomMot_7,-0.42731012082379655,0.6728114507856822,0.802223945070294
7Networks_LH_SomMot_8,0.7492506323249878,0.4606986104699875,0.6617367059467751
7Networks_LH_SomMot_9,-1.15519640867629,0.25893223003169485,0.4795041296883238
7Networks_LH_SomMot_10,-2.4453035219427637,0.021858221091868545,0.09429841495582855
7Networks_LH_SomMot_11,0.8213396029762552,0.41921684073228693,0.6363901735747207
7Networks_LH_SomMot_12,-1.3110785297856937,0.20174677491849405,0.40086713862686
7Networks_LH_SomMot_13,-0.47918316298707275,0.6359733411813151,0.7825910320061936
7Networks_LH_SomMot_14,1.3478716017959076,0.18978757155267434,0.391314580520978
7Networks_LH_SomMot_15,-0.7054687514448559,0.4870405047071884,0.6821526034835643
7Networks_LH_SomMot_16,-0.892125966647414,0.38083227462836744,0.6093316394053879
7Networks_LH_DorsAttn_Post_1,-0.022487883126204995,0.9822373081635596,0.9871943258649065
7Networks_LH_DorsAttn_Post_2,1.9116403819793295,0.06745014405921329,0.20940342755590854
7Networks_LH_DorsAttn_Post_3,-0.3753671746845807,0.7105534213683782,0.8167280705383657
7Networks_LH_DorsAttn_Post_4,0.58281745370116,0.565236688113573,0.7437324843599644
7Networks_LH_DorsAttn_Post_5,0.12528687127065083,0.9012985064492962,0.9414384135685528
7Networks_LH_DorsAttn_Post_6,-0.4599172104093822,0.6495505565651407,0.7825910320061936
7Networks_LH_DorsAttn_Post_7,-1.862412810132132,0.07433821678234753,0.20940342755590854
7Networks_LH_DorsAttn_Post_8,0.362722670259326,0.7198607247456525,0.8214059603918724
7Networks_LH_DorsAttn_Post_9,2.544396486921656,0.017501721851494092,0.08606303826395889
7Networks_LH_DorsAttn_Post_10,1.8262946350729807,0.07977235238164769,0.21855439008670602
7Networks_LH_DorsAttn_FEF_1,1.7383962509114081,0.09444453191250976,0.24853824187502568
7Networks_LH_DorsAttn_FEF_2,1.6507980102260438,0.11128836921599952,0.2769257646380902
7Networks_LH_DorsAttn_PrCv_1,0.41498666747628443,0.6816914868037085,0.802223945070294
7Networks_LH_SalVentAttn_ParOper_1,-1.365409019383842,0.18428561878622515,0.3839283724713024
7Networks_LH_SalVentAttn_ParOper_2,2.3446655670334478,0.02728857712239594,0.10936396835281516
7Networks_LH_SalVentAttn_ParOper_3,1.0140316051112432,0.3202816950878933,0.53828856317293
7Networks_LH_SalVentAttn_FrOperIns_1,-2.8932845256787747,0.007791027964523706,0.048936450492526345
7Networks_LH_SalVentAttn_FrOperIns_2,-0.7889578955247312,0.43755512570469557,0.6505021767123133
7Networks_LH_SalVentAttn_FrOperIns_3,1.49704682890171,0.14690100054418478,0.32644666787596616
7Networks_LH_SalVentAttn_FrOperIns_4,0.4105723866140009,0.6848838291400186,0.802223945070294
7Networks_LH_SalVentAttn_PFCl_1,-2.986048958530697,0.006243845505327501,0.048048813026673486
7Networks_LH_SalVentAttn_Med_1,0.9297717851339732,0.3613807842783786,0.5879866934780075
7Networks_LH_SalVentAttn_Med_2,1.5837044618481886,0.12583082105137752,0.29586831642052314
7Networks_LH_SalVentAttn_Med_3,2.0219017352761037,0.05401220703913766,0.1770892034070087
7Networks_LH_Limbic_OFC_1,-2.488389140393787,0.01985349430038798,0.0882377524461688
7Networks_LH_Limbic_OFC_2,-5.606621060377692,7.82794522186441e-06,0.001565589044372882
7Networks_LH_Limbic_TempPole_1,-3.4875867909701355,0.0018212985993339421,0.028019978451291415
7Networks_LH_Limbic_TempPole_2,-1.551457468689262,0.133360571662564,0.30309220832400907
7Networks_LH_Limbic_TempPole_3,-0.27570663384172006,0.7850395645558453,0.872238774669054
7Networks_LH_Limbic_TempPole_4,-0.3541425727060577,0.7262016106657825,0.8214059603918724
7Networks_LH_Cont_Par_1,-2.6615049876528842,0.013397410706200766,0.07655663260686153
7Networks_LH_Cont_Par_2,-2.383621155193938,0.025054472550847067,0.10439363562852945
7Networks_LH_Cont_Par_3,-0.5242532525123288,0.6047199809306192,0.765468330291923
7Networks_LH_Cont_Temp_1,-3.5675524572718205,0.0014898180991828843,0.026846975401861622
7Networks_LH_Cont_OFC_1,-3.059752603712312,0.005228274741045336,0.0435689561753778
7Networks_LH_Cont_PFCl_1,-4.972668204046787,4.000256031300941e-05,0.004000256031300941
7Networks_LH_Cont_PFCl_2,-3.2458581880100303,0.0033202147194399826,0.035815521681120725
7Networks_LH_Cont_PFCl_3,-3.842612226986558,0.0007414134171414495,0.018535335428536238
7Networks_LH_Cont_PFCl_4,-3.7532354912280304,0.000931085086787961,0.01862170173575922
7Networks_LH_Cont_PFCl_5,-2.546107568841645,0.017434122664750213,0.08606303826395889
7Networks_LH_Cont_pCun_1,-1.3109245796903382,0.20179801311572074,0.40086713862686
7Networks_LH_Cont_Cing_1,-1.2543889332835108,0.22130244489279796,0.4215284664624723
7Networks_LH_Cont_Cing_2,0.11611633079020611,0.9084880690936534,0.9414384135685528
7Networks_LH_Default_Temp_1,-2.0319604107930926,0.052912907488258484,0.1770892034070087
7Networks_LH_Default_Temp_2,-3.868178732260352,0.0006945320044746918,0.018535335428536238
7Networks_LH_Default_Temp_3,-3.98974853238992,0.0005086588204782518,0.018535335428536238
7Networks_LH_Default_Temp_4,-3.536517280598256,0.0016108185241116974,0.026846975401861622
7Networks_LH_Default_Temp_5,-1.0596870533281897,0.2994183496382756,0.5252953502425889
7Networks_LH_Default_Par_1,-2.531216123957415,0.018030656875563298,0.08606303826395889
7Networks_LH_Default_Par_2,-0.697934301889889,0.49165934910763265,0.6828602070939342
7Networks_LH_Default_Par_3,-2.6464524201643425,0.01386926582619567,0.07705147681219816
7Networks_LH_Default_Par_4,-2.680080499537313,0.012835851644083511,0.07550500967107947
7Networks_LH_Default_PFC_1,-3.868677774496009,0.0006936465724540452,0.018535335428536238
7Networks_LH_Default_PFC_2,-2.9539739778171756,0.006742335597865556,0.048048813026673486
7Networks_LH_Default_PFC_3,-3.1964981528460843,0.003747990189991909,0.035815521681120725
7Networks_LH_Default_PFC_4,-2.559045085324407,0.016930806930447996,0.08606303826395889
7Networks_LH_Default_PFC_5,-3.2657962186889464,0.003161131609476179,0.035815521681120725
7Networks_LH_Default_PFC_6,-3.911644493827507,0.0006214383688874614,0.018535335428536238
7Networks_LH_Default_PFC_7,-0.8142337189742638,0.42319946542718934,0.6363901735747207
7Networks_LH_Default_PFC_8,-1.9627663795051749,0.06089261405906799,0.1964277872873161
7Networks_LH_Default_PFC_9,-0.20032836761284042,0.842844509825773,0.9161353367671445
7Networks_LH_Default_PFC_10,-1.7298360118658698,0.09598910710874706,0.24932235612661574
7Networks_LH_Default_PFC_11,-2.8911911344072996,0.007829832078804215,0.048936450492526345
7Networks_LH_Default_PFC_12,-0.6677829469986498,0.5103903886375502,0.7039867429483451
7Networks_LH_Default_PFC_13,-1.0862402879821615,0.2877358261503058,0.5138139752684031
7Networks_LH_Default_pCunPCC_1,-2.0584858595318507,0.05010851880066366,0.17581936421285496
7Networks_LH_Default_pCunPCC_2,-0.8532704194603199,0.4016110224497127,0.6262360162101961
7Networks_LH_Default_pCunPCC_3,-1.6370953780107647,0.11413852766577214,0.2769257646380902
7Networks_LH_Default_pCunPCC_4,-0.7691007327360211,0.44903917403826843,0.6507814116496644
7Networks_LH_Default_PHC_1,0.01621152824097488,0.9871943258649065,0.9871943258649065
7Networks_RH_Vis_1,0.7058877728975016,0.48678436367725053,0.6821526034835643
7Networks_RH_Vis_2,0.6130381355267203,0.5453883195915497,0.7308962562569731
7Networks_RH_Vis_3,-1.4159837482139164,0.1691193646496773,0.35913326029863685
7Networks_RH_Vis_4,-0.6324298547362375,0.5328480939907005,0.7249633931846267
7Networks_RH_Vis_5,1.0286117979260834,0.31351186563866495,0.5359177190404529
7Networks_RH_Vis_6,-0.6079560377254072,0.5487003379386145,0.7308962562569731
7Networks_RH_Vis_7,-0.8736317151153289,0.39063374619593894,0.6200535653903793
7Networks_RH_Vis_8,1.1567058088146858,0.2583262931138859,0.4795041296883238
