,t,p,p_fdr
7Networks_LH_Vis_1,-1.0773328217807798,0.29161793741547926,0.3600221449573818
7Networks_LH_Vis_2,1.952728091355981,0.062134148896813964,0.11045816603579037
7Networks_LH_Vis_3,-0.01087373330291769,0.9914104967382439,0.9914104967382439
7Networks_LH_Vis_4,4.4173171582562025,0.00016872943871060585,0.0021091179838825733
7Networks_LH_Vis_5,0.9515606219816874,0.3504296792474696,0.41717818958032094
7Networks_LH_Vis_6,-0.03902201593015109,0.9691827868691728,0.9789725119890634
7Networks_LH_Vis_7,2.708908470498434,0.01200789537813027,0.038735146381065386
7Networks_LH_Vis_8,2.363905893229014,0.026163286501344255,0.06411561930833776
7Networks_LH_Vis_9,-0.36557623666736766,0.7177563712033259,0.7717810443046514
7Networks_LH_SomMot_1,2.5868702742835548,0.015893783888240958,0.044650394208802305
7Networks_LH_SomMot_2,0.9862623225330907,0.33345415146197466,0.4017519897132225
7Networks_LH_SomMot_3,1.615811650215827,0.11868622561446199,0.17525832506826905
7Networks_LH_SomMot_4,4.307947091913564,0.00022394656754656832,0.00248829519496187
7Networks_LH_SomMot_5,3.5276878219682555,0.0016469600522239563,0.010979733681493043
7Networks_LH_SomMot_6,2.5698555058280625,0.016520645857256853,0.044650394208802305
7Networks_LH_DorsAttn_Post_1,2.2448982321524618,0.03386493732780371,0.07361942897348633
7Networks_LH_DorsAttn_Post_2,2.8803829310884304,0.008033115050574349,0.03089659634836288
7Networks_LH_DorsAttn_Post_3,1.8038076231735558,0.08332588795433625,0.13659981631858403
7Networks_LH_DorsAttn_Post_4,2.556819590904852,0.017016412714341008,0.044780033458792126
7Networks_LH_DorsAttn_Post_5,2.8614208402078884,0.008401913236237539,0.031118197171250143
7Networks_LH_DorsAttn_Post_6,1.2888371651999333,0.20925397995129108,0.268274333270886
7Networks_LH_DorsAttn_PrCv_1,-0.8743132629498709,0.390269680582745,0.45380195416598257
7Networks_LH_DorsAttn_FEF_1,3.7574995005979615,0.0009210403502289312,0.00767533625190776
7Networks_LH_SalVentAttn_ParOper_1,2.353912802809763,0.026742326123027002,0.06411561930833776
7Networks_LH_SalVentAttn_FrOperIns_1,3.7812478664465448,0.000867012532691606,0.00767533625190776
7Networks_LH_SalVentAttn_FrOperIns_2,2.049971792800605,0.050993928034165595,0.09621495855502941
7Networks_LH_SalVentAttn_PFCl_1,-1.4516586562664187,0.15903119821667083,0.21459991976803874
7Networks_LH_SalVentAttn_Med_1,-1.3089820548685285,0.2024453957970158,0.2631704755954337
7Networks_LH_SalVentAttn_Med_2,3.597619451041423,0.001381076190972074,0.009864829935514813
7Networks_LH_SalVentAttn_Med_3,2.6651305477728484,0.013286028868768547,0.04026069354172287
7Networks_LH_Limbic_OFC_1,-1.4447366738754508,0.16094993982602906,0.21459991976803874
7Networks_LH_Limbic_TempPole_1,2.0594103474720864,0.050013205092285025,0.09617924056208658
7Networks_LH_Limbic_TempPole_2,-0.8747648633147733,0.3900285676440144,0.45380195416598257
