,t,p,p_fdr
7Networks_LH_Vis_1,-1.8002862266534603,0.08389450373562515,0.2665993351820098
7Networks_LH_Vis_2,-1.614800163092868,0.11890605026056165,0.2665993351820098
7Networks_LH_Vis_3,-1.6080449692842904,0.12038283783904204,0.2665993351820098
7Networks_LH_Vis_4,-3.0449113219954747,0.005419142683488851,0.18902069079935016
7Networks_LH_Vis_5,-1.7163578061455729,0.0984644968020083,0.2665993351820098
7Networks_LH_Vis_6,-1.6817148828030828,0.1050760542176358,0.2665993351820098
7Networks_LH_Vis_7,-2.2682131093336464,0.03221064813031654,0.24777421638705027
7Networks_LH_Vis_8,-1.7042737167920408,0.10072960688269217,0.2665993351820098
7Networks_LH_Vis_9,-1.4685730833667399,0.1544198178023434,0.3089548958018837
7Networks_LH_SomMot_1,-2.327368928160646,0.02833780640988967,0.24777421638705027
7Networks_LH_SomMot_2,-1.717516168533479,0.0982496499176749,0.2665993351820098
7Networks_LH_SomMot_3,-1.1485719991639982,0.2616039007688849,0.44339644198116085
7Networks_LH_SomMot_4,-1.693691128202714,0.10274929076601601,0.2665993351820098
7Networks_LH_SomMot_5,-1.6360646728103443,0.11435535863614825,0.2665993351820098
7Networks_LH_SomMot_6,-2.054918253380919,0.05047785068774034,0.2665993351820098
7Networks_LH_DorsAttn_Post_1,-2.1747090943041076,0.03932009266508526,0.2665993351820098
7Networks_LH_DorsAttn_Post_2,-1.7755878242313068,0.08797702002318769,0.2665993351820098
7Networks_LH_DorsAttn_Post_3,-3.0261030001270273,0.005670620723980504,0.18902069079935016
7Networks_LH_DorsAttn_Post_4,-1.3950871999113352,0.17526110040095016,0.3436492164724513
7Networks_LH_DorsAttn_Post_5,-1.770560984573176,0.08882843284498673,0.2665993351820098
7Networks_LH_DorsAttn_Post_6,-0.6385536625922759,0.5289203281489878,0.6695194027202377
7Networks_LH_DorsAttn_PrCv_1,-1.8946172480626724,0.06976641935660358,0.2665993351820098
7Networks_LH_DorsAttn_FEF_1,-2.608354746477048,0.015133918107387383,0.21619883010553403
7Networks_LH_SalVentAttn_ParOper_1,-1.6954994421691156,0.10240177313281973,0.2665993351820098
7Networks_LH_SalVentAttn_FrOperIns_1,-0.8258530028390751,0.4166994059982858,0.5869005718285716
7Networks_LH_SalVentAttn_FrOperIns_2,-1.0864649616538071,0.2876383877202219,0.45656886939717756
7Networks_LH_SalVentAttn_PFCl_1,-1.254510041342944,0.22125918085294138,0.40228941973262067
7Networks_LH_SalVentAttn_Med_1,-1.1096857966012617,0.27769489221301225,0.44789498744034234
7Networks_LH_SalVentAttn_Med_2,-1.756385335714264,0.09126742281834403,0.2665993351820098
7Networks_LH_SalVentAttn_Med_3,-1.6348833008624915,0.11460430842601785,0.2665993351820098
7Networks_LH_Limbic_OFC_1,-0.5503647069470187,0.5869537193874792,0.6936280915740548
7Networks_LH_Limbic_TempPole_1,-0.7728242002123084,0.44687204288971727,0.6185581285899961
7Networks_LH_Limbic_TempPole_2,-0.5909590494633001,0.5598533389586753,0.6847188646648805
