,t,p,p_fdr
7Networks_LH_Vis_1,-2.822651670533089,0.009206478296393464,0.03409806776442024
7Networks_LH_Vis_2,2.318554105774387,0.028886582474260892,0.0687775773196688
7Networks_LH_Vis_3,2.4503135586976437,0.0216158623748763,0.06052649111182581
7Networks_LH_Vis_4,-0.5372445772121124,0.5958486382834272,0.6848834922798014
7Networks_LH_Vis_5,2.143206980229348,0.042016449398400844,0.0763935443607288
7Networks_LH_Vis_6,2.324487558776605,0.028516132588968773,0.0687775773196688
7Networks_LH_Vis_7,0.5716840186327432,0.5726407720745623,0.665861362877398
7Networks_LH_Vis_8,1.9764417361265945,0.059236344571542185,0.0971087615926921
7Networks_LH_Vis_9,2.368713013380714,0.025888855469954924,0.06638168069219211
7Networks_LH_SomMot_1,1.3480574036520154,0.18972861471368224,0.26722340100518627
7Networks_LH_SomMot_2,2.6573757492454733,0.013525331572930724,0.045084438576435744
7Networks_LH_SomMot_3,-0.2406180873277307,0.8118134257737539,0.8570255573545301
7Networks_LH_SomMot_4,1.9132970400127007,0.06722835186715129,0.1084328255921795
7Networks_LH_SomMot_5,1.980131109763202,0.05879635731394785,0.0971087615926921
7Networks_LH_SomMot_6,2.2380983097241236,0.03436172945712078,0.07458991497308873
7Networks_LH_DorsAttn_Post_1,-1.1957574912699436,0.24301030245763583,0.3157925402378598
7Networks_LH_DorsAttn_Post_2,-0.7672405169932864,0.45012422207076674,0.5295579083185491
7Networks_LH_DorsAttn_Post_3,-1.8001490405189728,0.08391672306571805,0.12910265087033546
7Networks_LH_DorsAttn_Post_4,3.0558000492829533,0.005278468609751132,0.02288271117056259
7Networks_LH_DorsAttn_Post_5,0.23753940730359227,0.8141742794868035,0.8570255573545301
7Networks_LH_DorsAttn_Post_6,1.7876604483889889,0.0859607082244237,0.13024349730973286
7Networks_LH_DorsAttn_PrCv_1,-2.1661462371098725,0.04003716488357592,0.0763935443607288
7Networks_LH_DorsAttn_FEF_1,-0.9179387909153974,0.36742248874942607,0.45862279121014005
