,t,p,p_fdr
7Networks_LH_Vis_1,0.8154961328096129,0.42249021019132404,0.022281926453671917
7Networks_LH_Vis_2,-0.01667833322701598,0.9868256262520059,0.17028636385570226
7Networks_LH_Vis_3,1.3278826250926106,0.1962142660791228,0.14459850788674572
7Networks_LH_Vis_4,-0.3942205976185628,0.6967609123227845,0.8123521183389617
7Networks_LH_Vis_5,-0.7332347302592236,0.4702355656244238,0.274012464834856
7Networks_LH_Vis_6,-2.239652272642174,0.03424762065260234,0.4882335607480179
7Networks_LH_Vis_7,-0.8293880729514558,0.4147342742419786,0.010300245699052447
7Networks_LH_Vis_8,0.3470611620047018,0.7314499932095326,0.010300245699052447
7Networks_LH_Vis_9,-0.8107518616589914,0.4251594877411088,0.45125016994655015
7Networks_LH_Vis_10,-0.6799103157699671,0.5028091577337843,
7Networks_LH_Vis_11,0.5061416427110338,0.6171916465897338,
7Networks_LH_Vis_12,-0.7519185004570417,0.45912119633353177,
7Networks_LH_Vis_13,-0.7103433362110062,0.4840655314012938,
7Networks_LH_Vis_14,-0.5946986158331374,0.5573895477462263,
7Networks_LH_SomMot_1,-0.04874203994082787,0.9615121931341604,0.03988313167866696
7Networks_LH_SomMot_2,-0.9747749237218072,0.3390102650190915,0.047826614572297935
7Networks_LH_SomMot_3,0.6069349260354667,0.5493670684261263,0.1689532320181896
7Networks_LH_SomMot_4,2.091635219755986,0.046790053948387485,0.010300245699052447
7Networks_LH_SomMot_5,1.4541084050572335,0.15835655363571519,0.015077168550706064
7Networks_LH_SomMot_6,-2.264148869277555,0.03249363429246654,0.04511685490439323
7Networks_LH_SomMot_7,-0.7912017532139853,0.4362687915288509,
7Networks_LH_SomMot_8,0.582032212831213,0.5657572944123055,
7Networks_LH_SomMot_9,-0.9224285582099876,0.3651222783583812,
7Networks_LH_SomMot_10,-2.668643032471738,0.013178948954317872,
7Networks_LH_SomMot_11,0.19432661043093288,0.8474906185162194,
7Networks_LH_SomMot_12,-1.2260888268671861,0.2315894245775195,
7Networks_LH_SomMot_13,-1.361221821229029,0.18558774258547747,
7Networks_LH_SomMot_14,1.391546263626341,0.17631910850180654,
7Networks_LH_SomMot_15,-1.2571852522879177,0.2203051410368284,
7Networks_LH_SomMot_16,-2.465762110270819,0.020884074324736247,
7Networks_LH_DorsAttn_Post_1,1.3719855451535112,0.18225496515762146,0.16425324161081545
7Networks_LH_DorsAttn_Post_2,1.4349002311653756,0.16370841639298858,0.2824761295510361
7Networks_LH_DorsAttn_Post_3,-0.5933137388650244,0.5583013125206673,0.4259467009542782
7Networks_LH_DorsAttn_Post_4,1.2008076626207338,0.24108008846450368,0.3859819348895734
7Networks_LH_DorsAttn_Post_5,0.03791021775994186,0.9700603736281078,0.32701905552500804
7Networks_LH_DorsAttn_Post_6,-1.0701192352462714,0.2947890702846768,0.29333634246702966
7Networks_LH_DorsAttn_Post_7,0.024727221088508184,0.9804688615177208,
7Networks_LH_DorsAttn_Post_8,-0.4629313954304464,0.6474180568970229,
7Networks_LH_DorsAttn_Post_9,0.5493856330978881,0.5876152345819773,
7Networks_LH_DorsAttn_Post_10,0.8337480336875258,0.4123186093478336,
7Networks_LH_DorsAttn_FEF_1,-0.10567627034344564,0.9166825727470209,0.11146410289238377
7Networks_LH_DorsAttn_FEF_2,0.4801957769873645,0.6352632482004194,
7Networks_LH_DorsAttn_PrCv_1,0.37952932717928983,0.7074996711885302,0.23174262206325846
7Networks_LH_SalVentAttn_ParOper_1,1.310770350285374,0.20184935436477003,0.9777913322819095
7Networks_LH_SalVentAttn_ParOper_2,1.8194763089862702,0.08083577352139636,
7Networks_LH_SalVentAttn_ParOper_3,1.1312292432100228,0.2686939351135993,
7Networks_LH_SalVentAttn_FrOperIns_1,2.318553652082021,0.028886610967347164,0.47865809128888315
