,t,p,p_fdr
7Networks_LH_Vis_1,-2.930542846981982,0.007130216465175013,0.022281926453671917
7Networks_LH_Vis_2,1.6292636848309394,0.11579472742187755,0.17028636385570226
7Networks_LH_Vis_3,1.7828513650825424,0.08675910473204743,0.14459850788674572
7Networks_LH_Vis_4,0.27183455528791195,0.7879815547887928,0.8123521183389617
7Networks_LH_Vis_5,1.3080121830659532,0.2027692239777934,0.274012464834856
7Networks_LH_Vis_6,0.7942450394549311,0.4345278690657359,0.4882335607480179
7Networks_LH_Vis_7,3.3627899385087527,0.002486630665037189,0.010300245699052447
7Networks_LH_Vis_8,3.4101392619578235,0.0022102672639005725,0.010300245699052447
7Networks_LH_Vis_9,0.8699808931573981,0.39258764785349864,0.45125016994655015
7Networks_LH_SomMot_1,2.598143922837884,0.015490727040492638,0.03988313167866696
7Networks_LH_SomMot_2,2.4831647872593066,0.02008717812036513,0.047826614572297935
7Networks_LH_SomMot_3,1.657974390412685,0.10981960081182324,0.1689532320181896
7Networks_LH_SomMot_4,3.467737029836274,0.0019141196476499913,0.010300245699052447
7Networks_LH_SomMot_5,3.1627185665804762,0.0040708355086906374,0.015077168550706064
7Networks_LH_SomMot_6,2.51986813434125,0.018497910510801224,0.04511685490439323
7Networks_LH_DorsAttn_Post_1,1.6984492758581038,0.10183700979870558,0.16425324161081545
7Networks_LH_DorsAttn_Post_2,1.2812683725107488,0.2118570971632771,0.2824761295510361
7Networks_LH_DorsAttn_Post_3,0.9308336596442217,0.3608418594311058,0.4259467009542782
7Networks_LH_DorsAttn_Post_4,1.0221383243222681,0.31650518660945015,0.3859819348895734
7Networks_LH_DorsAttn_Post_5,-1.1648499927151026,0.2550748633095063,0.32701905552500804
7Networks_LH_DorsAttn_Post_6,1.2417058047135476,0.22586898369961284,0.29333634246702966
7Networks_LH_DorsAttn_PrCv_1,-1.4238891199255477,0.16684100447251998,0.23174262206325846
7Networks_LH_DorsAttn_FEF_1,1.9708967459318922,0.05990307937352867,0.11146410289238377
7Networks_LH_SalVentAttn_ParOper_1,0.028117955931730648,0.9777913322819095,0.9777913322819095
7Networks_LH_SalVentAttn_FrOperIns_1,0.8177618650175427,0.42121912033421716,0.47865809128888315
7Networks_LH_SalVentAttn_FrOperIns_2,0.6911950586677036,0.4958117607288829,0.5448480887130581
7Networks_LH_SalVentAttn_PFCl_1,-0.5511573617963841,0.5864184271528752,0.6305574485514787
7Networks_LH_SalVentAttn_Med_1,-0.10110376109926873,0.9202745944324009,0.9295702974064656
7Networks_LH_SalVentAttn_Med_2,0.5105558154839845,0.6141410311871074,0.653341522539476
7Networks_LH_SalVentAttn_Med_3,1.4276684101407568,0.16576047633774094,0.23174262206325846
7Networks_LH_Limbic_OFC_1,-4.100887705023957,0.0003822068418247305,0.0034746076529520954
7Networks_LH_Limbic_TempPole_1,-3.444028326654451,0.002031028292977758,0.010300245699052447
7Networks_LH_Limbic_TempPole_2,-3.9415545246266186,0.0005755990939298665,0.004111422099499046
7Networks_LH_Cont_Par_1,-3.5085036669524468,0.0017282322502146887,0.010300245699052447
7Networks_LH_Cont_PFCl_1,-2.316343588121767,0.02902571368695119,0.06175683763181104
7Networks_LH_Cont_pCun_1,-3.120377421240855,0.0045134062007798955,0.016119307859928197
7Networks_LH_Cont_Cing_1,-1.9182589225000177,0.06656786304445753,0.11887118400795986
7Networks_LH_Default_Temp_1,-3.9728319690927396,0.0005312309929266251,0.004086392253281731
7Networks_LH_Default_Temp_2,-3.355743055960005,0.0025305260492407724,0.010300245699052447
7Networks_LH_Default_Par_1,-0.5839338346516345,0.5644969602747589,0.6135836524725641
7Networks_LH_Default_Par_2,-3.190753433149729,0.003801097796091582,0.014619606908044544
7Networks_LH_Default_PFC_1,-2.893057016989799,0.007795236313409326,0.02235713196026899
7Networks_LH_Default_PFC_2,-4.184901766654218,0.000307767560475397,0.00307767560475397
7Networks_LH_Default_PFC_3,-1.6807878025148237,0.10525800446009975,0.16446563196890587
7Networks_LH_Default_PFC_4,-1.9594102251654648,0.06130525659081108,0.11146410289238377
7Networks_LH_Default_PFC_5,-4.855332886260677,5.4206860582210415e-05,0.00307767560475397
7Networks_LH_Default_PFC_6,-4.378354942928203,0.00018664276318886073,0.00307767560475397
7Networks_LH_Default_PFC_7,-3.3487134893407564,0.002575061424763112,0.010300245699052447
7Networks_LH_Default_pCunPCC_1,-2.570729124127124,0.016487906942137774,0.04121976735534443
7Networks_LH_Default_pCunPCC_2,-2.377246200917302,0.025408200876307078,0.05646266861401573
7Networks_RH_Vis_1,-1.85091785316879,0.07603183650955989,0.133389186858877
7Networks_RH_Vis_2,2.4561819654511403,0.021335135276554763,0.04961659366640643
7Networks_RH_Vis_3,2.9685169417580637,0.006511789686753,0.021005773183074197
7Networks_RH_Vis_4,1.6321514260081356,0.11518172746378497,0.17028636385570226
7Networks_RH_Vis_5,1.1430612702628626,0.2638417728547243,0.333976927664208
7Networks_RH_Vis_6,1.566855725032207,0.12972007235251906,0.1880001048587233
7Networks_RH_Vis_7,3.4944160755512375,0.0017903885474335236,0.010300245699052447
7Networks_RH_Vis_8,3.0504953929592467,0.005346558415141669,0.01843640832807472
7Networks_RH_SomMot_1,2.8914514814349888,0.007824996186094146,0.02235713196026899
7Networks_RH_SomMot_2,2.1588399466563803,0.040658286853177586,0.08297609561872978
7Networks_RH_SomMot_3,1.9598893738345728,0.061246194903639896,0.11146410289238377
7Networks_RH_SomMot_4,2.9059520108325594,0.007560086241697618,0.02235713196026899
7Networks_RH_SomMot_5,1.4238413856943182,0.16685468788554608,0.23174262206325846
7Networks_RH_SomMot_6,1.8114431166106888,0.08210431457527897,0.14155916306082583
7Networks_RH_SomMot_7,2.0811794734625404,0.0478149460008068,0.09375479608001334
7Networks_RH_SomMot_8,1.723164025427034,0.09720779614195059,0.15935704285565672
7Networks_RH_DorsAttn_Post_1,-0.7394425123143767,0.46652536115258303,0.5183615123917589
7Networks_RH_DorsAttn_Post_2,-0.11068741451545232,0.9127480475839428,0.9295702974064656
7Networks_RH_DorsAttn_Post_3,-1.7990669580267107,0.08409215954621088,0.1425290839766286
7Networks_RH_DorsAttn_Post_4,1.0239772257935933,0.31565286579941054,0.3859819348895734
7Networks_RH_DorsAttn_Post_5,0.3090470747731956,0.7598466441958871,0.7998385728377759
7Networks_RH_DorsAttn_PrCv_1,-0.9502392362352797,0.35108738747887147,0.4229968523841825
7Networks_RH_DorsAttn_FEF_1,2.3979307998742994,0.024276875078733565,0.05517471608803083
7Networks_RH_SalVentAttn_TempOccPar_1,-0.29491275267176614,0.7704957518140988,0.8025997414730196
7Networks_RH_SalVentAttn_TempOccPar_2,1.6310344860776447,0.115418505945229,0.17028636385570226
7Networks_RH_SalVentAttn_FrOperIns_1,0.8759549521595116,0.38939363030834706,0.45125016994655015
7Networks_RH_SalVentAttn_Med_1,0.9284454196727762,0.3620546958111365,0.4259467009542782
7Networks_RH_SalVentAttn_Med_2,1.3985227577170993,0.17423938738423048,0.23868409230716503
7Networks_RH_Limbic_OFC_1,-4.316910981040613,0.0002188134317311365,0.00307767560475397
7Networks_RH_Limbic_TempPole_1,-3.530870180056437,0.0016338435228819249,0.010300245699052447
7Networks_RH_Cont_Par_1,-4.224418390780764,0.0002779155499681771,0.00307767560475397
7Networks_RH_Cont_Par_2,-4.555328033778464,0.00011799240771289046,0.00307767560475397
7Networks_RH_Cont_PFCl_1,-2.6653194447026953,0.013280249563602622,0.0368895821211184
7Networks_RH_Cont_PFCl_2,-2.6147816659492724,0.014913284923845504,0.03988313167866696
7Networks_RH_Cont_PFCl_3,-1.2496168581819453,0.2230123206974537,0.29333634246702966
7Networks_RH_Cont_PFCl_4,-4.276534415756606,0.0002428978636674942,0.00307767560475397
7Networks_RH_Cont_Cing_1,-1.6817088351157354,0.10507724028780716,0.16446563196890587
7Networks_RH_Cont_PFCmp_1,-1.025311467039062,0.3150354541434803,0.3859819348895734
7Networks_RH_Cont_pCun_1,-3.0082130210153393,0.005920145146208185,0.019733817154027285
7Networks_RH_Default_Par_1,-3.3836190987242376,0.002361157723510973,0.010300245699052447
7Networks_RH_Default_Temp_1,-4.2181746836222,0.0002824335402221961,0.00307767560475397
7Networks_RH_Default_Temp_2,-2.352042712767154,0.026851981508908565,0.0583738728454534
7Networks_RH_Default_Temp_3,-2.0867904226724514,0.04726248843064128,0.09375479608001334
7Networks_RH_Default_PFCv_1,-3.4276614058696677,0.0021157548217535247,0.010300245699052447
7Networks_RH_Default_PFCv_2,-4.292193137671359,0.00023325971895277412,0.00307767560475397
7Networks_RH_Default_PFCdPFCm_1,-2.0401824337053047,0.05202910774851231,0.10005597643944675
7Networks_RH_Default_PFCdPFCm_2,-4.787564058015976,6.46148733921131e-05,0.00307767560475397
7Networks_RH_Default_PFCdPFCm_3,-4.015966584856955,0.00047553359815719233,0.003962779984643269
7Networks_RH_Default_pCunPCC_1,-2.2183157389161243,0.03584477817697832,0.07467662120203818
7Networks_RH_Default_pCunPCC_2,-2.596344298951365,0.015554421354680114,0.03988313167866696
