,t,p,p_fdr
7Networks_LH_Vis_1,-1.4598796829354297,0.1447435531757759,0.21930841390269074
7Networks_LH_Vis_2,1.6341420277159115,0.10265036929609714,0.16556511176789862
7Networks_LH_Vis_3,0.684522759510726,0.4938574397534774,0.5742528369226482
7Networks_LH_Vis_4,1.0409176612053317,0.2982505401981175,0.3976673869308233
7Networks_LH_Vis_5,0.3574039799907776,0.7208903481504022,0.7835764653808719
7Networks_LH_Vis_6,0.8583027329187178,0.3910006309606552,0.48875078870081895
7Networks_LH_Vis_7,2.754350537196412,0.006023911305238025,0.018824722828868826
7Networks_LH_Vis_8,2.405634048728365,0.016386499410972002,0.04312236687097895
7Networks_LH_Vis_9,0.8271045383609591,0.408441938428032,0.49767545907887356
7Networks_LH_SomMot_1,3.442316360810205,0.0006088626537913221,0.0033825702988406784
7Networks_LH_SomMot_2,0.5360772160896401,0.5920647724753374,0.6652413173880195
7Networks_LH_SomMot_3,2.951582382309313,0.0032605061517257416,0.012540408275868236
7Networks_LH_SomMot_4,4.3636996981214295,1.4587920050339674e-05,0.00024313200083899458
7Networks_LH_SomMot_5,3.5266122536254785,0.0004466079432191235,0.002627105548347785
7Networks_LH_SomMot_6,3.637985294264294,0.00029367765062666143,0.0021550902498249365
7Networks_LH_DorsAttn_Post_1,1.1879502982783383,0.23523055979178628,0.3313106475940652
7Networks_LH_DorsAttn_Post_2,3.987468397009266,7.334478447910976e-05,0.0006667707679919068
7Networks_LH_DorsAttn_Post_3,1.7855642990656866,0.07457542395211497,0.12857831715881893
7Networks_LH_DorsAttn_Post_4,2.3505361987528346,0.019005522972745333,0.045697000106177894
7Networks_LH_DorsAttn_Post_5,0.22659878542420803,0.8207977291113595,0.8461832258879995
7Networks_LH_DorsAttn_Post_6,2.009623657382513,0.04483020795329548,0.08621193837172207
7Networks_LH_DorsAttn_PrCv_1,1.1922460395677075,0.23354338570042354,0.3313106475940652
7Networks_LH_DorsAttn_FEF_1,5.630594290410476,2.5425835963282448e-08,1.2712917981641223e-06
7Networks_LH_SalVentAttn_ParOper_1,1.8285316978981605,0.06786839993255299,0.12119357130813033
7Networks_LH_SalVentAttn_FrOperIns_1,3.050229396700228,0.0023675194213905746,0.01029356270169815
7Networks_LH_SalVentAttn_FrOperIns_2,0.8189596380728706,0.41307063103546504,0.49767545907887356
7Networks_LH_SalVentAttn_PFCl_1,-2.094991385932451,0.03650796934480616,0.07301593868961231
7Networks_LH_SalVentAttn_Med_1,0.6601577604441003,0.5093560948941461,0.5854667757403978
7Networks_LH_SalVentAttn_Med_2,2.7959647554289995,0.005307407620277725,0.01715450280513997
7Networks_LH_SalVentAttn_Med_3,4.603720947642167,4.876485496021811e-06,0.00016254951653406038
7Networks_LH_Limbic_OFC_1,-2.5361225254933384,0.011411376339543946,0.031698267609844295
7Networks_LH_Limbic_TempPole_1,-0.2776029179343064,0.7813940012114936,0.8312702140547805
7Networks_LH_Limbic_TempPole_2,-2.3659831372226607,0.018236606813659975,0.045697000106177894
7Networks_LH_Cont_Par_1,-1.4907150426943094,0.13645844972917956,0.2099360765064301
7Networks_LH_Cont_PFCl_1,-3.306058853412357,0.0009913879580419065,0.004720895038294793
7Networks_LH_Cont_pCun_1,-1.30224463430602,0.1932341429881053,0.2841678573354489
7Networks_LH_Cont_Cing_1,0.20098672758211567,0.8407636636660081,0.857922105781641
7Networks_LH_Default_Temp_1,1.6761241174327617,0.09413232297237159,0.1543152835612649
7Networks_LH_Default_Temp_2,-3.6318449907849044,0.0003006308110102776,0.0021550902498249365
7Networks_LH_Default_Par_1,-3.1870070216078177,0.0014973792104395144,0.006806269138361429
7Networks_LH_Default_Par_2,2.2994367171083865,0.02175516001309248,0.049197964290370946
7Networks_LH_Default_PFC_1,-2.281357371815037,0.022807914666914272,0.04958242318894407
7Networks_LH_Default_PFC_2,-3.412397931662927,0.0006786188237827864,0.0035716780199094023
7Networks_LH_Default_PFC_3,-1.3743705686098024,0.16973884408787152,0.25334155834010674
7Networks_LH_Default_PFC_4,-2.984736308250517,0.002930844364953282,0.012211851520638676
7Networks_LH_Default_PFC_5,-2.3470200407960986,0.01918446785500417,0.045697000106177894
7Networks_LH_Default_PFC_6,-2.9545027137759123,0.0032301636325129178,0.012540408275868236
7Networks_LH_Default_PFC_7,-4.162984729820512,3.507194153251733e-05,0.0004380700189106853
7Networks_LH_Default_pCunPCC_1,0.2477839419089436,0.8043696729995264,0.8378850760411735
7Networks_LH_Default_pCunPCC_2,-1.0148165369008675,0.31052186476855786,0.40858140101126034
7Networks_RH_Vis_1,1.6771674241788679,0.09392809965389735,0.1543152835612649
7Networks_RH_Vis_2,0.790866826925085,0.42927272423350393,0.511038957420838
7Networks_RH_Vis_3,3.3522904531855433,0.0008418108984982471,0.004209054492491235
7Networks_RH_Vis_4,1.2214924877096238,0.2222849591370141,0.3221521146913248
7Networks_RH_Vis_5,0.6952379499072249,0.48712239985937267,0.5730851763051443
7Networks_RH_Vis_6,0.8319458144443493,0.40570539937984573,0.49767545907887356
7Networks_RH_Vis_7,2.7144459235032112,0.0067918296676237125,0.02058130202310216
7Networks_RH_Vis_8,1.0872710383834259,0.2772677381987512,0.38509408083159896
7Networks_RH_SomMot_1,1.8424330852510966,0.06580795682963496,0.11965083059933627
7Networks_RH_SomMot_2,1.078042656278062,0.28136271396155843,0.38542837528980606
7Networks_RH_SomMot_3,3.5348174097149703,0.0004331897564459523,0.002627105548347785
7Networks_RH_SomMot_4,3.630901639875182,0.0003017126349754911,0.0021550902498249365
7Networks_RH_SomMot_5,2.168974247425337,0.030399430467954958,0.0633321468082395
7Networks_RH_SomMot_6,2.2513161055710014,0.024655393001795246,0.05245828298254308
7Networks_RH_SomMot_7,2.0554979412214975,0.04017804038125068,0.07878047133578565
7Networks_RH_SomMot_8,4.307884737198605,1.868481953443618e-05,0.00026692599334908826
7Networks_RH_DorsAttn_Post_1,-0.2650069286766699,0.7910772325622513,0.8327128763813172
7Networks_RH_DorsAttn_Post_2,2.7979911146199226,0.005274573787996588,0.01715450280513997
7Networks_RH_DorsAttn_Post_3,-1.57111730845582,0.11657885080757972,0.1821544543868433
7Networks_RH_DorsAttn_Post_4,0.313627062043082,0.7538918582963665,0.8106364067702865
7Networks_RH_DorsAttn_Post_5,2.1573188189920063,0.031299071137166866,0.06387565538197319
7Networks_RH_DorsAttn_PrCv_1,-0.862707952585016,0.38857493818323907,0.48875078870081895
7Networks_RH_DorsAttn_FEF_1,4.486187557112603,8.39261279294478e-06,0.00020981531982361952
7Networks_RH_SalVentAttn_TempOccPar_1,-2.342073755094935,0.019438692392670924,0.045697000106177894
7Networks_RH_SalVentAttn_TempOccPar_2,1.994941750768671,0.046412117166226924,0.0875700323891074
7Networks_RH_SalVentAttn_FrOperIns_1,0.4136758716924234,0.6792302352735062,0.7464068519489079
7Networks_RH_SalVentAttn_Med_1,3.574528499658501,0.00037341375558533373,0.0024894250372355584
7Networks_RH_SalVentAttn_Med_2,4.364378395436913,1.4543833196768403e-05,0.00024313200083899458
7Networks_RH_Limbic_OFC_1,-2.5488749789368677,0.011005991778717191,0.03144569079633484
7Networks_RH_Limbic_TempPole_1,0.0409988284982778,0.9673077850546876,0.9673077850546876
7Networks_RH_Cont_Par_1,-2.5023344960647553,0.012550375148391186,0.033919932833489694
7Networks_RH_Cont_Par_2,-2.5816811293981736,0.010021437060153553,0.029474814882804568
7Networks_RH_Cont_PFCl_1,-2.929130002177966,0.0035026197990492983,0.012972665922404808
7Networks_RH_Cont_PFCl_2,-4.12102081458452,4.194186128543404e-05,0.0004380700189106853
7Networks_RH_Cont_PFCl_3,-2.7953198575582867,0.005317895869593391,0.01715450280513997
7Networks_RH_Cont_PFCl_4,-1.6786133860235557,0.09364564694449114,0.1543152835612649
7Networks_RH_Cont_Cing_1,0.13922978933203362,0.8893060965137652,0.8982889863775406
7Networks_RH_Cont_PFCmp_1,-0.6466300688243646,0.5180700164330598,0.5887159277648407
7Networks_RH_Cont_pCun_1,-0.8687289912636226,0.38527439978470623,0.48875078870081895
7Networks_RH_Default_Par_1,-6.364774692963149,3.411160065608016e-10,3.411160065608016e-08
7Networks_RH_Default_Temp_1,-1.7876544764706597,0.0742370470882532,0.12857831715881893
7Networks_RH_Default_Temp_2,-1.6194076704482976,0.10578165204380621,0.1679073841965178
7Networks_RH_Default_Temp_3,-1.929867045046838,0.05400164890308331,0.10000305352422835
7Networks_RH_Default_PFCv_1,-1.0560903494775058,0.29126836574498,0.3936058996553784
7Networks_RH_Default_PFCv_2,-2.3380109474924513,0.019649710045656493,0.045697000106177894
7Networks_RH_Default_PFCdPFCm_1,-2.29275686797694,0.022139083930666926,0.049197964290370946
7Networks_RH_Default_PFCdPFCm_2,-2.79585961087989,0.005309116352663181,0.01715450280513997
7Networks_RH_Default_PFCdPFCm_3,-4.110758190669476,4.380700189106853e-05,0.0004380700189106853
7Networks_RH_Default_pCunPCC_1,0.45300106147586017,0.6506795221265471,0.7229772468072746
7Networks_RH_Default_pCunPCC_2,-0.9589340390901003,0.3379022375845012,0.43883407478506653
