,t,p,p_fdr
7Networks_LH_Vis_1,0.7485717044820959,0.4543510166323971,0.5105067602611203
7Networks_LH_Vis_2,2.2174079982341635,0.026895457460408452,0.045585521119336364
7Networks_LH_Vis_3,1.9696379240746777,0.04924897513687476,0.07817297640773771
7Networks_LH_Vis_4,1.2197248909447496,0.22295413911438097,0.2822204292587101
7Networks_LH_Vis_5,-0.4570512568841217,0.647767085858798,0.6891139211263809
7Networks_LH_Vis_6,0.6291680243927235,0.5294314158519562,0.5817927646724793
7Networks_LH_Vis_7,4.799148396256664,1.9247224655117392e-06,1.9247224655117392e-05
7Networks_LH_Vis_8,4.091505571224048,4.7520646976342325e-05,0.00029700404360213955
7Networks_LH_Vis_9,1.4435129532799504,0.1492952532260078,0.1990603376346771
7Networks_LH_SomMot_1,4.484959742322378,8.439805870888983e-06,7.033171559074153e-05
7Networks_LH_SomMot_2,4.859365051560725,1.435601163596621e-06,1.5951124039962455e-05
7Networks_LH_SomMot_3,3.5680419674266846,0.00038261833848977987,0.001470669047870925
7Networks_LH_SomMot_4,5.464620348646429,6.325253918284814e-08,1.2650507836569628e-06
7Networks_LH_SomMot_5,3.8717564826955084,0.00011751472382359583,0.000618498546439978
7Networks_LH_SomMot_6,5.15022299316258,3.331476148976673e-07,4.759251641395247e-06
7Networks_LH_DorsAttn_Post_1,3.665130813521345,0.0002647086211407236,0.0011509070484379286
7Networks_LH_DorsAttn_Post_2,3.5581396792342743,0.0003970806429251498,0.001470669047870925
7Networks_LH_DorsAttn_Post_3,3.207089658592686,0.0013980012749837114,0.0034950031874592786
7Networks_LH_DorsAttn_Post_4,3.460652321785192,0.0005694788445054838,0.0018982628150182794
7Networks_LH_DorsAttn_Post_5,0.4229186172338521,0.6724763572297807,0.7078698497155587
7Networks_LH_DorsAttn_Post_6,2.546093988237203,0.011093286367633423,0.020169611577515314
7Networks_LH_DorsAttn_PrCv_1,1.3823886622023318,0.16726555758078834,0.21880369537601924
7Networks_LH_DorsAttn_FEF_1,5.698188622520583,1.7424189867700477e-08,4.356047466925119e-07
7Networks_LH_SalVentAttn_ParOper_1,1.5938724046777035,0.11138761739054248,0.15688396815569364
7Networks_LH_SalVentAttn_FrOperIns_1,3.1592649140030185,0.001645407287661754,0.0040131885064920835
7Networks_LH_SalVentAttn_FrOperIns_2,1.0913269066291176,0.2754809318371242,0.33595235589893196
7Networks_LH_SalVentAttn_PFCl_1,-0.9430443330853097,0.34596311806864743,0.40960955296006707
7Networks_LH_SalVentAttn_Med_1,1.3784442701655535,0.1684788454395348,0.21880369537601924
7Networks_LH_SalVentAttn_Med_2,2.8367450394314746,0.004681001168504807,0.009752085767718348
7Networks_LH_SalVentAttn_Med_3,4.513912039280475,7.391867247148311e-06,6.719879315589374e-05
7Networks_LH_Limbic_OFC_1,-1.7613580686518666,0.07858688090604202,0.11556894250888532
7Networks_LH_Limbic_TempPole_1,0.28296887457327546,0.7772790913347242,0.8013186508605404
7Networks_LH_Limbic_TempPole_2,-1.9497542535390906,0.051579212474832895,0.08059251949192639
7Networks_LH_Cont_Par_1,-2.714804091551406,0.0067845620453921805,0.013303062834102314
7Networks_LH_Cont_PFCl_1,-2.588510736455456,0.00982664139395092,0.01854083281877532
7Networks_LH_Cont_pCun_1,-1.5042202042285173,0.1329473421598177,0.17965857048624015
7Networks_LH_Cont_Cing_1,0.4985426089402137,0.6182484039214203,0.6647832300230326
7Networks_LH_Default_Temp_1,-1.7942383801821131,0.07317939420454354,0.10922297642469185
7Networks_LH_Default_Temp_2,-1.1880907682033703,0.23517525314959756,0.29396906643699694
7Networks_LH_Default_Par_1,1.8676834352595701,0.06219758407764296,0.09423876375400449
7Networks_LH_Default_Par_2,-3.92467428102934,9.486595599838218e-05,0.000527033088879901
7Networks_LH_Default_PFC_1,-0.8182878394850203,0.4134537946096274,0.48076022629026444
7Networks_LH_Default_PFC_2,-3.3543741503598214,0.0008355908130773082,0.0023210855918814116
7Networks_LH_Default_PFC_3,-1.916479073276329,0.05568543855518519,0.08566990546951568
7Networks_LH_Default_PFC_4,-3.2077360186010844,0.0013949064211973632,0.0034950031874592786
7Networks_LH_Default_PFC_5,-3.4222322121840056,0.0006549078157342313,0.0020465869241694727
7Networks_LH_Default_PFC_6,-3.357853565323191,0.0008252994800964821,0.0023210855918814116
7Networks_LH_Default_PFC_7,-3.446467151903341,0.0005997309498715139,0.0019346159673274644
7Networks_LH_Default_pCunPCC_1,0.6861842891666075,0.4928098234945032,0.547566470549448
7Networks_LH_Default_pCunPCC_2,-2.0248051156247273,0.043242635085207225,0.07088956571345446
7Networks_RH_Vis_1,3.0716713475742563,0.002205886020492294,0.0052521095726007
7Networks_RH_Vis_2,3.302569159548757,0.0010036249092972782,0.0027124997548575087
7Networks_RH_Vis_3,6.435272119977269,2.201986444138156e-10,2.201986444138156e-08
7Networks_RH_Vis_4,0.7894300847727117,0.43011117238769836,0.4887626958951118
7Networks_RH_Vis_5,-0.3503000462390683,0.7262122814279452,0.756471126487443
7Networks_RH_Vis_6,2.94916768168043,0.0032857913888340137,0.007641375322869799
7Networks_RH_Vis_7,5.037957075463443,5.905993519743627e-07,7.382491899679534e-06
7Networks_RH_Vis_8,2.8734648730761116,0.004175181399973878,0.008883364680795485
7Networks_RH_SomMot_1,5.820584475424153,8.703105806246138e-09,2.901035268748713e-07
7Networks_RH_SomMot_2,4.071936985042168,5.1600569877668974e-05,0.00030353276398628804
7Networks_RH_SomMot_3,4.407640460336759,1.1981869427604066e-05,9.216822636618512e-05
7Networks_RH_SomMot_4,5.315437656663054,1.406298781122598e-07,2.343831301870997e-06
7Networks_RH_SomMot_5,3.7292094403391145,0.00020661727886216172,0.0009405590645720716
7Networks_RH_SomMot_6,2.933700090329053,0.003452048841446245,0.007671219647658322
7Networks_RH_SomMot_7,2.892733825049849,0.003930115998227345,0.00854373043092901
7Networks_RH_SomMot_8,4.308931230377105,1.8598779954275163e-05,0.00013284842824482258
7Networks_RH_DorsAttn_Post_1,2.3893701017282636,0.017124387468325016,0.030579263336294668
7Networks_RH_DorsAttn_Post_2,2.941583128669287,0.0033663805039505176,0.007650864781705722
7Networks_RH_DorsAttn_Post_3,1.520354830274862,0.12884496225437655,0.17649994829366653
7Networks_RH_DorsAttn_Post_4,3.5861619549782167,0.00035742303077460313,0.001470669047870925
7Networks_RH_DorsAttn_Post_5,1.5988006380158528,0.11028776437577953,0.15688396815569364
7Networks_RH_DorsAttn_PrCv_1,2.104423159715046,0.03567509900256191,0.05945849833760319
7Networks_RH_DorsAttn_FEF_1,6.268063090645851,6.176799112865213e-10,3.088399556432607e-08
7Networks_RH_SalVentAttn_TempOccPar_1,2.7607414642849006,0.005908483338657844,0.012058129262567028
7Networks_RH_SalVentAttn_TempOccPar_2,3.5262751381136197,0.0004471674672645692,0.0015419567836709284
7Networks_RH_SalVentAttn_FrOperIns_1,2.294454286108063,0.022040969492432724,0.03866836753058373
7Networks_RH_SalVentAttn_Med_1,3.842510822237184,0.00013213405287549945,0.0006606702643774972
7Networks_RH_SalVentAttn_Med_2,4.280861901391885,2.104275095659401e-05,0.00014028500637729342
7Networks_RH_Limbic_OFC_1,-1.6270040399776262,0.10415795263764925,0.15095355454731776
7Networks_RH_Limbic_TempPole_1,0.2511831371120541,0.8017416000973945,0.8181036735687699
7Networks_RH_Cont_Par_1,-2.7151022395129276,0.006778517638288536,0.013303062834102314
7Networks_RH_Cont_Par_2,-3.388919096332033,0.0007384990247923943,0.002237875832704225
7Networks_RH_Cont_PFCl_1,-3.559151630960592,0.00039557954023647016,0.001470669047870925
7Networks_RH_Cont_PFCl_2,-1.9737698644774315,0.04877601292185995,0.07817297640773771
7Networks_RH_Cont_PFCl_3,-1.318914961159158,0.1876017161903063,0.24051502075680295
7Networks_RH_Cont_PFCl_4,-3.3765296210637716,0.0007720446825584135,0.002270719654583569
7Networks_RH_Cont_Cing_1,0.614724547857509,0.5389238410725607,0.5857867837745225
7Networks_RH_Cont_PFCmp_1,0.0322354389727017,0.974292905484371,0.974292905484371
7Networks_RH_Cont_pCun_1,-1.1472349215255666,0.25165184550533876,0.31068129074733175
7Networks_RH_Default_Par_1,-3.7288298399980757,0.00020692299420585575,0.0009405590645720716
7Networks_RH_Default_Temp_1,-2.578136785744502,0.01012388181081751,0.018747929279291684
7Networks_RH_Default_Temp_2,-0.04391930613287233,0.9649804631605984,0.974292905484371
7Networks_RH_Default_Temp_3,0.9387391345499586,0.348168120016057,0.40960955296006707
7Networks_RH_Default_PFCv_1,-0.8017628235652504,0.4229451357351559,0.4861438341783401
7Networks_RH_Default_PFCv_2,-2.6670340806887602,0.007818056329646907,0.015034723710859437
7Networks_RH_Default_PFCdPFCm_1,-2.2664441476164883,0.02370941558788219,0.04087830273772791
7Networks_RH_Default_PFCdPFCm_2,-3.527632239839685,0.0004449190163315192,0.0015419567836709284
7Networks_RH_Default_PFCdPFCm_3,-3.2718801579489694,0.0011174326636806378,0.0029406122728437836
7Networks_RH_Default_pCunPCC_1,1.0366093336483928,0.30025340106600157,0.3617510856216887
7Networks_RH_Default_pCunPCC_2,-1.560010568079837,0.11918091905085729,0.1655290542373018
