,t,p,p_fdr
7Networks_LH_Vis_1,-1.8746110983682047,0.0612378322436773,0.1155430797050515
7Networks_LH_Vis_2,2.4700322091563387,0.01373702739678742,0.02922771786550515
7Networks_LH_Vis_3,-0.3073712628007765,0.7586483452869855,0.8429426058744284
7Networks_LH_Vis_4,-0.31325474897068045,0.7541761173731814,0.8429426058744284
7Networks_LH_Vis_5,-0.7997563914539308,0.4241146318304383,0.5368539643423269
7Networks_LH_Vis_6,1.4025999111343983,0.16116014235023673,0.25580974976228055
7Networks_LH_Vis_7,-1.3494078499521744,0.1776198113135791,0.27753095517746734
7Networks_LH_Vis_8,0.7223028938155548,0.4703402255120116,0.5774637260598877
7Networks_LH_Vis_9,-1.0683638222353682,0.2857110431242117,0.3925507723646473
7Networks_LH_SomMot_1,0.9566546049995147,0.3390578853726218,0.4520771804968291
7Networks_LH_SomMot_2,0.4218728842040548,0.6732425213926823,0.7650483197644117
7Networks_LH_SomMot_3,0.20630703897845404,0.8366082139231856,0.9001158756372094
7Networks_LH_SomMot_4,-1.3212264161179617,0.1868353590992423,0.28743901399883426
7Networks_LH_SomMot_5,0.5774808470573753,0.5637924906024612,0.6632852830617191
7Networks_LH_SomMot_6,-0.8679639553725842,0.3856954490548429,0.4944813449421062
7Networks_LH_DorsAttn_Post_1,-2.30839116536558,0.021255589659088636,0.04428247845643466
7Networks_LH_DorsAttn_Post_2,-2.81236822651675,0.005049326745980226,0.012315431087756649
7Networks_LH_DorsAttn_Post_3,0.5335544951666433,0.5938100162526381,0.6904767630844629
7Networks_LH_DorsAttn_Post_4,0.12575200038869372,0.8999622107476227,0.9277960935542503
7Networks_LH_DorsAttn_Post_5,-2.9803082163423498,0.002975364059766894,0.008041524485856471
7Networks_LH_DorsAttn_Post_6,-0.07130794153076327,0.9431721257225036,0.9624205364515344
7Networks_LH_DorsAttn_PrCv_1,0.15388060983503843,0.8777456583289442,0.923942798240994
7Networks_LH_DorsAttn_FEF_1,-0.26374294020227085,0.7920513324777799,0.870386079645912
7Networks_LH_SalVentAttn_ParOper_1,-5.306711501149328,1.477027151599653e-07,1.8462839394995664e-06
7Networks_LH_SalVentAttn_FrOperIns_1,-0.6199417617880059,0.5354893236294502,0.6374872900350598
7Networks_LH_SalVentAttn_FrOperIns_2,0.1941537524403726,0.8461089230989768,0.9001158756372094
7Networks_LH_SalVentAttn_PFCl_1,-3.151565698435729,0.001689707945189483,0.004827736986255666
7Networks_LH_SalVentAttn_Med_1,-2.076961485772426,0.0381538280957063,0.0748114276386398
7Networks_LH_SalVentAttn_Med_2,0.7383669714560017,0.4605278136852531,0.5756597671065663
7Networks_LH_SalVentAttn_Med_3,-1.1440479955862468,0.25297216884373935,0.36138881263391337
7Networks_LH_Limbic_OFC_1,-4.739910267611929,2.568933289137214e-06,1.6055833057107585e-05
7Networks_LH_Limbic_TempPole_1,-4.493398923856102,8.144578561877708e-06,4.524765867709838e-05
7Networks_LH_Limbic_TempPole_2,-2.606010649293464,0.009343833858699122,0.020917811616619913
7Networks_LH_Cont_Par_1,-4.17047572501878,3.399418943151548e-05,0.00014780082361528468
7Networks_LH_Cont_PFCl_1,-1.2672391749893308,0.20546628957619195,0.3113125599639272
7Networks_LH_Cont_pCun_1,-7.005546124047987,5.537376712282376e-12,2.7686883561411877e-10
7Networks_LH_Cont_Cing_1,-1.4564439392605295,0.1457034571742776,0.23885812651520918
7Networks_LH_Default_Temp_1,-3.1897672236178973,0.0014840781962459839,0.004364935871311717
7Networks_LH_Default_Temp_2,-3.7490312200568763,0.00019128813715639704,0.0007084745820607298
7Networks_LH_Default_Par_1,-4.882280411149855,1.2846746186055167e-06,1.0204020108203362e-05
7Networks_LH_Default_Par_2,-4.645962727969701,4.0045379102812234e-06,2.355610535459543e-05
7Networks_LH_Default_PFC_1,-1.9559171952717567,0.05084927053267505,0.09778705871668279
7Networks_LH_Default_PFC_2,-2.851139143879708,0.004478417190780068,0.011483121002000175
7Networks_LH_Default_PFC_3,-5.268843217851298,1.8068948025904626e-07,2.007660891767181e-06
7Networks_LH_Default_PFC_4,-3.217716274421184,0.0013492310658386037,0.004088578987389708
7Networks_LH_Default_PFC_5,-3.6172745605527634,0.0003183744547831474,0.0010270143702682175
7Networks_LH_Default_PFC_6,-4.101080268087542,4.568223494070791e-05,0.00018272893976283163
7Networks_LH_Default_PFC_7,-5.1938165566151975,2.665791457465672e-07,2.665791457465672e-06
7Networks_LH_Default_pCunPCC_1,-3.4410610879458754,0.0006122755230691902,0.0019133610095912192
7Networks_LH_Default_pCunPCC_2,-3.064045769918439,0.0022634649043649733,0.006287402512124926
7Networks_RH_Vis_1,0.19836961197258848,0.8428103746339461,0.9001158756372094
7Networks_RH_Vis_2,-0.8855299213814349,0.3761589340552707,0.4944813449421062
7Networks_RH_Vis_3,1.6601947628403022,0.09730122623409215,0.17070390567384588
7Networks_RH_Vis_4,1.1070957846850131,0.26861718379064237,0.3783340616769611
7Networks_RH_Vis_5,-0.051792336727101346,0.9587082340621409,0.9661928659340961
7Networks_RH_Vis_6,1.1690359731014512,0.24276710365274295,0.3518363821054246
7Networks_RH_Vis_7,-1.4680889446616514,0.14250786587097297,0.23751310978495496
7Networks_RH_Vis_8,-0.4944404852787156,0.6211440891551618,0.7139587231668527
7Networks_RH_SomMot_1,-0.6741032486966493,0.5004590707315592,0.6029627358211557
7Networks_RH_SomMot_2,1.4122539057552188,0.15831090319937538,0.2553401664506055
7Networks_RH_SomMot_3,0.13847840732469624,0.8899003155126729,0.926979495325701
7Networks_RH_SomMot_4,-0.04239808969744711,0.9661928659340961,0.9661928659340961
7Networks_RH_SomMot_5,-1.7595059756420777,0.07890988048699507,0.14347250997635466
7Networks_RH_SomMot_6,0.7171411130207663,0.4735202553691079,0.5774637260598877
7Networks_RH_SomMot_7,-1.5709728956874702,0.11662106971450373,0.1976628300245826
7Networks_RH_SomMot_8,2.8123257996159285,0.005049088977569878,0.012315431087756649
7Networks_RH_DorsAttn_Post_1,-4.230535524840776,2.6218707358577178e-05,0.00011917594253898718
7Networks_RH_DorsAttn_Post_2,2.5609371983506564,0.01063841910079011,0.02312699804519589
7Networks_RH_DorsAttn_Post_3,-5.469218273796382,6.182130347696376e-08,8.831614782423393e-07
7Networks_RH_DorsAttn_Post_4,-4.130037469239852,4.0405963174039525e-05,0.00016835817989183137
7Networks_RH_DorsAttn_Post_5,-2.7913844236582523,0.00538488189128666,0.012821147360206335
7Networks_RH_DorsAttn_PrCv_1,-2.606140908633576,0.009342826884615692,0.020917811616619913
7Networks_RH_DorsAttn_FEF_1,-2.9476016061013404,0.0033035126467733738,0.008693454333614141
7Networks_RH_SalVentAttn_TempOccPar_1,-4.407484343819356,1.200115542888778e-05,6.00057771444389e-05
7Networks_RH_SalVentAttn_TempOccPar_2,-4.795854843879807,1.96156257667967e-06,1.3588625226092147e-05
7Networks_RH_SalVentAttn_FrOperIns_1,1.0664738682282853,0.28656206382619254,0.3925507723646473
7Networks_RH_SalVentAttn_Med_1,-1.6258145031863565,0.10441488335387657,0.18002566095495962
7Networks_RH_SalVentAttn_Med_2,-0.9666921181216345,0.33401421432122214,0.4513705598935434
7Networks_RH_Limbic_OFC_1,-2.603589981276836,0.009413015227478961,0.020917811616619913
7Networks_RH_Limbic_TempPole_1,-1.20506444460704,0.22856892599719927,0.336130773525293
7Networks_RH_Cont_Par_1,-7.160333167637432,1.9469362621757715e-12,1.9469362621757716e-10
7Networks_RH_Cont_Par_2,-4.903601793933983,1.1598441993063375e-06,1.0204020108203362e-05
7Networks_RH_Cont_PFCl_1,-6.42801675643904,2.324940976553141e-10,7.749803255177136e-09
7Networks_RH_Cont_PFCl_2,-4.024822883723913,6.28715901619189e-05,0.00024181380831507268
