,t,r,p,p_fdr,N
7Networks_LH_Vis_1,-1.0571606590187475,-0.03788402423010954,0.290780939678968,0.3983300543547507,750.0
7Networks_LH_Vis_2,2.3273080952866625,0.08378037879539797,0.020220326258289203,0.04126597195569225,738.0
7Networks_LH_Vis_3,-0.8313016495609904,-0.030027706314339084,0.4060743221263158,0.5013263236127355,737.0
7Networks_LH_Vis_4,-0.5504866611897509,-0.019885614725857998,0.5821528850180366,0.6848857470800431,740.0
7Networks_LH_Vis_5,-1.2764171755045792,-0.04633176709847485,0.20221736746549185,0.2973784815668998,729.0
7Networks_LH_Vis_6,1.1035730344390968,0.03980868944266075,0.2701405531482556,0.37519521270591055,738.0
7Networks_LH_Vis_7,-0.5161370701440391,-0.018593788842073564,0.6059130727695319,0.6971836259579499,744.0
7Networks_LH_Vis_8,0.04589209259914064,0.0016625213019901381,0.9634088249008355,0.9634088249008355,734.0
7Networks_LH_Vis_9,-1.970108374373296,-0.0711986986375808,0.04920456657938941,0.09111956773961001,733.0
7Networks_LH_SomMot_1,1.3062713589117458,0.04730483853327218,0.19187059389089858,0.2863740207326844,737.0
7Networks_LH_SomMot_2,4.366463260051557,0.15577165954989733,1.4458090588974625e-05,7.609521362618224e-05,733.0
7Networks_LH_SomMot_3,0.202521732982348,0.0073013850302145016,0.839564839071035,0.9027578914742311,741.0
7Networks_LH_SomMot_4,-1.449568484574491,-0.05208945875126213,0.1476031179791154,0.23429066345891333,744.0
7Networks_LH_SomMot_5,0.07293058576380364,0.002640315584532005,0.941881277743525,0.9587586847701434,737.0
7Networks_LH_SomMot_6,-1.1664799820755454,-0.04190652681852641,0.2437957137689791,0.343374244745041,746.0
7Networks_LH_DorsAttn_Post_1,-1.9919711720657425,-0.0718215647883582,0.04674530228089046,0.08819868354884992,737.0
7Networks_LH_DorsAttn_Post_2,-2.97103921437164,-0.10657854112317205,0.0030648588016127317,0.007662147004031829,739.0
7Networks_LH_DorsAttn_Post_3,1.2087359598524492,0.043448882421560496,0.22714986295929274,0.3244998042275611,746.0
7Networks_LH_DorsAttn_Post_4,0.16036858423688322,0.005750915248367424,0.8726342077014234,0.9117962395538112,750.0
7Networks_LH_DorsAttn_Post_5,-3.0758390654834855,-0.11058494414453235,0.002177471246391485,0.005900833406498255,735.0
7Networks_LH_DorsAttn_Post_6,-0.49870072308736596,-0.018054687442368305,0.6181396474369348,0.7024314175419714,739.0
7Networks_LH_DorsAttn_PrCv_1,0.08824709941646981,0.003164182290106229,0.9297040305662847,0.9584577634703966,749.0
7Networks_LH_DorsAttn_FEF_1,-0.18533335839539616,-0.006666417961522797,0.8530182230737227,0.9074661947592795,747.0
7Networks_LH_SalVentAttn_ParOper_1,-4.962764006426224,-0.17576604730360926,8.630539511718467e-07,7.192116259765389e-06,745.0
7Networks_LH_SalVentAttn_FrOperIns_1,-0.7192666500638858,-0.02609305842387684,0.47220619597028635,0.5689231276750438,737.0
7Networks_LH_SalVentAttn_FrOperIns_2,0.21307151979935607,0.007674170247634579,0.8313299421405886,0.9027578914742311,744.0
7Networks_LH_SalVentAttn_PFCl_1,-2.6454257761434823,-0.0949807707363622,0.008332452363094288,0.0189373917343052,743.0
7Networks_LH_SalVentAttn_Med_1,-0.5925055847229486,-0.02145698380090601,0.5536950623522545,0.6591607885145887,737.0
7Networks_LH_SalVentAttn_Med_2,1.752966781008197,0.06312350750456347,0.08002516039995705,0.13797441448268458,739.0
7Networks_LH_SalVentAttn_Med_3,-0.9837367139954657,-0.035297856418411246,0.3255647749136257,0.4229209100163645,749.0
7Networks_LH_Limbic_OFC_1,-5.253466076643576,-0.1866039488596933,1.9578408122199773e-07,2.4473010152749717e-06,739.0
7Networks_LH_Limbic_TempPole_1,-4.465757906259607,-0.15928593486166204,9.23663956346918e-06,5.3027805215439856e-05,738.0
7Networks_LH_Limbic_TempPole_2,-3.035003853080847,-0.10823680466992998,0.002489152611126453,0.006550401608227507,749.0
7Networks_LH_Cont_Par_1,-3.7923798826789605,-0.13506229290853794,0.00016134538926788897,0.0006722724552828708,747.0
7Networks_LH_Cont_PFCl_1,-1.0136570460138243,-0.03631877908724809,0.3110755132868848,0.4147673510491798,750.0
7Networks_LH_Cont_pCun_1,-6.9567283547720296,-0.2423886633331067,7.66407364643629e-12,2.7666661695534516e-10,746.0
7Networks_LH_Cont_Cing_1,-1.8596447985886715,-0.06749542032428922,0.06334064760103239,0.11112394315970596,730.0
7Networks_LH_Default_Temp_1,-3.603909941726629,-0.1286090482304908,0.00033448887670820313,0.0011946031311007254,744.0
7Networks_LH_Default_Temp_2,-2.253031000537521,-0.08057991363521606,0.024547314965946514,0.04813199012930689,750.0
7Networks_LH_Default_Par_1,-4.900649980261164,-0.17330357065608293,1.1732894433295833e-06,8.380638880925595e-06,748.0
