,t,p,p_fdr
7Networks_LH_Vis_1,5.429396968748147,7.688603304415168e-08,3.6612396687691276e-07
7Networks_LH_Vis_2,5.244532535188152,2.051503258728193e-07,8.919579385774752e-07
7Networks_LH_Vis_3,5.007289864607625,6.900775128436713e-07,2.8753229701819638e-06
7Networks_LH_Vis_4,4.143162633433458,3.8266581671192016e-05,0.00010933309048912005
7Networks_LH_Vis_5,1.7279522128193257,0.08441911662633925,0.10822963670043492
7Networks_LH_Vis_6,3.1658231270549693,0.0016098444939731237,0.0029811935073576364
7Networks_LH_Vis_7,6.485856136053354,1.6196093056944055e-10,3.2392186113888107e-09
7Networks_LH_Vis_8,6.187574378111242,1.013743361584741e-09,1.2671792019809263e-08
7Networks_LH_Vis_9,4.510809623863917,7.515869804064768e-06,2.4244741303434734e-05
7Networks_LH_SomMot_1,3.542014973817195,0.0004222809405953003,0.001003062682255988
7Networks_LH_SomMot_2,2.677419884685799,0.0075863125518032095,0.011853613362192515
7Networks_LH_SomMot_3,3.314081632960356,0.0009645748009233806,0.0018549515402372704
7Networks_LH_SomMot_4,5.487587191054262,5.6117062895000455e-08,3.1176146052778034e-07
7Networks_LH_SomMot_5,3.5389165079540623,0.00042721877829865744,0.001003062682255988
7Networks_LH_SomMot_6,5.442099722950355,7.173749670649314e-08,3.586874835324657e-07
7Networks_LH_DorsAttn_Post_1,5.88955384322119,5.881469819974467e-09,5.3467907454313334e-08
7Networks_LH_DorsAttn_Post_2,3.5386050761057293,0.0004275729724398287,0.001003062682255988
7Networks_LH_DorsAttn_Post_3,5.631066963213035,2.5440366461217545e-08,1.4964921447775025e-07
7Networks_LH_DorsAttn_Post_4,4.7069292355700885,3.0033935818354686e-06,1.0726405649412386e-05
7Networks_LH_DorsAttn_Post_5,2.321357415857759,0.020541272703560428,0.030207753975824158
7Networks_LH_DorsAttn_Post_6,3.5380220787585235,0.00042864388797197875,0.001003062682255988
7Networks_LH_DorsAttn_PrCv_1,6.1422667332176735,1.3283844973109774e-09,1.4759827747899749e-08
7Networks_LH_DorsAttn_FEF_1,7.062108256872833,3.786202090011274e-12,1.2620673633370914e-10
7Networks_LH_SalVentAttn_ParOper_1,3.3986434528283667,0.0007137715162251201,0.001487023992135667
7Networks_LH_SalVentAttn_FrOperIns_1,1.444723574593866,0.14896521664844886,0.17733954362910578
7Networks_LH_SalVentAttn_FrOperIns_2,0.5111299333503205,0.6094117189043224,0.6552814181766907
7Networks_LH_SalVentAttn_PFCl_1,1.1962184248923373,0.23199707181516702,0.2606708672080528
7Networks_LH_SalVentAttn_Med_1,0.345945437322315,0.729482717949256,0.7598778311971417
7Networks_LH_SalVentAttn_Med_2,3.629744279008268,0.0003034224909901314,0.0007984802394477142
7Networks_LH_SalVentAttn_Med_3,5.449104519618379,6.904590788075705e-08,3.586874835324657e-07
7Networks_LH_Limbic_OFC_1,2.756295646191319,0.005991304823341389,0.009510007656097443
7Networks_LH_Limbic_TempPole_1,3.4616662150252075,0.0005680521324079168,0.0012086215583147165
7Networks_LH_Limbic_TempPole_2,3.4918448545558096,0.0005082045491324261,0.0011047924981139698
7Networks_LH_Cont_Par_1,1.719140132271998,0.0860059266409188,0.10886826157078329
7Networks_LH_Cont_PFCl_1,2.0743038733642014,0.03839677549380757,0.05407996548423602
7Networks_LH_Cont_pCun_1,1.3755758567988379,0.1693720420567706,0.19926122594914186
7Networks_LH_Cont_Cing_1,3.5364190554320394,0.00043131695337007484,0.001003062682255988
7Networks_LH_Default_Temp_1,3.00216728342849,0.0027708753460043297,0.004696398891532763
7Networks_LH_Default_Temp_2,2.8730787214646596,0.00418069967438582,0.0068536060235833115
7Networks_LH_Default_Par_1,4.956421369724056,8.907577451552123e-07,3.563030980620849e-06
7Networks_LH_Default_Par_2,0.658771616194753,0.5102510189530148,0.5607154054428735
7Networks_LH_Default_PFC_1,3.5108933378261997,0.00047381400967177887,0.001052920021492842
7Networks_LH_Default_PFC_2,1.8527135152791796,0.06432032317042825,0.08554959648763434
7Networks_LH_Default_PFC_3,-0.32935131743363794,0.7419839900300482,0.7649319484845858
7Networks_LH_Default_PFC_4,0.11362608067259342,0.909565842964691,0.9187533767320111
7Networks_LH_Default_PFC_5,0.5399512109083006,0.5893981023540507,0.6406501112544029
7Networks_LH_Default_PFC_6,2.066454517606843,0.03913581012641249,0.05435529184223958
7Networks_LH_Default_PFC_7,1.1092408472232909,0.26768470799452093,0.29742745332724546
7Networks_LH_Default_pCunPCC_1,2.6005210242725556,0.009496312456280145,0.014609711471200224
7Networks_LH_Default_pCunPCC_2,0.494364892088649,0.6211968285625583,0.6608476899601684
7Networks_RH_Vis_1,6.522043809630586,1.2857838546544365e-10,3.214459636636091e-09
7Networks_RH_Vis_2,5.856178100180975,7.133092235319418e-09,5.9442435294328484e-08
7Networks_RH_Vis_3,7.100664307260336,2.917594589933909e-12,1.2620673633370914e-10
7Networks_RH_Vis_4,3.360151372392416,0.000819503565047809,0.0016724562551996103
7Networks_RH_Vis_5,1.2460706054261221,0.2131393115997073,0.24783640883686897
7Networks_RH_Vis_6,5.7016539180692165,1.7187277320928564e-08,1.0742048325580352e-07
7Networks_RH_Vis_7,7.499739880687983,1.8245350780266143e-13,1.8245350780266142e-11
7Networks_RH_Vis_8,4.413310585065152,1.1710146296082145e-05,3.65942071752567e-05
7Networks_RH_SomMot_1,3.321779419805063,0.000938925645792528,0.0018410306780245647
7Networks_RH_SomMot_2,1.45771879847629,0.14535960475344867,0.17513205391981768
7Networks_RH_SomMot_3,3.0531210076766864,0.0023464302731172437,0.0040455694364090414
7Networks_RH_SomMot_4,5.804403170287272,9.590843764513888e-09,6.85060268893849e-08
7Networks_RH_SomMot_5,4.24162685421002,2.5024584637620128e-05,7.360171952241214e-05
7Networks_RH_SomMot_6,3.5161070002357313,0.00046521113027831633,0.001052920021492842
7Networks_RH_SomMot_7,4.067814185165801,5.2630807171989244e-05,0.000146196686588859
7Networks_RH_SomMot_8,4.673818942595166,3.514411619700096e-06,1.211866075758654e-05
7Networks_RH_DorsAttn_Post_1,5.778752651742719,1.1111030086536505e-08,7.407353391024337e-08
7Networks_RH_DorsAttn_Post_2,4.546710872049065,6.380438312851879e-06,2.1268127709506263e-05
7Networks_RH_DorsAttn_Post_3,5.258723317000183,1.89921994077006e-07,8.632817912591181e-07
7Networks_RH_DorsAttn_Post_4,5.809651104008959,9.293255587504515e-09,6.85060268893849e-08
7Networks_RH_DorsAttn_Post_5,3.3475314532547547,0.000856855508315704,0.001713711016631408
7Networks_RH_DorsAttn_PrCv_1,6.312744163036618,4.722683674790278e-10,7.871139457983797e-09
7Networks_RH_DorsAttn_FEF_1,6.041960317696931,2.4082670659988475e-09,2.4082670659988474e-08
7Networks_RH_SalVentAttn_TempOccPar_1,6.217904746865572,8.40640172594306e-10,1.20091453227758e-08
7Networks_RH_SalVentAttn_TempOccPar_2,4.815516771891669,1.7828264540114232e-06,6.603060940783049e-06
7Networks_RH_SalVentAttn_FrOperIns_1,1.8478898169008289,0.0650176933306021,0.08554959648763434
7Networks_RH_SalVentAttn_Med_1,4.841032609938341,1.574246660303975e-06,6.054794847322981e-06
7Networks_RH_SalVentAttn_Med_2,2.9601622844891957,0.0031730211369521495,0.005288368561586916
7Networks_RH_Limbic_OFC_1,3.0927287287363026,0.002058915109611645,0.0036766341243065085
7Networks_RH_Limbic_TempPole_1,4.367061950127669,1.4422186251204128e-05,4.370359470061857e-05
7Networks_RH_Cont_Par_1,1.7984119059031092,0.07252533632394649,0.09418874847265778
7Networks_RH_Cont_Par_2,1.7081414741161576,0.08803639049745818,0.11004548812182272
7Networks_RH_Cont_PFCl_1,-0.02060413992172357,0.9835670682594725,0.9835670682594725
7Networks_RH_Cont_PFCl_2,2.5500555543862133,0.010970461899554857,0.016429344801047692
7Networks_RH_Cont_PFCl_3,1.8861219053018137,0.05967095841427068,0.08063643028955497
7Networks_RH_Cont_PFCl_4,1.6961476027980507,0.09028195845339264,0.11145920796715139
