,t,r,p,p_fdr
7Networks_LH_Vis_1,5.340068861468002,0.18908244868676508,1.2392419277556716e-07,5.632917853434871e-07
7Networks_LH_Vis_2,5.227703760799201,0.185136276369052,2.2390730101866252e-07,9.329470875777606e-07
7Networks_LH_Vis_3,4.9477012301327346,0.1746482262907373,9.292026816914958e-07,3.5738564680442145e-06
7Networks_LH_Vis_4,4.002400652443026,0.14352598756658333,6.909778489715063e-05,0.00019742224256328754
7Networks_LH_Vis_5,1.2770560931931854,0.04613460670836588,0.20198737617008675,0.23216939789665145
7Networks_LH_Vis_6,2.971016910331197,0.10615767721501505,0.003064155472039628,0.005023205691868243
7Networks_LH_Vis_7,6.5857890058935,0.23104479298718028,8.609381276326506e-11,2.1523453190816266e-09
7Networks_LH_Vis_8,6.178468590247976,0.21724804898903352,1.0701959732753115e-09,1.2777498242698961e-08
7Networks_LH_Vis_9,4.622305706136071,0.16423059758626524,4.481078924488309e-06,1.4455093304800997e-05
7Networks_LH_SomMot_1,3.6053346260156225,0.12960514942018556,0.000332895444739146,0.0008119401091198683
7Networks_LH_SomMot_2,3.028868709697735,0.10861447041176743,0.0025413860077639397,0.0043074339114643045
7Networks_LH_SomMot_3,3.3086260296453767,0.11864519320379521,0.000983218363743741,0.001966436727487482
7Networks_LH_SomMot_4,5.462338877119198,0.19317922859888473,6.432870229499174e-08,3.216435114749587e-07
7Networks_LH_SomMot_5,3.7058654177274706,0.13302856331751245,0.000226579061986062,0.000566447654965155
7Networks_LH_SomMot_6,5.483035886522106,0.19373011394660636,5.7449680993448686e-08,3.0236674207078253e-07
7Networks_LH_DorsAttn_Post_1,5.8762266336956905,0.2069051841693003,6.348395766375334e-09,4.232263844250223e-08
7Networks_LH_DorsAttn_Post_2,3.2866461116145103,0.11775834218703195,0.0010620434486108563,0.0020824381345310905
7Networks_LH_DorsAttn_Post_3,5.684673620315989,0.20007929909482586,1.8851072981288653e-08,1.047281832293814e-07
7Networks_LH_DorsAttn_Post_4,4.646193821805681,0.16502843932346445,4.0028640276131785e-06,1.3342880092043929e-05
7Networks_LH_DorsAttn_Post_5,2.617086366827141,0.09392986809937108,0.009051207152604069,0.013310598753829513
7Networks_LH_DorsAttn_Post_6,3.0988343140180676,0.11164345824910157,0.0020172954268482847,0.0036023132622290794
7Networks_LH_DorsAttn_PrCv_1,6.078444145897655,0.21344180709835772,1.9425804937996794e-09,1.6188170781663997e-08
7Networks_LH_DorsAttn_FEF_1,7.069266458981578,0.24610495446955408,3.6037843887845932e-12,1.2012614629281978e-10
7Networks_LH_SalVentAttn_ParOper_1,3.4446303883403417,0.12333177665962883,0.0006042860171800166,0.001373377311772765
7Networks_LH_SalVentAttn_FrOperIns_1,1.4914821339157447,0.05400999905489047,0.13626694565891928,0.16417704296255337
7Networks_LH_SalVentAttn_FrOperIns_2,0.5224666108305267,0.01873608912580756,0.6015008104013239,0.6493732791458328
7Networks_LH_SalVentAttn_PFCl_1,1.52724024701937,0.055060531255748876,0.1271308959071949,0.15503767793560355
7Networks_LH_SalVentAttn_Med_1,0.4591042681049178,0.016588044522613903,0.6462948482078552,0.6875477108594205
7Networks_LH_SalVentAttn_Med_2,3.2097170139917566,0.11486838613493915,0.0013864790292878824,0.0026663058255536197
7Networks_LH_SalVentAttn_Med_3,5.713481499702008,0.20134667552621974,1.6049684476303868e-08,9.633126715942073e-08
7Networks_LH_Limbic_OFC_1,2.79650383497872,0.10041397621764303,0.005301020769138135,0.008282844951778336
7Networks_LH_Limbic_TempPole_1,3.509992536191229,0.12604660485522107,0.00047554720817526294,0.0011059237399424719
7Networks_LH_Limbic_TempPole_2,3.381780340893722,0.120673998003772,0.000758018553578218,0.001570743949878371
7Networks_LH_Cont_Par_1,1.7645843357679472,0.06321196754337675,0.07804447073591522,0.09755558841989402
7Networks_LH_Cont_PFCl_1,2.264629373838692,0.08115592285441126,0.02382391275892798,0.034527409795547796
7Networks_LH_Cont_pCun_1,1.3723020406743405,0.049391874992542835,0.1703874990848155,0.20187269693234183
7Networks_LH_Cont_Cing_1,3.38834928920934,0.12205214421071789,0.0007409892576524914,0.001570743949878371
7Networks_LH_Default_Temp_1,3.0628143471679206,0.10936273756006688,0.002272025864252523,0.003986010288162321
7Networks_LH_Default_Temp_2,3.130989932796533,0.11152283540668669,0.0018102487830322857,0.0033523125611708993
7Networks_LH_Default_Par_1,4.958869918285386,0.17543486849619552,8.797116101888609e-07,3.5188464407554437e-06
7Networks_LH_Default_Par_2,0.5190018971766137,0.01882741420209749,0.6039171496056245,0.6493732791458328
7Networks_LH_Default_PFC_1,3.3775814961595776,0.12078835207215945,0.0007696645354404017,0.001570743949878371
7Networks_LH_Default_PFC_2,1.7953371382411887,0.06429949924127788,0.07300627153202847,0.09241300193927654
7Networks_LH_Default_PFC_3,-0.24220750490311874,-0.00874382521401865,0.8086868534292307,0.8336977870404441
7Networks_LH_Default_PFC_4,0.10215391304097636,0.003720529660456949,0.9186628721865802,0.937411094067939
7Networks_LH_Default_PFC_5,0.5359868255984203,0.019570080766766244,0.5921334232256441,0.6493732791458328
7Networks_LH_Default_PFC_6,2.0123428345428755,0.0725251607970501,0.04454814341937629,0.06020019380996796
7Networks_LH_Default_PFC_7,0.9250125378808345,0.03314830848643831,0.3552589069048462,0.39916731112904064
7Networks_LH_Default_pCunPCC_1,2.6771341975121827,0.09637075850561824,0.007591801872363072,0.011331047570691151
7Networks_LH_Default_pCunPCC_2,0.41197146655917277,0.014870615814664272,0.6804807813885954,0.7162955593564162
7Networks_RH_Vis_1,6.535613631393825,0.22890097117700076,1.1792953518901095e-10,2.3585907037802187e-09
7Networks_RH_Vis_2,5.984085609583372,0.21053195571573585,3.3931849690547994e-09,2.4237035493248565e-08
7Networks_RH_Vis_3,7.138066228967729,0.24845601351630672,2.2607511567096435e-12,1.1303755783548217e-10
7Networks_RH_Vis_4,3.404687737986516,0.1223489750663849,0.0006985520075820155,0.0015185913208304684
7Networks_RH_Vis_5,0.7811618859492917,0.02830022788263977,0.4349608865572171,0.4832898739524634
7Networks_RH_Vis_6,6.1490743668897005,0.21621325400391397,1.2777498242698963e-09,1.2777498242698961e-08
7Networks_RH_Vis_7,7.518098517716485,0.2599175190455183,1.5994125114762173e-13,1.5994125114762173e-11
7Networks_RH_Vis_8,5.35650099371683,0.1899514032243165,1.1364450887199887e-07,5.411643279618994e-07
7Networks_RH_SomMot_1,3.7079113018388496,0.13301895772032418,0.00022476837334916097,0.000566447654965155
7Networks_RH_SomMot_2,1.9133815589330443,0.06956627055480306,0.0560999747194504,0.07285711002526025
7Networks_RH_SomMot_3,2.9732004505849337,0.10672133796714446,0.003043353195331021,0.005023205691868243
7Networks_RH_SomMot_4,5.709902067738417,0.2012396713692695,1.6376315417101524e-08,9.633126715942073e-08
7Networks_RH_SomMot_5,4.739072281782908,0.16833441377343833,2.5773703781664504e-06,9.204894207737321e-06
7Networks_RH_SomMot_6,3.555467350753874,0.12844931633191703,0.00040180611455755663,0.0009566812251370397
7Networks_RH_SomMot_7,3.953799874123191,0.1418256433919158,8.440676366505463e-05,0.00022812638828393145
7Networks_RH_SomMot_8,4.662627914764529,0.16540500094876184,3.704453180979441e-06,1.2773976486136004e-05
7Networks_RH_DorsAttn_Post_1,6.033250688801196,0.21236630932846473,2.5429693902354325e-09,1.956130300181102e-08
7Networks_RH_DorsAttn_Post_2,4.516202272767644,0.1614929050329927,7.341169820673212e-06,2.2941155689603787e-05
7Networks_RH_DorsAttn_Post_3,5.261793278133134,0.18553081976916,1.8682338863987824e-07,8.122756027820792e-07
7Networks_RH_DorsAttn_Post_4,6.092684750081655,0.21372414556229027,1.7827011393666815e-09,1.6188170781663997e-08
7Networks_RH_DorsAttn_Post_5,3.4106049498388367,0.1221593571796626,0.000683556315632147,0.0015185913208304684
7Networks_RH_DorsAttn_PrCv_1,6.337024026722387,0.22193024770327321,4.065333197159542e-10,6.7755553285992364e-09
7Networks_RH_DorsAttn_FEF_1,6.160851657115123,0.21584230371989485,1.1851739646074452e-09,1.2777498242698961e-08
7Networks_RH_SalVentAttn_TempOccPar_1,6.2327318812048365,0.21825325737328408,7.67865964676956e-10,1.096951378109937e-08
