,t,r,p,p_fdr
7Networks_LH_Vis_1,-2.1829998916963644,-0.07854446006775316,0.0293502225049764,0.057549455892110586
7Networks_LH_Vis_2,-1.3104718078124495,-0.04737257451488718,0.19044730220526965,0.24107253443705018
7Networks_LH_Vis_3,-1.6259290106384297,-0.05873904921400631,0.10439516569275385,0.1657066122107204
7Networks_LH_Vis_4,-1.0761729897341055,-0.03898371841447405,0.2822054274075814,0.3243740544914729
7Networks_LH_Vis_5,-0.659312845856746,-0.02386298085527129,0.5099025360132399,0.5603324571574064
7Networks_LH_Vis_6,-1.7199078693575736,-0.06207198977726834,0.08587186853666642,0.14554553989265495
7Networks_LH_Vis_7,-2.8570706084311213,-0.1027866525568909,0.004396987548383488,0.018909774200111085
7Networks_LH_Vis_8,-2.401378781375292,-0.08662647171015717,0.01658282961937223,0.0385647200450517
7Networks_LH_Vis_9,-1.7627743684200519,-0.06362926467774108,0.07835523162500098,0.13509522693965687
7Networks_LH_SomMot_1,-2.7334215444409007,-0.09812050523011777,0.006418529885911598,0.023591009001295682
7Networks_LH_SomMot_2,-2.6437690457100573,-0.09503322562820635,0.008374144168909123,0.025376194451239766
7Networks_LH_SomMot_3,-2.905087973802814,-0.1044085688283919,0.0037823493521973728,0.018909774200111085
7Networks_LH_SomMot_4,-3.0469781772206956,-0.1093315226849144,0.0023944108970833126,0.017102934979166515
7Networks_LH_SomMot_5,-2.444703726883879,-0.08796635849398883,0.014731598432000536,0.035451952676609784
7Networks_LH_SomMot_6,-3.334955752963048,-0.11950075460826728,0.0008960072380525079,0.014686407398034415
7Networks_LH_DorsAttn_Post_1,-2.5766030669351765,-0.09264908708012694,0.010171894444997866,0.02906255555713676
7Networks_LH_DorsAttn_Post_2,-2.714113961525764,-0.09766156816688538,0.006801728495704229,0.023591009001295682
7Networks_LH_DorsAttn_Post_3,-2.978098473354072,-0.1068343015610727,0.002995844605427741,0.01872402878392338
7Networks_LH_DorsAttn_Post_4,-3.3596956883222715,-0.1202092550436899,0.000820555424608968,0.014686407398034415
7Networks_LH_DorsAttn_Post_5,-2.256413861709876,-0.08109581335085826,0.024338141432331265,0.05173761860576987
7Networks_LH_DorsAttn_Post_6,-2.8062412922551014,-0.10077639499197782,0.005145290363445175,0.0205811614537807
7Networks_LH_DorsAttn_PrCv_1,-2.3864130224018782,-0.08587019231906604,0.017265358826156256,0.039239451877627854
7Networks_LH_DorsAttn_FEF_1,-3.558178568966471,-0.12697026843043557,0.00039728331262176437,0.014686407398034415
7Networks_LH_SalVentAttn_ParOper_1,-2.6736073718577793,-0.09607158878770297,0.007670614299678481,0.024157626992697717
7Networks_LH_SalVentAttn_FrOperIns_1,-2.932419310448245,-0.10491559867585792,0.0034672758004941195,0.018909774200111085
7Networks_LH_SalVentAttn_FrOperIns_2,-2.1851711365777873,-0.07856148557942223,0.02919090144651865,0.057549455892110586
7Networks_LH_SalVentAttn_PFCl_1,-3.0493445800355006,-0.10917852416125155,0.0023756393248875957,0.017102934979166515
7Networks_LH_SalVentAttn_Med_1,-2.9458388111925435,-0.10584220261753924,0.0033227306227331,0.018909774200111085
