,t,r,p,p_fdr
7Networks_LH_Vis_1,-6.038628452070817,-0.2120408243048467,2.459078851363374e-09,2.0492323761361454e-08
7Networks_LH_Vis_2,-5.726751767757597,-0.20284377535182427,1.493763321168593e-08,7.861912216676806e-08
7Networks_LH_Vis_3,-4.921693191798666,-0.1756002153094144,1.0607076512410024e-06,3.421637584648395e-06
7Networks_LH_Vis_4,-4.464982713620225,-0.15815365032419154,9.24956475666293e-06,2.5693235435174804e-05
7Networks_LH_Vis_5,-3.1348329038645892,-0.11251177867712486,0.0017878445176094672,0.00308249054760253
7Networks_LH_Vis_6,-3.2785701233922557,-0.11799978920861044,0.001092652905898215,0.002101255588265798
7Networks_LH_Vis_7,-7.856875279810002,-0.2728890415183055,1.4040054519050551e-14,1.4040054519050551e-12
7Networks_LH_Vis_8,-6.3539477947524805,-0.22331709920984888,3.673511472400491e-10,4.081679413778324e-09
7Networks_LH_Vis_9,-5.146807752595036,-0.1827845456000587,3.40392167830302e-07,1.2156863136796498e-06
7Networks_LH_SomMot_1,-4.890248638020809,-0.17339011203766502,1.2366460355719172e-06,3.7474122290058095e-06
7Networks_LH_SomMot_2,-4.724974310771717,-0.16843645962980142,2.7584406753369997e-06,8.113060809814705e-06
7Networks_LH_SomMot_3,-3.6365830623636524,-0.13014631965378834,0.00029556875273867484,0.0006425407668232062
7Networks_LH_SomMot_4,-6.355178105517328,-0.22308543441676285,3.64041213949896e-10,4.081679413778324e-09
7Networks_LH_SomMot_5,-6.1033131781089525,-0.21389662275442503,1.6712855022547452e-09,1.5193504565952228e-08
7Networks_LH_SomMot_6,-5.958084935922959,-0.21012815012937608,3.9503530343351785e-09,2.8216807388108414e-08
7Networks_LH_DorsAttn_Post_1,-5.699080153538863,-0.2017296151097148,1.7446127152080207e-08,8.200199507747726e-08
7Networks_LH_DorsAttn_Post_2,-2.9910975069817463,-0.10692019105560102,0.0028719371539991695,0.004418364852306415
7Networks_LH_DorsAttn_Post_3,-4.935057934936475,-0.17502274357445058,9.908028844690932e-07,3.302676281563644e-06
7Networks_LH_DorsAttn_Post_4,-4.0336349361951935,-0.14422442736514543,6.0663629718090896e-05,0.00015165907429522723
7Networks_LH_DorsAttn_Post_5,-2.3073153640938924,-0.08279573891072885,0.021312392113094686,0.026311595201351463
7Networks_LH_DorsAttn_Post_6,-3.139134472378475,-0.11243273571658098,0.0017619655569907932,0.00308249054760253
7Networks_LH_DorsAttn_PrCv_1,-5.684755439530557,-0.2003262556468089,1.886045886781977e-08,8.200199507747726e-08
7Networks_LH_DorsAttn_FEF_1,-6.289912277665095,-0.22093331033025765,5.439039475176025e-10,5.4390394751760246e-09
