,t,r,p,p_fdr
7Networks_LH_Vis_1,3.0205114984176222,0.1081360904729897,0.002610234418064384,0.00723759698411362
7Networks_LH_Vis_2,4.682248292062805,0.16601404428779362,3.3745750977647823e-06,2.8121459148039854e-05
7Networks_LH_Vis_3,5.12007404951568,0.18055437294917054,3.8930849752048124e-07,5.4748081570715806e-06
7Networks_LH_Vis_4,4.7244154900591475,0.1683345264076752,2.7658109841479215e-06,2.514373621952656e-05
7Networks_LH_Vis_5,3.394558410540906,0.12064025293224068,0.0007236837485868566,0.00260044547132197
7Networks_LH_Vis_6,2.944648541241144,0.1049525160181131,0.003333866088779775,0.008773331812578356
7Networks_LH_Vis_7,2.827880969005874,0.10133237423750298,0.004812519754595053,0.011458380368083458
7Networks_LH_Vis_8,7.429357267238026,0.257156358777659,2.995947688396599e-13,1.8009525938202266e-11
7Networks_LH_Vis_9,6.446820788722572,0.22489724783158005,2.0503750603457144e-10,6.834583534485715e-09
7Networks_LH_SomMot_1,1.5122308491333756,0.0542024471850852,0.13089977527809707,0.19249966952661332
7Networks_LH_SomMot_2,-0.4377479946706132,-0.01569685153874786,0.6616958530029307,0.7271383000032204
7Networks_LH_SomMot_3,1.6221487314956295,0.057990938050097564,0.10519345458196444,0.16436477278431944
7Networks_LH_SomMot_4,4.817353915666046,0.17000369992125983,1.7624848286853882e-06,1.762484828685388e-05
7Networks_LH_SomMot_5,5.243948799451095,0.18501244989874885,2.0519437337822145e-07,3.4199062229703575e-06
7Networks_LH_SomMot_6,4.38770355392624,0.15534033129413052,1.310607204073558e-05,0.00010081593877488907
7Networks_LH_DorsAttn_Post_1,3.5648868949733976,0.12699640003773216,0.00038733109054448633,0.0015493243621779453
7Networks_LH_DorsAttn_Post_2,3.0126823942963035,0.10771599090291586,0.0026779108841220394,0.00723759698411362
7Networks_LH_DorsAttn_Post_3,3.198011769038679,0.11414531492419784,0.00144254089851952,0.0045079403078735
7Networks_LH_DorsAttn_Post_4,1.3003437828162991,0.04657646564618447,0.19388528532610763,0.26928511850848286
7Networks_LH_DorsAttn_Post_5,1.6608912632057744,0.05959932488687573,0.097158310763453,0.15421954089436984
7Networks_LH_DorsAttn_Post_6,3.0994823163343033,0.11037111026569947,0.002011435319844354,0.005915986234836334
7Networks_LH_DorsAttn_PrCv_1,3.6826489125785513,0.13070730120543625,0.00024748548457879,0.0011249340208126818
7Networks_LH_DorsAttn_FEF_1,3.3928757558887845,0.1206840692608339,0.0007281247319701516,0.00260044547132197
7Networks_LH_SalVentAttn_ParOper_1,2.672637346898928,0.09572851097233609,0.007691476563895278,0.015382953127790555
7Networks_LH_SalVentAttn_FrOperIns_1,0.7167315625383056,0.02565903316315106,0.4737637712497904,0.5777606966460859
7Networks_LH_SalVentAttn_FrOperIns_2,-0.03338374477457812,-0.001195550056410975,0.9733774901450611,0.9932423368827155
7Networks_LH_SalVentAttn_PFCl_1,-0.9104094410822046,-0.032623324961729296,0.36290107624536794,0.47130009901995834
7Networks_LH_SalVentAttn_Med_1,-1.4900745683053376,-0.05328396885577674,0.13662672619043237,0.19800974810207592
7Networks_LH_SalVentAttn_Med_2,-0.650974912751857,-0.02339007911223294,0.5152644901072985,0.5991447559387192
7Networks_LH_SalVentAttn_Med_3,3.865832858630306,0.1371666860519571,0.00012037305477426822,0.000718245966082762
7Networks_LH_Limbic_OFC_1,1.5998342118815558,0.05741044153483519,0.1100610405072237,0.16675915228367227
7Networks_LH_Limbic_TempPole_1,2.2113337679320897,0.0791546471837317,0.027316438519055148,0.04877935449831276
7Networks_LH_Limbic_TempPole_2,3.205910163911204,0.11423937953628316,0.0014038990696243563,0.0045079403078735
7Networks_LH_Cont_Par_1,0.5367638688536615,0.01928549374449917,0.5915914160424852,0.6722629727755514
7Networks_LH_Cont_PFCl_1,-0.004402169941977777,-0.00015796728367607196,0.9964887695644181,0.9964887695644181
7Networks_LH_Cont_pCun_1,1.0836980678691714,0.03891425494190602,0.27885117569293855,0.37180156759058475
7Networks_LH_Cont_Cing_1,1.6099989774720083,0.05801899913122702,0.10782627870489286,0.1658865826229121
7Networks_LH_Default_Temp_1,2.7091884728832176,0.09681755954728982,0.006900365344748709,0.01468162839308236
7Networks_LH_Default_Temp_2,0.48444713736033523,0.0174040325440283,0.6282115367738,0.6980128186375556
7Networks_LH_Default_Par_1,2.8033038044232566,0.10022696853636509,0.005190430021505171,0.011634823178084409
7Networks_LH_Default_Par_2,1.2383071617309847,0.044475348169495076,0.2159938206590102,0.29274431338814455
7Networks_LH_Default_PFC_1,2.684221951537118,0.09602782734923997,0.007432264328020747,0.015167886383715811
7Networks_LH_Default_PFC_2,2.0342177933559964,0.07264921193359436,0.042282429429630744,0.07047071571605125
7Networks_LH_Default_PFC_3,-1.5318352897538456,-0.05493211822906911,0.1259893067930591,0.18804374148217778
7Networks_LH_Default_PFC_4,-0.13614116478725624,-0.00489971815752956,0.8917467123093205,0.9193265075353819
7Networks_LH_Default_PFC_5,0.6616887986089524,0.02396922984652412,0.5083789175825761,0.5980928442147955
7Networks_LH_Default_PFC_6,2.633368852878345,0.09485827925958976,0.008632451871361755,0.016287645040305197
7Networks_LH_Default_PFC_7,-0.2596775117247677,-0.00930547573029689,0.7951841875088205,0.844126711719465
7Networks_LH_Default_pCunPCC_1,2.159475310868817,0.07758361463902352,0.031135228807778192,0.053362886082121294
7Networks_LH_Default_pCunPCC_2,-0.17424315005188737,-0.006274971216106511,0.8617220322136878,0.8976271168892582
7Networks_RH_Vis_1,3.8622539917341863,0.1371325393092904,0.00012210181423406955,0.000718245966082762
7Networks_RH_Vis_2,3.8205044698556856,0.13559322678580157,0.0001442645681502405,0.0008014698230568916
7Networks_RH_Vis_3,4.100610766703052,0.1457896379379051,4.5760170870139295e-05,0.0003268583633581378
7Networks_RH_Vis_4,5.8441138938680695,0.2055244660327846,7.628767626614899e-09,1.9071919066537247e-07
7Networks_RH_Vis_5,3.061644207265672,0.10933617151549037,0.0022807044589810747,0.006516298454231642
7Networks_RH_Vis_6,2.907659010433576,0.10354693201494977,0.0037495180994618306,0.009614148972979053
7Networks_RH_Vis_7,5.6495625936578,0.19834846531558414,2.2887025627204107e-08,4.577405125440821e-07
7Networks_RH_Vis_8,7.404245506345125,0.25725023540842007,3.601905187640453e-13,1.8009525938202266e-11
7Networks_RH_SomMot_1,0.9586008661190524,0.03433464271073523,0.33807042184315406,0.4448295024252027
7Networks_RH_SomMot_2,-0.5601672646971435,-0.02008541186403154,0.5755337496537201,0.6615330455789886
7Networks_RH_SomMot_3,1.4110513213148856,0.0505019171984539,0.15864636800667564,0.22344558874179668
7Networks_RH_SomMot_4,3.72790342618124,0.13228024165651775,0.00020767088010167052,0.0009889089528650977
7Networks_RH_SomMot_5,5.097212298245887,0.17991849707806773,4.3798465256572647e-07,5.4748081570715806e-06
7Networks_RH_SomMot_6,4.9314487626106045,0.17390069809894051,1.0067326190484527e-06,1.1185917989427253e-05
7Networks_RH_SomMot_7,3.1167861277904243,0.11099109658911942,0.0018985757767813376,0.005753259929640417
7Networks_RH_SomMot_8,3.9845569840522037,0.1413035033962623,7.423991087551619e-05,0.0004949327391701079
7Networks_RH_DorsAttn_Post_1,2.7008153129163586,0.0965153618770072,0.007074734296609675,0.01473902978460349
7Networks_RH_DorsAttn_Post_2,2.8789281377140807,0.10282835678319652,0.004105098508688453,0.010012435387045007
7Networks_RH_DorsAttn_Post_3,3.4290552696984746,0.12226987120838653,0.000639049342705489,0.0024578820873288037
7Networks_RH_DorsAttn_Post_4,3.2911724074466804,0.11745606203078125,0.0010448916300948336,0.003482972100316112
7Networks_RH_DorsAttn_Post_5,3.788181699511965,0.1348426397367663,0.0001640426563062971,0.0008503363797382747
7Networks_RH_DorsAttn_PrCv_1,2.8004513837745595,0.10001852571179275,0.005235670430137984,0.011634823178084409
7Networks_RH_DorsAttn_FEF_1,2.6516674480426037,0.09459957080967724,0.008179594797497532,0.016038421171563788
7Networks_RH_SalVentAttn_TempOccPar_1,3.778931107001931,0.13410479704182057,0.00017006727594765495,0.0008503363797382747
7Networks_RH_SalVentAttn_TempOccPar_2,3.5821890356113157,0.12735962920620814,0.00036290129062915724,0.001512088710954822
7Networks_RH_SalVentAttn_FrOperIns_1,-0.01666871284505207,-0.0005973214450894324,0.9867053641029104,0.9964887695644181
7Networks_RH_SalVentAttn_Med_1,-0.7560705099237464,-0.027083844927830784,0.44984623978468863,0.5623077997308608
7Networks_RH_SalVentAttn_Med_2,1.4138307843621123,0.05056501918466937,0.1578281975776872,0.22344558874179668
7Networks_RH_Limbic_OFC_1,1.8655437662978314,0.06681036459053369,0.062498594472674016,0.10080418463334519
7Networks_RH_Limbic_TempPole_1,2.815438717853191,0.10047497478348782,0.005000076163979018,0.011628084102276786
7Networks_RH_Cont_Par_1,3.639325291247635,0.13049421457330132,0.0002925481128319081,0.00127194831666047
7Networks_RH_Cont_Par_2,2.526887667011721,0.09126126385978274,0.011717976880276959,0.02169995718569807
7Networks_RH_Cont_PFCl_1,0.28838726837942086,0.01035043709902428,0.773130635574512,0.8403593864940347
7Networks_RH_Cont_PFCl_2,-0.8588913129770629,-0.030837837757980067,0.39067748542300684,0.5008685710551369
7Networks_RH_Cont_PFCl_3,-0.8188345247844163,-0.02938139534898771,0.41314337951201985,0.5229663031797719
7Networks_RH_Cont_PFCl_4,2.4786843327056247,0.08920843631830205,0.013409537774859837,0.024380977772472428
7Networks_RH_Cont_Cing_1,2.15504070390092,0.07779653635897477,0.03148410278845156,0.053362886082121294
