,t,r,p,p_fdr
7Networks_LH_Vis_1,0.997544298048376,0.035975807534203215,0.31882822801491906,0.8052752920588391
7Networks_LH_Vis_2,0.3883738837239282,0.013984175817202304,0.6978512248789528,0.890838284484064
7Networks_LH_Vis_3,-0.035648533514409275,-0.001282777145130927,0.9715722224789365,0.9715722224789365
7Networks_LH_Vis_4,0.35268730667482534,0.012736419823103744,0.7244239893600362,0.890838284484064
7Networks_LH_Vis_5,0.11459896038051992,0.004120503497025218,0.9087940901125282,0.944046258849235
7Networks_LH_Vis_6,-0.2947292581980845,-0.010601547073065775,0.7682832611604229,0.890838284484064
7Networks_LH_Vis_7,-0.6593514179054383,-0.02372461116136006,0.509875539178269,0.890838284484064
7Networks_LH_Vis_8,-0.40557545061526906,-0.014617454830288288,0.6851722808791126,0.890838284484064
7Networks_LH_Vis_9,-0.4248946042340853,-0.015304156816018204,0.6710373581524333,0.890838284484064
7Networks_LH_SomMot_1,-0.325522160582531,-0.011697308644837987,0.7448775615370969,0.890838284484064
7Networks_LH_SomMot_2,-0.563010818127747,-0.020219283191537173,0.5735973651966018,0.890838284484064
7Networks_LH_SomMot_3,-0.894836029235804,-0.03210381065437096,0.37116414055130154,0.8274106934363336
7Networks_LH_SomMot_4,-0.24063751149964466,-0.008668239766174389,0.809902815727347,0.9100031637385921
7Networks_LH_SomMot_5,-0.18324129175395315,-0.0065944434746769845,0.8546588902776213,0.9289770546495884
7Networks_LH_SomMot_6,-0.49649046031412974,-0.01785554425195956,0.6196956638563177,0.890838284484064
7Networks_LH_DorsAttn_Post_1,0.28049886927346784,0.010079438942871699,0.7791728750595792,0.890838284484064
7Networks_LH_DorsAttn_Post_2,-0.8379665273994209,-0.030121599011486852,0.4023197057047302,0.8630042755900605
7Networks_LH_DorsAttn_Post_3,-0.5174015273345914,-0.01871267150060254,0.6050319917007354,0.890838284484064
7Networks_LH_DorsAttn_Post_4,-1.3436342551810083,-0.0483405880431653,0.17947909434788453,0.7167524033328663
7Networks_LH_DorsAttn_Post_5,0.7155697237987279,0.02561746778077296,0.4744806753260875,0.890838284484064
7Networks_LH_DorsAttn_Post_6,-1.3911563932733921,-0.049971969311172995,0.16459611449729922,0.71563528042304
7Networks_LH_DorsAttn_PrCv_1,0.5805214136936558,0.020943958503034647,0.561740504389573,0.890838284484064
7Networks_LH_DorsAttn_FEF_1,-0.7060629351622186,-0.025383110417286775,0.48037092413014093,0.890838284484064
7Networks_LH_SalVentAttn_ParOper_1,-0.41469639400464053,-0.0148848488821702,0.6784837163531251,0.890838284484064
7Networks_LH_SalVentAttn_FrOperIns_1,-1.029220468579924,-0.036963977657645496,0.3037114612831308,0.803404296081616
7Networks_LH_SalVentAttn_FrOperIns_2,-0.7543567171124117,-0.027107682146635656,0.4508743882609074,0.890838284484064
7Networks_LH_SalVentAttn_PFCl_1,-0.7359440051724675,-0.02645789041104441,0.4619976685843612,0.890838284484064
7Networks_LH_SalVentAttn_Med_1,-1.6037397501291049,-0.05755960462382234,0.10919870118853597,0.6135807714054738
7Networks_LH_SalVentAttn_Med_2,-0.6884196451517577,-0.024731959896175604,0.491403437467793,0.890838284484064
7Networks_LH_SalVentAttn_Med_3,-0.20115190693080817,-0.007203530994969488,0.8406345536508698,0.9237742347811756
7Networks_LH_Limbic_OFC_1,0.6150716652724761,0.02210092069845541,0.5386962291888313,0.890838284484064
