,t,r,p,p_fdr
7Networks_LH_Vis_1,0.9364745786648794,0.03372749772948115,0.34933523635067554,0.4920214596488388
7Networks_LH_Vis_2,-2.46006166880218,-0.08893728885021554,0.014122608106772086,0.07862219918796379
7Networks_LH_Vis_3,-1.61012801127371,-0.05843296504220591,0.10780459389107358,0.22708101823141438
7Networks_LH_Vis_4,-0.9537926981929842,-0.03418907980704804,0.34049794558381574,0.4867013938453434
7Networks_LH_Vis_5,-0.9593207678097577,-0.03465520743844332,0.33771306384080224,0.4867013938453434
7Networks_LH_Vis_6,-1.2664923470037828,-0.04599594897028239,0.20574305204321244,0.331843632327762
7Networks_LH_Vis_7,-2.0740731785155244,-0.07502399761647673,0.03842300353975663,0.12807667846585544
7Networks_LH_Vis_8,-2.7808925132592157,-0.10016492983347638,0.005560305781230787,0.05054823437482534
7Networks_LH_Vis_9,-2.3254615527120532,-0.08427711598399035,0.020321959575400117,0.09677123607333389
7Networks_LH_SomMot_1,-1.434823966825825,-0.051940562071288415,0.15176553292783582,0.2759373325960651
7Networks_LH_SomMot_2,-1.1960600233106482,-0.04334269662242534,0.2320620109781814,0.3570184784279714
7Networks_LH_SomMot_3,-0.02335937098805243,-0.0008434104233439193,0.9813699449286382,0.984250389484836
7Networks_LH_SomMot_4,-2.8612360939951804,-0.10281047911370866,0.004339769773533261,0.04384087722285967
7Networks_LH_SomMot_5,-3.271268646160447,-0.11696250345899668,0.0011202885923413247,0.03398200908856933
7Networks_LH_SomMot_6,-3.160414031350394,-0.11328386068550082,0.0016398894427167821,0.03398200908856933
7Networks_LH_DorsAttn_Post_1,0.3361621476750099,0.012149978810657559,0.7368446703153162,0.8154053674452334
7Networks_LH_DorsAttn_Post_2,0.3724319296634073,0.013392195545676618,0.709677633473952,0.8007317671661014
7Networks_LH_DorsAttn_Post_3,-0.32930462312322173,-0.01187574023967323,0.7420188843751624,0.8154053674452334
